Z,element,entrant_n,entrant_l,entrant_subshell,entrant_p,rival_n,rival_l,rival_subshell,rival_p,dn
3,Li,2,0,2s,1,2,1,2p,0,0
3,Li,2,0,2s,1,3,2,3d,0,1
3,Li,2,0,2s,1,4,3,4f,0,2
3,Li,2,0,2s,1,5,4,5g,0,3
4,Be,2,0,2s,1,3,0,3s,2,1
4,Be,2,0,2s,1,2,1,2p,0,0
4,Be,2,0,2s,1,3,2,3d,0,1
4,Be,2,0,2s,1,4,3,4f,0,2
4,Be,2,0,2s,1,5,4,5g,0,3
5,B,2,1,2p,0,3,0,3s,2,1
5,B,2,1,2p,0,3,2,3d,0,1
5,B,2,1,2p,0,4,3,4f,0,2
5,B,2,1,2p,0,5,4,5g,0,3
6,C,2,1,2p,0,3,0,3s,2,1
6,C,2,1,2p,0,3,1,3p,1,1
6,C,2,1,2p,0,3,2,3d,0,1
6,C,2,1,2p,0,4,3,4f,0,2
6,C,2,1,2p,0,5,4,5g,0,3
7,N,2,1,2p,0,3,0,3s,2,1
7,N,2,1,2p,0,3,1,3p,1,1
7,N,2,1,2p,0,3,2,3d,0,1
7,N,2,1,2p,0,4,3,4f,0,2
7,N,2,1,2p,0,5,4,5g,0,3
8,O,2,1,2p,0,3,0,3s,2,1
8,O,2,1,2p,0,3,1,3p,1,1
8,O,2,1,2p,0,3,2,3d,0,1
8,O,2,1,2p,0,4,3,4f,0,2
8,O,2,1,2p,0,5,4,5g,0,3
9,F,2,1,2p,0,3,0,3s,2,1
9,F,2,1,2p,0,3,1,3p,1,1
9,F,2,1,2p,0,3,2,3d,0,1
9,F,2,1,2p,0,4,3,4f,0,2
9,F,2,1,2p,0,5,4,5g,0,3
10,Ne,2,1,2p,0,3,0,3s,2,1
10,Ne,2,1,2p,0,3,1,3p,1,1
10,Ne,2,1,2p,0,3,2,3d,0,1
10,Ne,2,1,2p,0,4,3,4f,0,2
10,Ne,2,1,2p,0,5,4,5g,0,3
11,Na,3,0,3s,2,3,1,3p,1,0
11,Na,3,0,3s,2,3,2,3d,0,0
11,Na,3,0,3s,2,4,3,4f,0,1
11,Na,3,0,3s,2,5,4,5g,0,2
12,Mg,3,0,3s,2,4,0,4s,3,1
12,Mg,3,0,3s,2,3,1,3p,1,0
12,Mg,3,0,3s,2,3,2,3d,0,0
12,Mg,3,0,3s,2,4,3,4f,0,1
12,Mg,3,0,3s,2,5,4,5g,0,2
13,Al,3,1,3p,1,4,0,4s,3,1
13,Al,3,1,3p,1,3,2,3d,0,0
13,Al,3,1,3p,1,4,3,4f,0,1
13,Al,3,1,3p,1,5,4,5g,0,2
14,Si,3,1,3p,1,4,0,4s,3,1
14,Si,3,1,3p,1,4,1,4p,2,1
14,Si,3,1,3p,1,3,2,3d,0,0
14,Si,3,1,3p,1,4,3,4f,0,1
14,Si,3,1,3p,1,5,4,5g,0,2
15,P,3,1,3p,1,4,0,4s,3,1
15,P,3,1,3p,1,4,1,4p,2,1
15,P,3,1,3p,1,3,2,3d,0,0
15,P,3,1,3p,1,4,3,4f,0,1
15,P,3,1,3p,1,5,4,5g,0,2
