file	bytes	sha256	method	created	last_edit	windows_after_last_edit	full_prints_equal	sealed_sha256	status	note
nlchain.py	6602	655e0232aa648f0c1bdc76ade2937eb2896649656834c1b6e10b9b83d41fb33a	REPLAY=PRINT	LCP38#38	LCP46#34	24/24	LCP51#27,LCP60#20,LCP61#14	pack40/nlchain.py differs	RECOVERED	the replayed text equals the latest full print (LCP60#20)
hfc2.py	5617	a7e8389ed0bdb98842b06d05e57deb6aa2a046422c760679f09433f7f6721549	REPLAY=PRINT	LCP25#75	LCP26#65	31/31	LCP40#34,LCP60#21,LCP89#11		RECOVERED	the replayed text equals the latest full print (LCP60#21)
t7c_hfsr.py	4441	6f7aed72b4f0d2b5f343d4a26d2807c799a8f5b45e97e9553281113cbdf0aefc	REPLAY=PRINT	LCP20#41	LCP20#41	14/14	LCP60#23		RECOVERED	the replayed text equals the latest full print (LCP60#23)
t7b_hf.py	10868	a53d8a1c3936d437589f15e676fdcfb89fd4e18f1a4baf68e583aaff66f031e7	REPLAY	LCP16#23	LCP26#60	9/9		rt/t7b_hf.py MATCH	RECOVERED	no full print after the last edit; the replayed history stands on its windows
t7c_kernel.py	7551	94acb68372b3998317b7e8ad24195c68c6c08949765c33b17f50c77e1c0fedbe	REPLAY=PRINT	LCP15#15	LCP15#20	9/9	LCP51#25,LCP60#22		RECOVERED	the replayed text equals the latest full print (LCP60#22)
t5_scf.py	2141	380c3336837a5aaa76319fde1670adcc228603fffce334157b9c568fb157774e	REPLAY=PRINT	LCP14#25	LCP14#42	12/12	LCP15#12,LCP16#52,LCP16#55,LCP51#26,LCP60#24		RECOVERED	the replayed text equals the latest full print (LCP60#24)
hfs.py	5143	643f9c4fca7d7097d21241c1f3556c9b5d214a1d00fb143a4478075f059b52b6	REPLAY	LCP6#42	LCP6#54	7/7			RECOVERED	no full print after the last edit; the replayed history stands on its windows
hfs_pol.py	2282	e141e736c17049b32e8522cfd3086f8b210679a76b4472c26bc302ea5487ae2c	REPLAY	LCP7#50	LCP7#50	2/2	LCP8#16		RECOVERED	no full print after the last edit; the replayed history stands on its windows
hfs_sic.py	4998	495e1d5d67bd658e18ae1aa61a26713ca815bbf2b68bdf53d84e010ea2d53dfd	REPLAY	LCP8#20	LCP8#20	4/4			RECOVERED	no full print after the last edit; the replayed history stands on its windows
step2_run.py	5233	8428269c1241552691c5294ed93a92821e3be8164312ada552e3d07d19f3b951	REPLAY	LCP3#17	LCP3#56	4/4			RECOVERED	no full print after the last edit; the replayed history stands on its windows
rad.py	1423	a6245942b1591b58ab583bc89cacd509c076cf527b4714b87479f748b57f5264	REPLAY	LCP2#19	LCP2#27	2/2	LCP5#9		RECOVERED	no full print after the last edit; the replayed history stands on its windows
tfd.py	1672	4b72c9a85ada1c3e9800860fb1e1740d1b482624d277aef0640c3b6f3b265c75	REPLAY	LCP2#31	LCP2#31	7/7	LCP3#12,LCP5#9,LCP6#40,LCP10#8,LCP14#10		RECOVERED	no full print after the last edit; the replayed history stands on its windows
eigen_fix.py	2766	1f39ea4d0b01ea913738bd260cda11298c8c93f615fea69134ff198ab00b1729	REPLAY	LCP6#16	LCP6#16	2/2			RECOVERED	no full print after the last edit; the replayed history stands on its windows
derive_P.py	4434	6699f587c7bd1f67cf209f129d7885cf7b10605df16812499f64ca8e3dd5ee50	REPLAY	LCP5#14	LCP6#25	2/2			RECOVERED	no full print after the last edit; the replayed history stands on its windows
ground.py	6472	3aa24998a0f1a6d6a5fe41146b630df42bbc87be3fe3880226f67a807faea72a	STORE-MEMBER			3/3			STORE	method/members/LW1-ground.py, register 1306; the sessions' prints of rt/ground.py agree
nlguard.py	6371	84b298dd9fb2eebedcf2b7ce62e03eebd74f80d495e403924ae49122082feddb	REPLAY=PRINT	LCP45#46	LCP45#50	7/7	LCP60#21		RECOVERED	the replayed text equals the latest full print (LCP60#21)
t7c_cuaudit.py	8929	3630d797967f83c637d92896bb8614ec17143fbc002346852aec75a580d7a0b9	PRINT-COMPOSITE+REPLAY			3/6			RECOVERED-PARTIAL	LCP23 print of 135 lines at a 170-column cut (lines [1, 16, 17, 125] cut) with lines 1-52 from the uncut LCP24 print, then the session-28 patch (LCP26#31, the cell-cut branch) replayed over it; line 125's cut falls inside a trailing comment; windows printed at sessions 30 and 71 show a further edit (the older v_gb removed) that no tool call in the export records -- the module serves hfc2's correlation potential, which the chain never calls (CORR=False)
cellcut.py	1569	73cc6ea3bd23d89f7fff01281091090f2894fa797e7a594d84ef436a0abdf75a	REPLAY	LCP26#30	LCP26#30	0/0			RECOVERED-REPLAYED	no full print after the last edit; the replayed history stands on its windows
lam1_zeta.py	1205	65b0772d002bae882dcaa3f723342988770b5bc7ea37c04abf673173185789b3	REPLAY	LCP21#54	LCP21#54	0/0			RECOVERED-REPLAYED	no full print after the last edit; the replayed history stands on its windows
ring_zeta.py	1456	fdfdc6d390e58af2a31cffba9c02e6c6c1b94746d163d4ffec8970da8ceeaab6	REPLAY	LCP21#35	LCP21#38	3/3	LCP30#33		RECOVERED	no full print after the last edit; the replayed history stands on its windows
eps0a_table.py	847	17e3f16e2a7c6b2df07166f1de80d95ba11d09061024c229d9a7cbfde59f07be	REPLAY	LCP21#46	LCP21#46	0/0			RECOVERED-REPLAYED	no full print after the last edit; the replayed history stands on its windows
shoot.c	718	e4111c5148f9fb4bb94d6261f536126cb03913fa88b2cdf5b3574d1f372d631a	REPLAY	LCP3#42	LCP3#56	2/2	LCP4#31,LCP15#19		RECOVERED	no full print after the last edit; the replayed history stands on its windows
shoot_sr.c	725	f509d29c6e5f8a0ab03d95aa41a06e6ae2dc70892b84e1c7c37ecea673ab8b01	REPLAY=PRINT	LCP15#20	LCP15#20	1/1	LCP60#22		RECOVERED	the replayed text equals the latest full print (LCP60#22)
shoot_x.c	1644	ac6c4bbaff5d5d4f67c1671999c21058e2904d47802ea29e0508037ec1036dad	REPLAY	LCP16#22	LCP16#32	1/1	LCP20#33		RECOVERED	no full print after the last edit; the replayed history stands on its windows
nlcfg.py	13540	f31409847659c8f8fe37eec0c1f74bb6772c16dc8b6c150e5ec0381a443a224d	REPLAY+PRINT-REPAIR	LCP43#42	LCP48#45	1/1			RECOVERED	the GATE block rewritten by LCP47#145 over the chain is taken from the LCP48 print (lines 186-200); LCP48#45 then applies
cinf.py	2368	c094349a20f529c26efed8b60c2b72bcd51622829ef35c7bcac7dd62f96f917e	REPLAY=PRINT	LCP50#49	LCP50#52	2/2	LCP51#13,LCP57#30	pack52/cinf.py MATCH	RECOVERED	the replayed text equals the latest full print (LCP51#13)
cinf2.py	3776	7705b3038381c3d7a93534be92a8237356ae75d1d5656f4e3146af2b8c2325c0	REPLAY	LCP57#38	LCP57#38	1/1			RECOVERED	no full print after the last edit; the replayed history stands on its windows
runsealed.py	2567	7534b9fa5d6943d1eb4a0d25ef1c7445418b012a1e63d262df5299648dcdf5bd	REPLAY	LCP51#8	LCP51#8	1/1			RECOVERED	no full print after the last edit; the replayed history stands on its windows
