bundle	name	bytes	md5	lines
main	The_Method_1_6-2.md	783167	c81f03795f07a45f4f5856856c9870a9	11896
main	The_Method_1_6___The_Register-2.md	1220286	5edcae66f76ae0c79e714ee62148f946	6662
compendia	AUDIT-LAMBDA.md	5905	b3dd34002f390af9281d539122124e43	98
compendia	BiIII_asd.tsv	2370	4904ad97ce81c8412a4d46d7e7461b90	69
compendia	CENSUS-CLOSURES-21a.tsv	18	2deb87a95756d48874feff7dd5098af1	1
compendia	CENSUS-CLOSURES-23a.tsv	675	7b4a6c57696563a2b96a812c4627f351	12
compendia	CENSUS-CLOSURES-24a.tsv	18	2deb87a95756d48874feff7dd5098af1	1
compendia	CENSUS-CLOSURES-25b.tsv	1830	22989acb08138d07e011f2f4f887adf4	11
compendia	CENSUS-CLOSURES-26b.tsv	4621	34689057a6210d81baead0fe39069bd7	27
compendia	CENSUS-CLOSURES-26c.tsv	1546	5a0fe37622c98cc8369567cf4665f827	10
compendia	CENSUS-CLOSURES-27a.tsv	1683	342fc89447fa37da6d1fc75188a353c4	5
compendia	CENSUS-CLOSURES-28a2.tsv	1580	df436792af39ac4dbbdb5177386659bc	4
compendia	CENSUS-CLOSURES-28b2.tsv	1510	564764a4e92f7b296389fa7818998c77	5
compendia	CENSUS-CLOSURES-A.tsv	2328	1a54d81d329d8b6b392e1096ba41b671	22
compendia	CENSUS-CLOSURES-B.tsv	2605	dad836e2c5f74b1bf48a623bde593df8	22
compendia	CENSUS-CLOSURES-ch10.tsv	18	2deb87a95756d48874feff7dd5098af1	1
compendia	CENSUS-CLOSURES-ch11.tsv	1111	20660119d2580e5f556dd2df795c3c23	7
compendia	CENSUS-CLOSURES-ch16b.tsv	290	61f70f0ed243de18a30698fd5d48a6af	4
compendia	CENSUS-CLOSURES-ch16d.tsv	555	3c793a7e2c9a4453bd73df69c6b37ddd	3
compendia	CENSUS-CLOSURES-ch16g.tsv	1571	c87c77517e02e3ef8ca286a62a5f8280	4
compendia	CENSUS-CLOSURES-ch16j.tsv	268	2ac0906964714677349cf0bb82c0a936	4
compendia	CENSUS-CLOSURES-ch16m.tsv	838	be7cf6857732a08c1f8908e4e37221ae	6
compendia	CENSUS-CLOSURES-ch16o.tsv	492	33b89259311b2b77c872a45ca579b323	3
compendia	CENSUS-CLOSURES-ch16q.tsv	587	a81596b4c57c3d1f5369a9ee94a8d086	4
compendia	CENSUS-CLOSURES-ch16r.tsv	1713	dcf37f1c5ff5e7e957567f6014d360f9	5
compendia	CENSUS-CLOSURES-ch16t.tsv	18	2deb87a95756d48874feff7dd5098af1	1
compendia	CENSUS-CLOSURES-ch16v.tsv	379	74ea5288abad09695e27b45a5968da9f	2
compendia	CENSUS-CLOSURES-ch16x.tsv	561	395b53827462cffd8db859b2acdcce51	2
compendia	CENSUS-CLOSURES-ch16z.tsv	1384	a88615646eb455272170fb7f44cffcbd	4
compendia	CENSUS-CLOSURES-ch17a.tsv	18	2deb87a95756d48874feff7dd5098af1	1
compendia	CENSUS-CLOSURES-ch17c.tsv	18	2deb87a95756d48874feff7dd5098af1	1
compendia	CENSUS-CLOSURES-ch17e.tsv	511	3400401669261da4c2b910a2112c1ee7	3
compendia	CENSUS-CLOSURES-ch18a.tsv	407	9ee834d79d5ad89830e3f7e820804959	2
compendia	CENSUS-CLOSURES-ch19a.tsv	661	e2d726fe8d66c3f5e50b49276547f79d	3
compendia	CENSUS-CLOSURES-ch20a.tsv	18	2deb87a95756d48874feff7dd5098af1	1
compendia	CENSUS-CLOSURES-ch21a.tsv	196	315b4daf49c87d5490168ee10f07b0bd	2
compendia	CENSUS-CLOSURES-ch22a.tsv	998	0d23f58caf6471da5a2f40554e3cbc2a	4
compendia	CENSUS-CLOSURES-ch23a.tsv	1916	b138b4bf6a3a59c35b8a35d8cd2f187c	21
compendia	CENSUS-CLOSURES-ch24a.tsv	1075	82cb2c38448c364a078a008ab8236b9b	9
compendia	CENSUS-CLOSURES-ch25a.tsv	868	38c3b00ecdf7fe687359b397d6b196d2	5
compendia	CENSUS-CLOSURES-ch26a.tsv	819	62f2627534a03284dd7026da56da2de9	6
compendia	CENSUS-CLOSURES-ch27a.tsv	519	9639d90c4948d002d683247b3da0af31	3
compendia	CENSUS-CLOSURES-ch28.tsv	294	8b667221242c3f5fd2cb868bb42d66c2	3
compendia	CENSUS-CLOSURES-ch3.tsv	1321	ac56a21c644a6a9c616f07b1920e730f	9
compendia	CENSUS-CLOSURES-ch34re.tsv	18	2deb87a95756d48874feff7dd5098af1	1
compendia	CENSUS-CLOSURES-ch4.tsv	262	69d2c03c3aa8930903eee9c25ab296ec	3
compendia	CENSUS-CLOSURES-ch5.tsv	438	8ba8c6ddd1b704fb6a9aa8bca8801ff7	4
compendia	CENSUS-CLOSURES-ch6.tsv	705	c3814b8019cc2daa72d804ccea2c7858	6
compendia	CENSUS-CLOSURES-ch7.tsv	18	2deb87a95756d48874feff7dd5098af1	1
compendia	CENSUS-CLOSURES-ch8.tsv	394	405ceb673597435aa0e0c2c414e5c0f6	3
compendia	CENSUS-CLOSURES-ch9.tsv	18	2deb87a95756d48874feff7dd5098af1	1
compendia	CENSUS-CLOSURES-reg1.tsv	860	7b25f1b9fdcef2ef477a06b9931854fd	4
compendia	CENSUS-CLOSURES-reg10.tsv	1033	d4f79c0a0a438c69b625da573cfc01b9	4
compendia	CENSUS-CLOSURES-reg11.tsv	1546	5723a77b56d131b1c2a415b7dc4f722e	8
compendia	CENSUS-CLOSURES-reg12.tsv	2950	4ab8780e2176c3527ccc2121864f62eb	27
compendia	CENSUS-CLOSURES-reg13.tsv	80555	b2d80e29e7096d16aa2cd4e5f36d26b6	224
compendia	CENSUS-CLOSURES-reg2.tsv	1436	17368b1dc01c279134cbfcf38430ed7d	6
compendia	CENSUS-CLOSURES-reg3.tsv	18	2deb87a95756d48874feff7dd5098af1	1
compendia	CENSUS-CLOSURES-reg4.tsv	18	2deb87a95756d48874feff7dd5098af1	1
compendia	CENSUS-CLOSURES-reg5.tsv	18	2deb87a95756d48874feff7dd5098af1	1
compendia	CENSUS-CLOSURES-reg6.tsv	18	2deb87a95756d48874feff7dd5098af1	1
compendia	CENSUS-CLOSURES-reg7.tsv	18	2deb87a95756d48874feff7dd5098af1	1
compendia	CENSUS-CLOSURES-reg8.tsv	18	2deb87a95756d48874feff7dd5098af1	1
compendia	CENSUS-CLOSURES-reg9.tsv	631	42b6a3c64106cf7f69a45d3532a7d502	3
compendia	CENSUS-CLOSURES-scf.tsv	2355	fe6b0a7ae1c0a4ab8c05cc5b1d97a097	14
compendia	CENSUS-CLOSURES-warn.tsv	18	2deb87a95756d48874feff7dd5098af1	1
compendia	CI_full.tsv	591	96c93a93b45edd77622bca0770a873ef	25
compendia	CYPHER.md	21608	e0aadc4845db10e8e00f8255d63d5952	319
compendia	CdII_full.tsv	931	3b88793e5320646d375eb809da11fe05	41
compendia	D59_DRAFT.md	5855	500859137cdaf031f82231cf37513302	40
compendia	DEFECT-CENSUS.tsv	236413	ba8306f2ffafb1f5373990bc1790a289	1558
compendia	DEFERRED.md	439928	4ee617720a1a4b7860f7a1748d8abea2	3517
compendia	DOCKET.md	73451	7a9e069c99a0347dd459606d7ac33508	455
compendia	EXCISE-LIST.json	3823	9d6b08df7c8c07ff8f3f148498bdf9aa	434
compendia	EXCISE-LIST.md	13159	71070341d32642c8d596fee5b2735d8f	120
compendia	EXCISE-SITES-BUILD14.json	9383	d8b75a860415ae02adb9f980350abe2b	664
compendia	FIGURE_ASSETS.md	3801	84b14a238acafe17704c20e11cda2e9c	47
compendia	FIGURE_MAP.md	1616	65373456aecad892a0b5f2832c9fdd3d	41
compendia	HgII_full.tsv	970	4837812fd7c93736149b780eced59aab	29
compendia	INTEGRATION-transitions.md	16966	010a3279944767ab58825bcf9905a346	146
compendia	IOI_SPEC_AUDIT.md	2287	96a94a4bd7b58bd718eac6b09a92e724	20
compendia	LESSONS.md	4017	85bc9f63f7929e56b77355230bda5d04	57
compendia	LIMITS-B.tsv	155	be85bf4ab318b2c0529be1ab83930aa8	7
compendia	LW1-MANIFEST.tsv	366	cff61f590b071cb42245ac8f26ffa11d	4
compendia	LW1-README.md	2764	fe8c1f52c8c6a7920f7b79ee3e359fde	41
compendia	LW1-ground-run.log	294	6bc5a6196d6de9348b6618fb92d27fe4	9
compendia	LW1-ground.py	6472	236975ac23aa29960d4f7c2a4d200cd6	129
compendia	MAIN_AUDIT.md	39577	46306dabfd51a3fe828ba244b9532d07	161
compendia	MANIFEST.md	2728	efa0e4d08f0ef8793e3abcc1592a9d98	45
compendia	MATH_AUDIT.md	3451	6f7ae942f767d381d0a4135673fc89a9	16
compendia	MEMBERS-126-concatenated.tsv	29050	2e4d139a254ce2fbdfc7b997030c570e	631
compendia	MEMBERS-126.tsv	31763	96cb6ea908f26e1c125b577d642e7328	564
compendia	NI_full.tsv	698	7d871319df87b99a126b6d384ede933b	29
compendia	ORIGINAL-3B-TEXT.txt	20633	f75c5e262a03daca06a9477d5cd15732	208
compendia	PHYS_AUDIT.md	2279	eb62df8262283a64f8f01097b2519700	13
compendia	POINTERS-BUILD14.json	4103	9bffb644ca893e5f3cba1be433db836f	451
compendia	R3-CLASS-EM.md	6708	8b693bae3a36e30195feae6f4e2908e8	110
compendia	R3-CLASS-WL.md	7146	100c84cab4c56d61b432183697e7498f	87
compendia	READ-21a.md	9825	ff5660f12e4acbc3a0606fd0a8db75de	32
compendia	READ-23a.md	9828	3113eafb64a0577f462b4fd7a9ea2f03	27
compendia	READ-24a.md	10455	5f0c0ed165a827964e28d2e2d2c1b760	26
compendia	READ-25b.md	7374	b1b6ef51dff6f7a9ac74e01785db20a5	76
compendia	READ-26b.md	8240	fedb545964f6f5d691d7cf1ca69a2616	91
compendia	READ-26c.md	7580	b8452727307936ec1d76e6ef97563290	82
compendia	READ-27a.md	7558	2be267b65f9bf8f93855c3d29820a40d	88
compendia	READ-28a2.md	7704	c5f9f345c869d0915e57072876836503	90
