species	designation	core_prefix	limit_cm1	n	E_cm1	two_branch
Ar II	ng 2[4] J=9/2		222848.300	6	210609.378	N
Ar II	ng 2[4] J=9/2		222848.300	7	213860.492	N
Ar II	ng 2[4] J=9/2		222848.300	8	215983.21	N
Ar II	ng 2[6] J=11/2		222848.300	6	210642.7273	N
Ar II	ng 2[6] J=11/2		222848.300	7	213881.217	N
Ar II	ng 2[6] J=11/2		222848.300	8	215983.21	N
Ar II	ng 2[6] J=13/2		222848.300	6	210642.4469	N
Ar II	ng 2[6] J=13/2		222848.300	7	213881.214	N
Ar II	ng 2[6] J=13/2		222848.300	8	215983.36	N
Ar II	3s2.3p4.(3P).nd 4D J=7/2	3s2.3p4.(3P).	222848.300	3	132327.3616	N
Ar II	3s2.3p4.(3P).nd 4D J=7/2	3s2.3p4.(3P).	222848.300	4	183675.6614	N
Ar II	3s2.3p4.(3P).nd 4D J=7/2	3s2.3p4.(3P).	222848.300	5	199879.3828	N
Ar II	3s2.3p4.(3P).ns 4P J=1/2	3s2.3p4.(3P).	222848.300	4	135601.7336	N
Ar II	3s2.3p4.(3P).ns 4P J=1/2	3s2.3p4.(3P).	222848.300	5	182951.2609	N
Ar II	3s2.3p4.(3P).ns 4P J=1/2	3s2.3p4.(3P).	222848.300	6	200110.4236	N
Ar II	3s2.3p4.(3P).ns 4P J=3/2	3s2.3p4.(3P).	222848.300	4	135085.9958	N
Ar II	3s2.3p4.(3P).ns 4P J=3/2	3s2.3p4.(3P).	222848.300	5	182222.1209	N
Ar II	3s2.3p4.(3P).ns 4P J=3/2	3s2.3p4.(3P).	222848.300	6	199138.5106	N
Ar II	3s2.3p4.(3P).ns 4P J=5/2	3s2.3p4.(3P).	222848.300	4	134241.7389	N
Ar II	3s2.3p4.(3P).ns 4P J=5/2	3s2.3p4.(3P).	222848.300	5	181594.1404	N
Ar II	3s2.3p4.(3P).ns 4P J=5/2	3s2.3p4.(3P).	222848.300	6	198812.61	N
Ba III	ns 2[1/2]* J=1		306650.000	8	262960.0	N
Ba III	ns 2[1/2]* J=1		306650.000	9	276920.0	N
Ba III	ns 2[1/2]* J=1		306650.000	10	285090.0	N
Ba III	ns 2[1/2]* J=1		306650.000	11	290290.0	N
Ba III	ns 2[1/2]* J=1		306650.000	12	293810.0	N
Ba III	ns 2[1/2]* J=1		306650.000	13	296290.0	N
Ba III	ns 2[1/2]* J=1		306650.000	14	298140.0	N
Ba III	ns 2[1/2]* J=1		306650.000	15	299490.0	N
Ba III	ns 2[1/2]* J=1		306650.000	16	300620.0	N
Ba III	ns 2[1/2]* J=1		306650.000	17	301460.0	N
Ba III	nd 2[3/2]* J=2	5p5.(2P*<3/2>).	289100.000	5	137983.14	Y
Ba III	nd 2[3/2]* J=2	5p5.(2P*<3/2>).	289100.000	6	218725.5	Y
Ba III	nd 2[3/2]* J=2	5p5.(2P*<3/2>).	289100.000	7	245857.62	Y
Ba III	nd 2[3/2]* J=2		289100.000	7	264130.0	Y
Ba III	nd 2[3/2]* J=2		289100.000	8	260390.0	Y
Ba III	nd 2[3/2]* J=2		289100.000	8	277580.0	Y
Ba III	nd 2[3/2]* J=2		289100.000	9	268250.0	Y
Ba III	nd 2[3/2]* J=2		289100.000	9	285470.0	Y
Ba III	nd 2[3/2]* J=2		289100.000	10	273180.0	Y
Ba III	nd 2[3/2]* J=2		289100.000	11	276520.0	Y
Ba III	nd 2[3/2]* J=2		289100.000	12	279010.0	Y
Ba III	nd 2[3/2]* J=2		289100.000	13	280760.0	Y
Ba III	nd 2[3/2]* J=2		289100.000	14	282110.0	Y
Ba III	nd 2[3/2]* J=2		289100.000	15	283140.0	Y
Ba III	nd 2[3/2]* J=2		289100.000	16	283970.0	Y
Ba III	nd 2[3/2]* J=2		289100.000	17	284630.0	Y
