id	phase	status	size	reader_facing	triaged	title	source
A-D1	-	DONE	S	yes	yes	Rule how three Appendix D coordinate cells re-enter the status grammar	/home/user/Claude-Method-Works/method/DEF-153D-PENDING.md, items 1 and 4 (lines 4, 7-10)
A-D2	-	DONE	S	no	yes	r2-23a held red, never re-banked, no prose-tolerant successor	/home/user/Claude-Method-Works/method/DEF-153D-PENDING.md, item 5 (line 11)
A-D3	6	OPEN	M	no	yes	R3 class files must declare controlled-vocabulary columns before editing a table	/home/user/Claude-Method-Works/method/DEF-153D-PENDING.md, item 6 (line 12)
A-E1	-	DONE	S	yes	yes	Rule the surds row and §D.2's 'nothing withdrawn survived' prose together	/home/user/Claude-Method-Works/method/DEF-153E-PENDING.md, items 2, 4 and 6 (lines 5, 14, 16)
A-E2	-	DONE	S	yes	yes	Read §D.2's two historical sentences as history when repairing the prose	/home/user/Claude-Method-Works/method/DEF-153E-PENDING.md, item 5 (line 15)
A-E3	6	OPEN	S	no	yes	No instrument counts Appendix D's coordinates column per status value	/home/user/Claude-Method-Works/method/DEF-153E-PENDING.md, item 3 (lines 7-13)
A-F1	6	OPEN	L	no	yes	Compendium generator chain stale; regeneration would drop guarded-build work	/home/user/Claude-Method-Works/method/DEF-153F-PENDING.md, §F-1 (lines 5-28); also DEF-153G-PENDING.md lines 69-74
A-F2	-	DONE	M	no	yes	qgraph.py successor for the compendium's `### Title` form	/home/user/Claude-Method-Works/method/DEF-153F-PENDING.md, §F-2 (lines 30-42)
A-F3	6	OPEN	S	no	yes	Guarded-build docstrings overstate the reverse-md5 guard	/home/user/Claude-Method-Works/method/DEF-153F-PENDING.md, §F-3 (lines 44-53)
A-F4	2	OPEN	M	yes	yes	Register 1580's corridor census does not reproduce against slopeaxis.py	/home/user/Claude-Method-Works/method/DEF-153F-PENDING.md, §F-4 (lines 55-69)
A-G1	0	OPEN	S	yes	yes	Rule the Appendix D row split (theorem · order / corridor law · physics): structural or content	/home/user/Claude-Method-Works/method/DEF-153G-PENDING.md, §G-1 (lines 3-30); DEF-153I-PENDING.md lines 61-67
A-G2	-	DONE	M	yes	yes	Seat the corridor-law entry in the Physics Compendium by guarded build	/home/user/Claude-Method-Works/method/DEF-153G-PENDING.md, §G-2 and closing section (lines 32-53, 69-74)
A-G3	-	DONE	S	yes	yes	Corridor law's '⟨N⟩ objects rest on it' waits on a qgraph successor	/home/user/Claude-Method-Works/method/DEF-153G-PENDING.md, §G-2 (lines 54-67)
A-H1	-	DONE	S	yes	yes	§D.5.10's caption contradicted its table after BUILD95	/home/user/Claude-Method-Works/method/DEF-153H-PENDING.md, §H-1 and Status (lines 3-27, 71-73)
A-H2	-	DONE	S	no	yes	Appendix D readers must slice by each table's own header	/home/user/Claude-Method-Works/method/DEF-153H-PENDING.md, §H-2 (lines 29-67)
A-I1	-	DONE	M	yes	yes	Law · physics fibre does not close and never did; rule or state it honestly	/home/user/Claude-Method-Works/method/DEF-153I-PENDING.md, The result and Which edit caused which (lines 16-40)
A-I2	-	DONE	S	yes	yes	Theorem · physics fibre broken by 1460's `sampled` demotion; reversible	/home/user/Claude-Method-Works/method/DEF-153I-PENDING.md, Which edit caused which (lines 42-46)
A-I3	-	DONE	S	no	yes	Never quote the four-fibre reading; declare §D.2's value orders to cypher.py	/home/user/Claude-Method-Works/method/DEF-153I-PENDING.md, A method note (lines 48-59)
B-J1	-	DUP of C-17	L	no	yes	Readings for the 'text changed' goldens — residual held set	method/DEF-153J-PENDING.md, §The triage (L22–36) and §Order of work (L54–59)
B-J2	-	DONE	M	no	yes	Prove the anchors of the 17 numbers-only goldens before re-bank	method/DEF-153J-PENDING.md, §THE CAVEAT (L38–52)
B-J3	-	DUP of C-17	M	no	yes	Inspect the 15 'line count differs' goldens — residual r2-ch18b	method/DEF-153J-PENDING.md, §The triage (L26, L32–33)
B-J4	-	DONE	M	yes	yes	reg1-04: repair the Register's drifted front-matter counts	method/DEF-153J-PENDING.md, §Order of work (L54–59)
B-K1	-	DONE	S	yes	yes	Rule the direction of the precedent coordinate (found vs none found)	method/DEF-153K-PENDING.md, §One question the sweep did raise (L40–46)
B-K2	-	DONE	M	yes	yes	Rule among Options A/B/C for Appendix D's closure claim	method/DEF-153K-PENDING.md, §What it does to the ruling (L48–54)
B-K3	-	DONE	L	yes	yes	Law · physics stays open by design; the record must say so	method/DEF-153K-PENDING.md L50 ('Option C … is what is left'); method/DEF-153L-PENDING.md §4 (L81–83); method/DEF-153M-P
B-L1	3	OPEN	M	yes	yes	§D.5.5's 'E falls as the fibration is refined' is false at 77 elements and still printed	method/DEF-153L-PENDING.md, §2 (L15–36)
B-L2	0	OPEN	M	yes	yes	§D.5.5's strong-form/weak-form paragraph: the appendix closes better undivided	method/DEF-153L-PENDING.md, §3 (L38–50)
B-L3	-	DONE	S	yes	yes	Promote theorem · physics's verification sampled → exhaustive (§D.5.6's route)	method/DEF-153L-PENDING.md, §4 (L59–79)
B-M1	-	DONE	S	yes	yes	Rule route A: record law · physics's closure as UNWITNESSED	method/DEF-153M-PENDING.md, §4 (L55–65)
B-N1	-	DUP of C-17	L	no	yes	Content-keyed successors for the ~45 positional-class instruments — residual	method/DEF-153N-PENDING.md, §The class (L10–36) and §What waits (L72–77)
B-N2	6	OPEN	M	no	yes	A shift-invariance test for instrument successors does not exist	method/DEF-153N-PENDING.md, §The blind spot (L49–60)
