# Al III — NIST ASD 5.12, Martin & Zalubas 1979 · Na-like, Z=13, 11 electrons
# limit Al IV (2p6 1S0) = 229445.71 +/- 0.2 cm-1
config	term	J	level_cm1
3s	2S	1/2	0.00
4s	2S	1/2	126164.05
5s	2S	1/2	170637.35
6s	2S	1/2	191484.23
7s	2S	1/2	202921.60
8s	2S	1/2	209869.89
3p	2P*	1/2	53682.93
4p	2P*	1/2	143633.38
5p	2P*	1/2	178433.43
6p	2P*	1/2	195621.72
7p	2P*	1/2	205375.74
3d	2D	5/2	115956.21
4d	2D	5/2	165786.32
5d	2D	5/2	188877.57
6d	2D	5/2	201375.20
7d	2D	5/2	208881.83
8d	2D	5/2	213737.44
4f	2F*	5/2	167612.75
5f	2F*	5/2	189876.10
6f	2F*	5/2	201971.16
7f	2F*	5/2	209263.25
8f	2F*	5/2	213995.48
9f	2F*	5/2	217239.31
5g	2G	7/2	189928.49
6g	2G	7/2	202003.58
7g	2G	7/2	209284.53
8g	2G	7/2	214010.22
9g	2G	7/2	217250.17
6h	2H*	9/2	202009.71
7h	2H*	9/2	209288.46
8h	2H*	9/2	214012.93
9h	2H*	9/2	217252.15
