# Ar II — NIST ASD 5.12, Saloman 2010, ref L15349 · 419 levels found, first 130 captured
# ALL VALUES DECREASED BY 0.0002 cm-1 by the compiler to set the ground state to zero
# THIS FILE CARRIES UNCERTAINTIES — the Handbook does not
config	term	J	level_cm1	unc_cm1	lande
3s2.3p5	2P*	3/2	0.0000	0.0008	
3s2.3p5	2P*	1/2	1431.5831	0.0008	
3s.3p6	2S	1/2	108721.537	0.012	
3s2.3p4.(3P).3d	4D	7/2	132327.3616	0.0004	
3s2.3p4.(3P).3d	4D	5/2	132481.2068	0.0004	
3s2.3p4.(3P).3d	4D	3/2	132630.7277	0.0004	
3s2.3p4.(3P).3d	4D	1/2	132737.7039	0.0006	
3s2.3p4.(3P).4s	4P	5/2	134241.7389	0.0003	1.598
3s2.3p4.(3P).4s	4P	3/2	135085.9958		1.722
3s2.3p4.(3P).4s	4P	1/2	135601.7336	0.0003	2.650
3s2.3p4.(3P).4s	2P	3/2	138243.6444	0.0002	1.334
3s2.3p4.(3P).4s	2P	1/2	139258.3389	0.0002	0.676
3s2.3p4.(3P).3d	4F	9/2	142186.3153	0.0003	
3s2.3p4.(3P).3d	4F	7/2	142717.0965	0.0003	
3s2.3p4.(3P).3d	4F	5/2	143107.6801	0.0003	
3s2.3p4.(3P).3d	4F	3/2	143371.4364	0.0005	
3s2.3p4.(3P).3d	2P	1/2	144709.9818	0.0003	
3s2.3p4.(3P).3d	2P	3/2	145668.8845	0.0003	
3s2.3p4.(3P).3d	4P	1/2	147228.0521	0.0008	
3s2.3p4.(3P).3d	4P	3/2	147503.1134	0.0005	
3s2.3p4.(3P).3d	4P	5/2	147875.9477	0.0004	
3s2.3p4.(1D).4s	2D	3/2	148620.1414	0.0002	0.803
3s2.3p4.(1D).4s	2D	5/2	148842.4674	0.0002	1.202
3s2.3p4.(3P).3d	2F	7/2	149179.2444	0.0002	
3s2.3p4.(3P).3d	2F	5/2	150147.7021	0.0002	
3s2.3p4.(3P).3d	2D	3/2	150474.9903	0.0002	
3s2.3p4.(3P).3d	2D	5/2	151087.3128	0.0002	
3s2.3p4.(1D).3d	2G	9/2	154181.4942	0.0003	
3s2.3p4.(1D).3d	2G	7/2	154204.0240	0.0003	
3s2.3p4.(3P).4p	4P*	5/2	155043.1619	0.0002	1.599
3s2.3p4.(3P).4p	4P*	3/2	155351.1206	0.0002	1.720
3s2.3p4.(3P).4p	4P*	1/2	155708.1075	0.0003	2.638
3s2.3p4.(3P).4p	4D*	7/2	157234.0196	0.0003	1.427
3s2.3p4.(3P).4p	4D*	5/2	157673.4134	0.0002	1.334
3s2.3p4.(3P).4p	4D*	3/2	158167.7999	0.0003	1.199
3s2.3p4.(3P).4p	4D*	1/2	158428.1087	0.0004	0.000
3s2.3p4.(3P).4p	2D*	5/2	158730.2995	0.0002	1.241
3s2.3p4.(3P).4p	2D*	3/2	159393.3850	0.0002	0.918
3s2.3p4.(3P).4p	2P*	1/2	159706.5337	0.0002	0.983
3s2.3p4.(3P).4p	2P*	3/2	160239.4280	0.0002	1.244
3s2.3p4.(3P).4p	4S*	3/2	161048.7411	0.0003	1.987
