# Ar II — the nh and ni runs on the 3P<2> and 3P<1> cores, ref L15349
# limit Ar III (3p4 3P2) = 222848.3 cm-1
# these reach l = 5 and l = 6, beyond anything else in the compendium
config	term	J	level_cm1
6h	2[5]*	11/2	211770.9564
7h	2[5]*	11/2	213878.149
6h	2[5]*	9/2	211770.9679
7h	2[5]*	9/2	213878.197
6h	2[6]*	11/2	211754.9832
7h	2[6]*	11/2	213878.438
6h	2[6]*	13/2	211754.9991
7h	2[6]*	13/2	213878.449
6h	2[4]*	7/2	211751.9642
7h	2[4]*	7/2	213884.608
6h	2[4]*	9/2	211751.9752
7h	2[4]*	9/2	213884.621
7i	2[6]	11/2	213884.353
7i	2[6]	13/2	213884.356
7i	2[7]	13/2	213884.837
7i	2[7]	15/2	213884.8430
7i	2[5]	9/2	213887.9656
7i	2[5]	11/2	213887.9736
7i	2[8]	15/2	213891.8093
7i	2[8]	17/2	213891.8233
7i	2[4]	7/2	213893.900
7i	2[4]	9/2	213893.914
6g	2[4]	9/2	211761.469
7g	2[4]	9/2	213860.492
6g	2[4]	7/2	211761.470
7g	2[4]	7/2	213860.614
6g	2[3]	7/2	211725.660
7g	2[3]	7/2	213873.677
6g	2[5]	11/2	211732.3605
7g	2[5]	11/2	213859.364
6g	2[6]	13/2	211642.4469
7g	2[6]	13/2	213881.214
