# As IV — NIST ASD levels, fetched live 2026-08-14 (session 1.8, batch 2 fetch 5).
# destination_url VERIFIED: energy1.pl?...spectrum=As+IV...format=2&units=0 (cm-1)
# Zn-like two-electron (4s2 1S ground). 33 levels. THREE ANONYMOUS LEVELS:
# empty configs with bare numeric "terms" 2/3/1 at 294612.5, 297946., 298117.
# — the source itself refuses names here; kept exactly as printed.
# Limit: As V (4s 2S<1/2>) 404500.
Configuration	Term	J	Level_cm-1
3d10.4s2	1S	0	0.
3d10.4s.4p	3P*	0	75812.
3d10.4s.4p	3P*	1	76962.
3d10.4s.4p	3P*	2	79492.
3d10.4s.4p	1P*	1	112022.
3d10.4s.4d	1D	2	179563.
3d10.4p2	3P	0	179934.
3d10.4p2	3P	1	181468.
3d10.4p2	3P	2	184394.
3d10.4p2	1D	2	204658.
3d10.4s.4d	3D	1	210597.0
3d10.4s.4d	3D	2	210729.8
3d10.4s.4d	3D	3	210932.6
3d10.4p2	1S	0	211683.
3d10.4s.5s	3S	1	220127.6
3d10.4s.5s	1S	0	229420.5
3d10.4s.5p	3P*	0	251212.0
3d10.4s.5p	3P*	1	251466.9
3d10.4s.5p	3P*	2	252285.0
3d10.4s.5p	1P*	1	254039.9
3d10.4s.4f	3F*	2	284456.
3d10.4s.4f	3F*	3	284730.
3d10.4s.4f	3F*	4	285143.
3d10.4s.4f	1F*	3	285730.
3d10.4s.5d	1D	2	293834.4
	2	2	294612.5
3d10.4s.5d	3D	1	295580.8
3d10.4s.5d	3D	2	295639.0
3d10.4s.5d	3D	3	295730.2
	3	0	297946.
	1	2	298117.
3d10.4s.6s	3S	1	298875.1
3d10.4s.6s	1S	0	300698.9
As_V_(4s_2S<1/2>)	Limit	---	404500
