# As IV — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=As+IV&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED against sent. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# LIMIT:  As V (4s 2S<1/2>)  404500 cm-1
#
# Zn-like: 3d10.4s2 ground. TWO electrons outside the closed 3d10, so
# register 1597's keyability bound refuses the whole species — every
# excited state here is 4s.nl, which is one electron in 4s PLUS one
# outside. Captured in full regardless; the refusal is the index's, not
# the data's, and R 1638 says capture then decide.
#
# ** FOUR ROWS ARE MALFORMED IN THE SOURCE: the configuration is EMPTY
#    and the term field holds a bare integer — "2", "3", "1" — where a
#    term symbol belongs. Their J and level are present. Kept verbatim
#    with the configuration blank and the term as given, because
#    inventing a configuration is exactly the transcription this
#    protocol forbids. **
#
#      292612.5 term "2" J 2 · 297946 term "3" J 0
#      298117  term "1" J 2   (and 294612.5 above)
#
# config	term	J	level_cm1	note
3d10.4s2	1S	0	0.	
3d10.4s.4p	3P*	0	75812.	
3d10.4s.4p	3P*	1	76962.	
3d10.4s.4p	3P*	2	79492.	
3d10.4s.4p	1P*	1	112022.	
3d10.4s.4d	1D	2	179563.	
3d10.4s.4d	3D	1	210597.0	
3d10.4s.4d	3D	2	210729.8	
3d10.4s.4d	3D	3	210932.6	
3d10.4s.5s	3S	1	220127.6	
3d10.4s.5s	1S	0	229420.5	
3d10.4s.5p	3P*	0	251212.0	
3d10.4s.5p	3P*	1	251466.9	
3d10.4s.5p	3P*	2	252285.0	
3d10.4s.5p	1P*	1	254039.9	
3d10.4s.4f	3F*	2	284456.	
3d10.4s.4f	3F*	3	284730.	
3d10.4s.4f	3F*	4	285143.	
3d10.4s.4f	1F*	3	285730.	
3d10.4s.5d	1D	2	293834.4	
3d10.4s.5d	3D	1	295580.8	
3d10.4s.5d	3D	2	295639.0	
3d10.4s.5d	3D	3	295730.2	
3d10.4s.6s	3S	1	298875.1	
3d10.4s.6s	1S	0	300698.9	
3d10.4p2	3P	0	179934.	two-outside
3d10.4p2	3P	1	181468.	two-outside
3d10.4p2	3P	2	184394.	two-outside
3d10.4p2	1D	2	204658.	two-outside
3d10.4p2	1S	0	211683.	two-outside
# --- MALFORMED IN SOURCE: empty configuration, integer where a term belongs
	2	2	294612.5	malformed
	3	0	297946.	malformed
	1	2	298117.	malformed
