# B I — NIST ASD levels, fetched live 2026-08-14 (session 1.8, batch 3 fetch 2).
# destination_url VERIFIED: energy1.pl?...spectrum=B+I...format=2&units=0 (cm-1)
# SEVEN LIMIT ROWS — the most of any capture: B II 1S<0> (66928.040), the
# 2s.2p 3P* limit J-RESOLVED THREE WAYS (<0> 104263.58, <1> 104269.69,
# <2> 104285.84), 1P*<1> (140324.55), then TWO K-SHELL HOLE LIMITS
# (1s.2s2.2p 3P* 1618600, 1P* 1634540) with 1s-hole levels at ~1.54M.
# MERGED-J ROWS: "1/2,3/2" etc. printed as one row (kept verbatim); two
# rows carry J "1/2 or 3/2" with EMPTY term. "+x" suffix on quartets kept.
# d-series to 39d against the first limit.
Configuration	Term	J	Level_cm-1	Flag
2s2.2p	2P*	1/2	0.0000	
2s2.2p	2P*	3/2	15.287	
2s.2p2	4P	1/2	28647.43	+x
2s.2p2	4P	3/2	28652.07	+x
2s.2p2	4P	5/2	28658.40	+x
2s2.3s	2S	1/2	40039.6907	
2s.2p2	2D	5/2	47856.809	
2s.2p2	2D	3/2	47857.125	
2s2.3p	2P*	1/2	48611.8663	
2s2.3p	2P*	3/2	48613.6486	
2s2.3d	2D	3/2	54767.6944	
2s2.3d	2D	5/2	54767.8387	
2s2.4s	2S	1/2	55010.2338	
2s2.4p	2P*	1/2	57786.4336	
2s2.4p	2P*	3/2	57787.0683	
2s2.4d	2D	3/2	59993.45	
2s2.4d	2D	5/2	59993.45	
2s2.4f	2F*	5/2	60031.0762	
2s2.4f	2F*	7/2	60031.0816	
2s2.5s	2S	1/2	60146.414	
2s2.5p	2P*	1/2,3/2	61433.59	
2s2.6s	2S	1/2	62482.167	
2s2.5d	2D	3/2	62485.504	
2s2.5d	2D	5/2	62485.504	
2s2.5f	2F*	5/2	62516.5592	
2s2.5f	2F*	7/2	62516.5592	
2s2.6p	2P*	1/2,3/2	63263.24	
2s.2p2	2S	1/2	63560.638	
2s2.6d	2D	3/2	63845.323	
2s2.6d	2D	5/2	63845.323	
2s2.6f	2F*	5/2	63866.326	
2s2.6f	2F*	7/2	63866.326	
2s2.7s	2S	1/2	64156.017	
2s2.7p	2P*	1/2,3/2	64308.39	
2s2.7d	2D	3/2	64665.353	
2s2.7d	2D	5/2	64665.353	
2s2.7f	2F*	5/2	64679.745	
2s2.7f	2F*	7/2	64679.745	
2s2.8s	2S	1/2	64792.09	
2s2.8p	2P*	1/2,3/2	64964.3	
2s2.8d	2D	3/2	65197.29	
2s2.8d	2D	5/2	65197.29	
2s2.8f	2F*	5/2	65207.38	
2s2.8f	2F*	7/2	65207.38	
2s2.9s	2S	1/2	65270.19	
2s2.9p	2P*	1/2,3/2	65400.7	
2s2.9d	2D	3/2,5/2	65561.68	
2s2.9f	2F*	5/2,7/2	65568.95	
2s2.10s	2S	1/2	65609.38	
2s2.10d	2D	3/2,5/2	65822.14	
2s2.10f	2F*	5/2,7/2	65827.26	
2s2.11d	2D	3/2,5/2	66014.59	
2s2.11f	2F*	5/2,7/2	66018.63	
2s2.12d	2D	3/2,5/2	66160.94	
2s2.13d	2D	3/2,5/2	66274.68	
2s2.14d	2D	3/2,5/2	66364.91	
2s2.15d	2D	3/2,5/2	66437.64	
2s2.16d	2D	3/2,5/2	66497.16	
2s2.17d	2D	3/2,5/2	66546.49	
2s2.18d	2D	3/2,5/2	66587.80	
2s2.19d	2D	3/2,5/2	66622.73	
2s2.20d	2D	3/2,5/2	66652.54	
2s2.21d	2D	3/2,5/2	66678.18	
2s2.22d	2D	3/2,5/2	66700.43	
2s2.23d	2D	3/2,5/2	66719.81	
2s2.24d	2D	3/2,5/2	66736.87	
2s2.25d	2D	3/2,5/2	66752.05	
2s2.26d	2D	3/2,5/2	66765.21	
