# B III — NIST ASD 5.12, Kramida et al. 2008 · Li-like, Z=5, 3 electrons
# limit B IV (1s2 1S0) = 305930.8 +/- 0.6 cm-1
config	term	J	level_cm1
2s	2S	1/2	0.000
3s	2S	1/2	180201.92
4s	2S	1/2	237698.27
5s	2S	1/2	263159.78
6s	2S	1/2	276630.32
7s	2S	1/2	284609.86
8s	2S	1/2	289723.38
9s	2S	1/2	293195.66
2p	2P*	1/2	48358.335
3p	2P*	1/2	192951.23
4p	2P*	1/2	242829.74
5p	2P*	1/2	265721.62
6p	2P*	1/2	278090.15
7p	2P*	1/2	285519.29
8p	2P*	1/2	290327.86
9p	2P*	1/2	293617.69
3d	2D	3/2	196068.75
4d	2D	3/2	244141.63
5d	2D	3/2	266391.36
6d	2D	3/2	278476.47
7d	2D	3/2	285762.20
8d	2D	3/2	290490.40
9d	2D	3/2	293731.73
10d	2D	3/2	296050.06
11d	2D	3/2	297765.25
4f	2F*	5/2	244199.12
5f	2F*	5/2	266422.38
6f	2F*	5/2	278495.15
7f	2F*	5/2	285774.21
8f	2F*	5/2	290498.54
9f	2F*	5/2	293737.50
10f	2F*	5/2	296054.29
11f	2F*	5/2	297768.44
5g	2G	7/2	266426.94
6g	2G	7/2	278497.08
7g	2G	7/2	285775.45
8g	2G	7/2	290499.39
9g	2G	7/2	293738.10
10g	2G	7/2	296054.73
6h	2H*	9/2	278497.56
7h	2H*	9/2	285775.76
8h	2H*	9/2	290499.60
9h	2H*	9/2	293738.26
10h	2H*	9/2	296054.84
