# Ba III — NIST ASD 5.12, Sansonetti & Curry 2010, ref L3667 · 162 levels found
# PARTIAL: the levels visible in the supplied output, through 5p5.(2P*3/2).5g
# sigma UNIFORM at 0.20 on every level; ground level 0.5 — a compilation floor, not a measurement
# limit not stated in the supplied portion
config	term	J	level_cm1	unc_cm1
5p6	1S	0	0.00	0.5
5p5.(2P*<3/2>).5d	2[1/2]*	0	132770.79	0.20
5p5.(2P*<3/2>).5d	2[1/2]*	1	134568.12	0.20
5p5.(2P*<3/2>).5d	2[3/2]*	2	137983.14	0.20
5p5.(2P*<3/2>).5d	2[3/2]*	1	153054.62	0.20
5p5.(2P*<3/2>).5d	2[7/2]*	4	138931.25	0.20
5p5.(2P*<3/2>).5d	2[7/2]*	3	140472.87	0.20
5p5.(2P*<3/2>).5d	2[5/2]*	2	142929.99	0.20
5p5.(2P*<3/2>).5d	2[5/2]*	3	147066.86	0.20
5p5.(2P*<3/2>).6s	2[3/2]*	2	152135.02	0.20
5p5.(2P*<3/2>).6s	2[3/2]*	1	154494.21	0.20
5p5.(2P*<1/2>).5d	2[5/2]*	2	156736.25	0.20
5p5.(2P*<1/2>).5d	2[5/2]*	3	161109.28	0.20
5p5.(2P*<1/2>).5d	2[3/2]*	2	159509.20	0.20
5p5.(2P*<1/2>).5d	2[3/2]*	1	180026.71	0.20
5p5.(2P*<3/2>).4f	2[3/2]	1	166544.02	0.20
5p5.(2P*<3/2>).4f	2[3/2]	2	168583.77	0.20
5p5.(2P*<1/2>).6s	2[1/2]*	0	169297.15	0.20
5p5.(2P*<1/2>).6s	2[1/2]*	1	170192.53	0.20
5p5.(2P*<3/2>).4f	2[9/2]	5	171398.38	0.20
5p5.(2P*<3/2>).4f	2[9/2]	4	172522.89	0.20
5p5.(2P*<3/2>).4f	2[5/2]	3	171728.66	0.20
5p5.(2P*<3/2>).4f	2[5/2]	2	182598.59	0.20
5p5.(2P*<3/2>).4f	2[7/2]	3	175778.09	0.20
5p5.(2P*<3/2>).4f	2[7/2]	4	178776.59	0.20
5p5.(2P*<3/2>).6p	2[1/2]	1	177593.45	0.20
5p5.(2P*<3/2>).6p	2[1/2]	0	187660.61	0.20
5p5.(2P*<3/2>).6p	2[5/2]	2	179530.58	0.20
5p5.(2P*<3/2>).6p	2[5/2]	3	181816.17	0.20
5p5.(2P*<3/2>).6p	2[3/2]	1	182722.42	0.20
5p5.(2P*<3/2>).6p	2[3/2]	2	184342.92	0.20
5p5.(2P*<1/2>).4f	2[7/2]	3	189195.30	0.20
5p5.(2P*<1/2>).4f	2[7/2]	4	192011.93	0.20
5p5.(2P*<1/2>).4f	2[5/2]	3	191112.15	0.20
5p5.(2P*<1/2>).4f	2[5/2]	2	196410.28	0.20
5p5.(2P*<1/2>).6p	2[3/2]	1	196643.31	0.20
5p5.(2P*<1/2>).6p	2[3/2]	2	200608.56	0.20
5p5.(2P*<1/2>).6p	2[1/2]	1	199872.92	0.20
5p5.(2P*<1/2>).6p	2[1/2]	0	201309.00	0.20
5p5.(2P*<3/2>).6d	2[1/2]*	0	216847.43	0.20
5p5.(2P*<3/2>).6d	2[1/2]*	1	217420.70	0.20
5p5.(2P*<3/2>).7s	2[3/2]*	2	217975.27	0.20
5p5.(2P*<3/2>).7s	2[3/2]*	1	218837.25	0.20
5p5.(2P*<3/2>).6d	2[7/2]*	4	218225.00	0.20
5p5.(2P*<3/2>).6d	2[7/2]*	3	218422.03	0.20
5p5.(2P*<3/2>).6d	2[3/2]*	2	218725.50	0.20
5p5.(2P*<3/2>).6d	2[3/2]*	1	222743.50	0.20
5p5.(2P*<3/2>).6d	2[5/2]*	2	219262.27	0.20
5p5.(2P*<3/2>).6d	2[5/2]*	3	219844.60	0.20
5p5.(2P*<3/2>).5f	2[3/2]	1	228167.18	0.20
5p5.(2P*<3/2>).5f	2[3/2]	2	228310.67	0.20
5p5.(2P*<3/2>).7p	2[1/2]	1	228369.60	0.20
5p5.(2P*<3/2>).7p	2[1/2]	0	232029.83	0.20
5p5.(2P*<3/2>).5f	2[9/2]	5	228724.37	0.20
5p5.(2P*<3/2>).5f	2[9/2]	4	228729.53	0.20
5p5.(2P*<3/2>).7p	2[5/2]	2	229058.57	0.20
5p5.(2P*<3/2>).7p	2[5/2]	3	230007.57	0.20
5p5.(2P*<3/2>).5f	2[5/2]	3	229106.94	0.20
5p5.(2P*<3/2>).5f	2[5/2]	2	229456.10	0.20
5p5.(2P*<3/2>).5f	2[7/2]	3	229753.55	0.20
5p5.(2P*<3/2>).5f	2[7/2]	4	229896.89	0.20
5p5.(2P*<3/2>).7p	2[3/2]	1	230176.70	0.20
5p5.(2P*<3/2>).7p	2[3/2]	2	230671.94	0.20
5p5.(2P*<1/2>).6d	2[5/2]*	2	235589.63	0.20
5p5.(2P*<1/2>).6d	2[5/2]*	3	236423.50	0.20
5p5.(2P*<1/2>).7s	2[1/2]*	0	235676.70	0.20
5p5.(2P*<1/2>).7s	2[1/2]*	1	235935.32	0.20
5p5.(2P*<1/2>).6d	2[3/2]*	2	236065.63	0.20
5p5.(2P*<1/2>).6d	2[3/2]*	1	238027.02	0.20
5p5.(2P*<3/2>).7d	2[1/2]*	0	245076.98	0.20
5p5.(2P*<3/2>).7d	2[1/2]*	1	245363.62	0.20
5p5.(2P*<3/2>).8s	2[3/2]*	2	245326.27	0.20
5p5.(2P*<3/2>).8s	2[3/2]*	1	245628.92	0.20
5p5.(2P*<3/2>).7d	2[7/2]*	4	245668.00	0.20
5p5.(2P*<3/2>).7d	2[7/2]*	3	245726.19	0.20
5p5.(2P*<3/2>).7d	2[3/2]*	2	245857.62	0.20
5p5.(2P*<3/2>).7d	2[3/2]*	1	247635.54	0.20
5p5.(2P*<3/2>).7d	2[5/2]*	2	246121.04	0.20
5p5.(2P*<3/2>).7d	2[5/2]*	3	246348.73	0.20
5p5.(2P*<1/2>).5f	2[7/2]	3	246341.26	0.20
5p5.(2P*<1/2>).5f	2[7/2]	4	246533.65	0.20
5p5.(2P*<1/2>).5f	2[5/2]	3	246467.64	0.20
5p5.(2P*<1/2>).5f	2[5/2]	2	246506.79	0.20
5p5.(2P*<3/2>).5g	2[5/2]*	2	248905.51	0.20
5p5.(2P*<3/2>).5g	2[5/2]*	3	248919.93	0.20
5p5.(2P*<3/2>).5g	2[11/2]*	6	249006.03	0.20
5p5.(2P*<3/2>).5g	2[11/2]*	5	249010.44	0.20
5p5.(2P*<3/2>).5g	2[7/2]*	4	249246.21	0.20
5p5.(2P*<3/2>).5g	2[7/2]*	3	249254.39	0.20
