# Ba III — the nf, ng and nh runs on the 2P*3/2 core, ref L3667
# limit Ba IV (5s2.5p5 2P*3/2) = 289100 +/- 20 cm-1
config	term	J	level_cm1
4f	2[3/2]	1	166544.02
5f	2[3/2]	1	228167.18
4f	2[3/2]	2	168583.77
5f	2[3/2]	2	228310.67
4f	2[9/2]	5	171398.38
5f	2[9/2]	5	228724.37
4f	2[9/2]	4	172522.89
5f	2[9/2]	4	228729.53
4f	2[5/2]	3	171728.66
5f	2[5/2]	3	229106.94
4f	2[5/2]	2	182598.59
5f	2[5/2]	2	229456.10
4f	2[7/2]	3	175778.09
5f	2[7/2]	3	229753.55
4f	2[7/2]	4	178776.59
5f	2[7/2]	4	229896.89
5g	2[5/2]*	2	248905.51
6g	2[5/2]*	2	261271.66
5g	2[5/2]*	3	248919.93
6g	2[5/2]*	3	261275.46
5g	2[11/2]*	6	249006.03
6g	2[11/2]*	6	261271.66
5g	2[11/2]*	5	249010.44
6g	2[11/2]*	5	261275.46
5g	2[7/2]*	4	249246.21
6g	2[7/2]*	4	261478.00
5g	2[7/2]*	3	249254.39
6g	2[7/2]*	3	261480.42
5g	2[9/2]*	4	249365.40
6g	2[9/2]*	4	261478.00
5g	2[9/2]*	5	249367.45
6g	2[9/2]*	5	261480.42
6h	2[7/2]	3	261521.23
6h	2[7/2]	4	261521.43
6h	2[13/2]	6	261548.28
6h	2[13/2]	7	261548.31
6h	2[9/2]	5	261628.03
6h	2[9/2]	4	261628.10
6h	2[11/2]	5	261657.59
6h	2[11/2]	6	261657.66
