# Ba III — the 5p5.(2P*1/2).ns and .nd runs, ref L6983
# limit Ba IV (5s2.5p5 2P*1/2) = 306650 +/- 20 cm-1
config	term	J	level_cm1
8s	2[1/2]*	1	262960
9s	2[1/2]*	1	276920
10s	2[1/2]*	1	285090
11s	2[1/2]*	1	290290
12s	2[1/2]*	1	293810
13s	2[1/2]*	1	296290
14s	2[1/2]*	1	298140
15s	2[1/2]*	1	299490
16s	2[1/2]*	1	300620
17s	2[1/2]*	1	301460
7d	2[3/2]*	2	264130
8d	2[3/2]*	2	277580
9d	2[3/2]*	2	285470
10d	2[3/2]*	2	290560
11d	2[3/2]*	2	294000
12d	2[3/2]*	2	296430
13d	2[3/2]*	2	298220
14d	2[3/2]*	2	299580
15d	2[3/2]*	2	300620
16d	2[3/2]*	2	301460
