# Ba IV — NIST ASD 5.12, ref L11023 · ground 5s2.5p5 2P* 3/2
# limit Ba V (5s2.5p4 3P2) = [379300] +/- 2700 cm-1
# THE BRACKETS MATTER: [379300] is an ESTIMATED or extrapolated value, not measured,
# and 2700 cm-1 is 0.7% — three orders of magnitude looser than any other limit here.
config	term	J	level_cm1	unc_cm1
5s2.5p5	2P*	3/2	0.0	0
5s2.5p5	2P*	1/2	17549.5	0.4
5s.5p6	2S	1/2	125805.1	0.6
5s2.5p4.(3P).5d	4D	5/2	143961.9	1.2
5s2.5p4.(3P).5d	4D	3/2	144586.0	1.2
5s2.5p4.(3P).5d	4D	1/2	146521.0	0.9
5s2.5p4.(3P).5d	4P	3/2	158146.0	0.9
5s2.5p4.(3P).5d	4P	1/2	159674.5	0.9
5s2.5p4.(3P).5d	4P	5/2	163808.5	1.4
5s2.5p4.(1D).5d	2P	1/2	158463.5	1.4
5s2.5p4.(1D).5d	2P	3/2	169140.7	1.0
5s2.5p4.(3P).5d	4F	5/2	161782.5	1.4
5s2.5p4.(3P).5d	4F	3/2	162595.1	0.9
5s2.5p4.(1D).5d	2D	3/2	163896.3	0.9
5s2.5p4.(1D).5d	2D	5/2	170809.9	1.6
5s2.5p4.(3P).5d	2F	5/2	172999.0	1.6
5s2.5p4.(1D).5d	2F	5/2	178670.3	1.7
5s2.5p4.(3P).6s	(2,1/2)	3/2	182453.5	1.7
5s2.5p4.(3P).6s	(0,1/2)	1/2	191137.7	1.9
5s2.5p4.(1S).5d	2D	3/2	192304.7	1.2
5s2.5p4.(1S).5d	2D	5/2	203103.4	2.1
5s2.5p4.(3P).6s	(1,1/2)	3/2	195924.0	1.3
5s2.5p4.(3P).5d	2D	5/2	197539.1	2.0
5s2.5p4.(3P).5d	2D	3/2	215660.2	1.6
5s2.5p4.(3P).6s	(1,1/2)	1/2	198870.4	2.0
5s2.5p4.(1D).6s	(2,1/2)	3/2	205475.8	1.4
5s2.5p4.(1D).6s	(2,1/2)	5/2	205623.8	2.2
5s2.5p4.(1D).5d	2S	1/2	206301.0	1.8
5s2.5p4.(1S).6s	(0,1/2)	1/2	230922.0	2.3
4d9.5s2.5p6	2D	5/2	614700	500
4d9.5s2.5p6	2D	3/2	635800	500
