# Be III — NIST ASD 5.12, Jupén 2001 / Drake 1988 · He-like, Z=4, 2 electrons
# limit Be IV (1s 2S1/2) = (1241256.601) +/- 0.031 cm-1
config	term	J	level_cm1
1s.2s	3S	1	956518.70
1s.3s	3S	1	1121199.30
1s.4s	3S	1	1175311.20
1s.5s	3S	1	1199626.20
1s.6s	3S	1	1212605.9
1s.7s	3S	1	1220340.90
1s.8s	3S	1	1225317.42
1s.9s	3S	1	1228708.58
1s.10s	3S	1	1231122.23
1s.2s	1S	0	981188.50
1s.3s	1S	0	1127716.0
1s.4s	1S	0	1177939.7
1s.5s	1S	0	1200939.9
1s.6s	1S	0	1213353.8
1s.7s	1S	0	1220808.9
1s.8s	1S	0	1225627.3
1s.9s	1S	0	1228925.0
1s.10s	1S	0	1231279.3
1s.2p	3P*	1	983371.80
1s.3p	3P*	1	1128315.30
1s.4p	3P*	1	1178188.90
1s.5p	3P*	1	1201067.60
1s.6p	3P*	1	1213427.1
1s.7p	3P*	1	1220852.70
1s.8p	3P*	1	1225659.1
1s.9p	3P*	1	1228947.4
1s.10p	3P*	1	1231295.7
1s.3d	3D	2	1131394.1
1s.4d	3D	2	1179467.30
1s.5d	3D	2	1201716.90
1s.6d	3D	2	1213802.6
1s.7d	3D	2	1221089.00
1s.8d	3D	2	1225816.2
1s.9d	3D	2	1229057.6
1s.10d	3D	2	1231375.9
1s.3d	1D	2	1131472.0
1s.4d	1D	2	1179511.40
1s.5d	1D	2	1201744.3
1s.6d	1D	2	1213818.2
1s.7d	1D	2	1221094.90
1s.8d	1D	2	1225822.9
1s.9d	1D	2	1229062.3
1s.10d	1D	2	1231379.4
1s.4f	1F*	3	1179526.10
1s.5f	1F*	3	1201750.10
1s.6f	1F*	3	1213823.9
1s.7f	1F*	3	1221099.70
1s.8f	1F*	3	1225824.9
1s.9f	1F*	3	1229063.7
1s.5g	1G	4	1201752.6
1s.6g	1G	4	1213823.2
1s.7g	1G	4	1221099.5
1s.8g	1G	4	1225825.4
1s.9g	1G	4	1229064.0
1s.6h	1H*	5	1213823.7
1s.7h	1H*	5	1221102.0
1s.8h	1H*	5	1225825.6
1s.9h	1H*	5	1229064.2
1s.7i	1I	6	1221101.9
1s.8i	1I	6	1225825.7
