# Be IV — NIST ASD 5.12, Yerokhin & Shabaev 2015 / Erickson 1977 · H-like, Z=4, 1 electron
# limit (1756018.8100) +/- 0.0008 cm-1
# all values parenthesised = theoretical, scaled to CODATA-2018
config	term	J	level_cm1
3s	2S	1/2	1560902.3163
4s	2S	1/2	1646269.92250
5s	2S	1/2	1685781.41051
6s	2S	1/2	1707243.79888
7s	2S	1/2	1720184.64325
8s	2S	1/2	1728583.59649
9s	2S	1/2	1734341.807280
10s	2S	1/2	1738460.572490
3p	2P*	1/2	1560900.52810
4p	2P*	1/2	1646269.16610
5p	2P*	1/2	1685781.02269
6p	2P*	1/2	1707243.57429
7p	2P*	1/2	1720184.50175
8p	2P*	1/2	1728583.50168
9p	2P*	1/2	1734341.74068
10p	2P*	1/2	1738460.52392
3d	2D	3/2	1560928.262702
4d	2D	3/2	1646280.86620
5d	2D	3/2	1685787.01290
6d	2D	3/2	1707247.04076
7d	2D	3/2	1720186.68466
8d	2D	3/2	1728584.96403
9d	2D	3/2	1734342.76772
10d	2D	3/2	1738461.27263
4f	2F*	5/2	1646284.76436
5f	2F*	5/2	1685789.00879
6f	2F*	5/2	1707248.19575
7f	2F*	5/2	1720187.41200
8f	2F*	5/2	1728585.45129
9f	2F*	5/2	1734343.10993
10f	2F*	5/2	1738461.52210
5g	2G	7/2	1685790.006540
6g	2G	7/2	1707248.773150
7g	2G	7/2	1720187.775610
8g	2G	7/2	1728585.694880
9g	2G	7/2	1734343.281013
10g	2G	7/2	1738461.646810
6h	2H*	9/2	1707249.119559
7h	2H*	9/2	1720187.993756
8h	2H*	9/2	1728585.841013
9h	2H*	9/2	1734343.383652
10h	2H*	9/2	1738461.721633
7i	2I	11/2	1720188.1391780
8i	2I	11/2	1728585.938434
9i	2I	11/2	1734343.452074
10i	2I	11/2	1738461.7715130
8k	2K*	13/2	1728586.0080179
9k	2K*	13/2	1734343.5009438
10k	2K*	13/2	1738461.8071392
