# Bi II — NIST ASD 5.12 · 78 levels · Dolk et al. 2002, Joshi & Mazzoni 1986, Moore 1958
# limit Bi III (6s2.6p 2P*1/2) = 134720 +/- 30 cm-1, ref L6771
config	term	J	level_cm1	unc_cm1
6s2.6p2	3P	0	0.000	0.05
6s2.6p2	3P	1	13325.401	0.7
6s2.6p2	3P	2	17031.698	0.020
6s2.6p2	1D	2	33938.718	0.020
6s2.6p2	1S	0	44173.768	0.020
6s2.6p.7s	(1/2,1/2)*	0	69133.891	0.020
6s2.6p.7s	(1/2,1/2)*	1	69598.475	0.020
6s.6p3	5S*	2	76148.712	0.020
6s2.6p.6d	(1/2,3/2)*	2	79091.141	0.020
6s2.6p.6d	(1/2,3/2)*	1	80577.071	0.020
6s2.6p.6d	(1/2,5/2)*	2	82049.632	0.020
6s2.6p.6d	(1/2,5/2)*	3	82257.251	0.020
6s2.6p.7p	(1/2,1/2)	1	84280.446	0.020
6s2.6p.7p	(1/2,1/2)	0	87078.777	0.020
6s2.6p.7p	(1/2,3/2)	1	88566.685	0.020
6s2.6p.7p	(1/2,3/2)	2	88789.478	0.020
6s2.6p.7s	(3/2,1/2)*	0	88771.443	0.020
6s2.6p.7s	(3/2,1/2)*	1	89885.675	0.020
6s.6p3	3D*	1	94442.227	0.020
6s.6p3	3D*	2	94930.640	0.020
6s.6p3	3D*	3	96062.356	0.020
6s2.6p.6d	(3/2,5/2)*	2	99011.328	0.020
6s2.6p.6d	(3/2,5/2)*	1	106611.224	0.020
6s2.6p.6d	(3/2,5/2)*	3	108009.057	0.020
6s2.6p.6d	(3/2,3/2)*	0	100182.446	0.020
6s2.6p.6d	(3/2,3/2)*	1	100494.931	0.020
6s2.6p.6d	(3/2,3/2)*	2	102331.668	0.020
6s2.6p.6d	(3/2,3/2)*	3	103003.505	0.020
6s2.6p.8s	(1/2,1/2)*	1	101340.430	0.020
6s2.6p.8s	(1/2,1/2)*	0	101463.435	0.020
6s2.6p.7p	(3/2,1/2)	2	105085.532	0.020
6s2.6p.7p	(3/2,1/2)	1	105270.947	0.020
6s2.6p.5f	(1/2,7/2)	3	105289.732	0.020
6s2.6p.5f	(1/2,7/2)	4	105728.060	0.020
6s2.6p.5f	(1/2,5/2)	3	105451.045	0.020
6s2.6p.5f	(1/2,5/2)	2	106449.487	0.020
6s2.6p.7d	(1/2,3/2)*	2	105527.197	0.020
6s2.6p.7d	(1/2,3/2)*	1	108126.733	0.020
6s2.6p.8p	(1/2,1/2)	0	107976	
6s2.6p.7p	(3/2,3/2)	3	108280.653	0.020
6s2.6p.7p	(3/2,3/2)	1	108406.284	0.020
6s2.6p.7p	(3/2,3/2)	2	109905.987	0.020
6s2.6p.7p	(3/2,3/2)	0	112650.875	0.020
6s2.6p.8p	(1/2,3/2)	2	108888.519	0.020
6s2.6p.8p	(1/2,3/2)	1	109105.461	0.020
6s2.6p.7d	(1/2,5/2)*	2	109158.128	0.020
6s2.6p.9s	(1/2,1/2)*	0	114579.101	0.020
6s2.6p.9s	(1/2,1/2)*	1	114613.372	0.020
6s2.6p.6f	(1/2,5/2)	3	115936.556	0.020
6s2.6p.6f	(1/2,5/2)	2	116214.383	0.020
6s2.6p.6f	(1/2,7/2)	3	116090.980	0.020
6s2.6p.6f	(1/2,7/2)	4	116140.866	0.020
6s2.6p.8d	(1/2,5/2)*	2	116942.813	0.020
6s2.6p.8d	(1/2,5/2)*	3	117224.556	0.020
6s2.6p.5g	(1/2,7/2)*	3	117004	
6s2.6p.8d	(1/2,3/2)*	1	117225	14
6s2.6p.9d	(1/2,3/2)*	2	122278.025	0.020
6s2.6p.9d	(1/2,3/2)*	1	122669	15
6s2.6p.8f	(1/2,5/2)	3	125133.866	0.020
6s2.6p.8f	(1/2,7/2)	4	125249.299	0.020
6s2.6p.5f	(3/2,5/2)	3	125385.746	0.020
6s2.6p.5f	(3/2,5/2)	2	126299.205	0.020
6s2.6p.5f	(3/2,5/2)	4	126653.813	0.020
6s2.6p.5f	(3/2,5/2)	1	127062.615	0.020
6s2.6p.5f	(3/2,7/2)	4	125536.550	0.020
6s2.6p.5f	(3/2,7/2)	3	126107.642	0.020
6s2.6p.5f	(3/2,7/2)	2	127184.243	0.020
6s2.6p.10d	(1/2,3/2)*	2	125612.129	0.020
6s2.6p.10d	(1/2,3/2)*	1	125786	16
6s2.6p.7d	(3/2,3/2)*	3	126949.444	0.020
6s2.6p.11d	(1/2,3/2)*	1	127902	16
6s2.6p.7d	(3/2,5/2)*	3	128544.088	0.020
6s2.6p.12d	(1/2,3/2)*	1	129383	17
6s2.6p.13d	(1/2,3/2)*	1	130369	17
6s2.6p.14d	(1/2,3/2)*	1	131117	17
