# Br IV — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Br+IV&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED against sent — spectrum=Br+IV confirmed.
# Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# LIMIT:  Br V (4p 2P*<1/2>)  385390 cm-1
#
# 4s2.4p2 ground — the THIRD of that configuration at an n=4 core,
# after As II and Se III. The isoelectronic run is now:
#      As II (Z 33, charge 2) · Se III (34, 3) · Br IV (35, 4)
# three consecutive Z at three consecutive charges, one structure.
#
# ** AND BR IV WRITES ITS 4s2.4p.nl TERMS IN PLAIN LS with NO parent
#    annotation at all — where As II used bare digit pairs and Se III
#    used LS WITH the parent written as (2P*). Three species, three
#    conventions, one physical structure. The sixth instance in this
#    fetch of notation varying independently of physics. **
#
# 41 levels, every one carrying both configuration and term. No
# malformed rows, no additive-constant flags, no query marks — the
# cleanest small table in the queue.
#
# config	term	J	level_cm1	note
4s2.4p2	3P	0	0.0	
4s2.4p2	3P	1	2622.0	
4s2.4p2	3P	2	5611.9	
4s2.4p2	1D	2	16190.4	
4s2.4p.4d	3F*	3	159512.7	
4s2.4p.4d	3F*	4	161637.6	
4s2.4p.4d	3F*	2	163083.5	
4s2.4p.4d	3D*	1	167356.6	
4s2.4p.4d	3D*	2	169403.5	
4s2.4p.4d	3D*	3	172254.9	
4s2.4p.4d	3P*	2	176054.9	
4s2.4p.4d	3P*	0	178307.0	
4s2.4p.4d	3P*	1	179949.7	
4s2.4p.4d	1F*	3	178041.3	
4s2.4p.4d	1P*	1	181269.2	
4s2.4p.4d	1D*	2	182503.3	
4s2.4p.5s	3P*	0	179993.6	
4s2.4p.5s	3P*	1	181840.0	
4s2.4p.5s	3P*	2	185960.7	
4s2.4p.5s	1P*	1	187101.6	
4s2.4p.5p	3D	1	216047.5	
4s2.4p.5p	3D	2	216434.6	
4s2.4p.5p	3D	3	220342.0	
4s2.4p.5p	3P	0	216155.6	
4s2.4p.5p	3P	1	218834.0	
4s2.4p.5p	3P	2	221399.8	
4s2.4p.5p	3S	1	222904.2	
4s2.4p.5p	1D	2	225829.0	
4s2.4p.6s	3P*	2	264418.0	
4s2.4p.6s	1P*	1	265438.0	
# --- TWO electrons outside the closed 4s2. R 1597 keyability: refused.
4s.4p3	5S*	2	84053.7	two-outside
4s.4p3	3D*	1	127443.7	two-outside
4s.4p3	3D*	2	127602.1	two-outside
4s.4p3	3D*	3	128513.8	two-outside
4s.4p3	3P*	0	139702.3	two-outside
4s.4p3	3P*	1	142071.6	two-outside
4s.4p3	3P*	2	142409.6	two-outside
4s.4p3	1D*	2	143933.8	two-outside
4s.4p3	3S*	1	161319.0	two-outside
4s.4p3	1P*	1	162490.0	two-outside
