# C III — NIST ASD 5.12, ref L876c191 · Z=6, 4 electrons, Be-like
# limit C IV (2s 2S1/2) = 386,241.0 +/- 2.0 cm-1  — PUBLISHED
config	term	J	level_cm1
3s	3S	1	238213.00
4s	3S	1	309457.17
5s	3S	1	339934.72
6s	3S	1	354858.03
7s	3S	1	363613
3s	1S	0	247170.26
4s	1S	0	311721.51
5s	1S	0	338514.33
3p	1P*	1	258931.29
4p	1P*	1	322404.20
5p	1P*	1	343258.03
6p	1P*	1	357109.68
7p	1P*	1	364896
8p	1P*	1	369926
3p	3P*	0	259705.55
4p	3P*	0	317794.26
5p	3P*	0	344238.68
6p	3P*	0	357049.38
3d	3D	1	270010.83
4d	3D	1	321411.31
5d	3D	1	345496.57
6d	3D	1	358097.78
7d	3D	1	365638
8d	3D	1	370499
9d	3D	1	373828
3d	1D	2	276482.86
4d	1D	2	324212.49
5d	1D	2	346658.34
6d	1D	2	358732.93
7d	1D	2	366028
4f	3F*	2	322003.68
5f	3F*	2	347151.89
6f	3F*	2	358850.02
7f	3F*	2	366069.0
5g	3G	3	346579.21
6g	3G	3	358692.2
7g	3G	3	365998.4
