# C I — NIST ASD 5.12, ref L20057 · Z=6, neutral
# limit NOT printed; DERIVED by the lowest-rms rule (register 1066)
config	term	J	level_cm1
3s	3P*	0	60333.4476
4s	3P*	0	78105.00058
5s	3P*	0	83740.0964
3s	1P*	1	61981.83211
4s	1P*	1	78340.29782
5s	1P*	1	83877.305
3p	1P	1	68856.35208
4p	1P	1	80562.88550
3p	3D	1	69689.49393
4p	3D	1	80782.44916
3p	3S	1	70743.97227
4p	3S	1	81105.06418
3p	3P	0	71352.54344
4p	3P	0	81311.0544
3d	1D*	2	77679.83311
4d	1D*	2	83497.58690
3d	3F*	2	78199.09144
4d	3F*	2	83747.43248
3d	3D*	1	78293.51263
4d	3D*	1	83820.1576
3d	1F*	3	78529.64651
4d	1F*	3	83947.2231
