# C V — NIST ASD 5.12, Yerokhin & Surzhykov 2019 et al. · He-like, Z=6, 12C, 5 electrons removed
# limit NOT printed in the capture; DERIVED from the series (register 922)
# all levels parenthesised = theoretical
config	term	J	level_cm1	unc
1s.2s	3S	1	2411292.798	0.034
1s.3s	3S	1	2839589.7	3.3
1s.4s	3S	1	2983556.8	3.3
1s.5s	3S	1	3048945.7	3.3
1s.6s	3S	1	3084069.3	3.3
1s.7s	3S	1	3105089.6	3.3
1s.2s	1S	0	2455052.913	0.031
1s.3s	1S	0	2851173.0	3.4
1s.4s	1S	0	2988241.7	3.3
1s.5s	1S	0	3051294.2	3.3
1s.6s	1S	0	3085411.4	3.3
1s.7s	1S	0	3105927.5	3.3
1s.2p	3P*	0	2455191.5845	0.0082
1s.3p	3P*	0	2851425.7	1.6
1s.4p	3P*	0	2988382.2	1.6
1s.5p	3P*	0	3051374.0	1.6
1s.6p	3P*	0	3085460.3	1.6
1s.7p	3P*	0	3105959.7	1.6
1s.2p	1P*	1	2483400.8420	0.0024
1s.3p	1P*	1	2859389.2	1.8
1s.4p	1P*	1	2991677.3	1.6
1s.5p	1P*	1	3053045.1	1.6
1s.6p	1P*	1	3086422.1	1.6
1s.7p	1P*	1	3106563.2	1.6
1s.3d	3D	1	2857323.6	1.7
1s.4d	3D	1	2990814.4	8.4
1s.5d	3D	1	3052605.1	8.4
1s.6d	3D	1	3086166.8	2.8
1s.7d	3D	1	3106403.4	6.0
1s.3d	1D	2	2857555.6	1.7
1s.4d	1D	2	2990941.6	7.9
1s.5d	1D	2	3052674.3	8.1
1s.6d	1D	2	3086198.3	3.9
1s.7d	1D	2	3106428.4	6.0
1s.4f	3F*	3	2990941.7	3.1
1s.5f	3F*	3	3052680.6	2.2
1s.6f	3F*	3	3086213.4	2.5
1s.4f	1F*	3	2990947.7	2.6
1s.5f	1F*	3	3052681.9	2.2
1s.6f	1F*	3	3086214.0	2.8
1s.5g	1G	4	3052686.9	2.1
1s.6g	1G	4	3086217.0	2.6
1s.7g	1G	4	3106435.2	2.4
1s.5g	3G	4	3052685.9	2.3
1s.6g	3G	4	3086216.3	2.6
1s.7g	3G	4	3106435.2	2.4
1s.6h	1H*	5	3086219.7	2.6
1s.7h	1H*	5	3106437.2	2.4
