# Ca I — NIST Handbook calciumtable5_a.htm, ref SC85 · limit Ca II (2S1/2) 49305.95
config	term	J	level_cm1
4s2	1S	0	0.000
4s4p	3P°	0	15157.901
4s4p	3P°	1	15210.063
4s4p	3P°	2	15315.943
3d4s	3D	1	20335.360
3d4s	3D	2	20349.260
3d4s	3D	3	20371.000
3d4s	1D	2	21849.634
4s4p	1P°	1	23652.304
4s5s	3S	1	31539.495
4s5s	1S	0	33317.264
3d4p	3F°	2	35730.454
3d4p	3F°	3	35818.713
3d4p	3F°	4	35896.889
3d4p	1D°	2	35835.413
4s5p	3P°	0	36547.688
4s5p	3P°	1	36554.749
4s5p	3P°	2	36575.119
4s5p	1P°	1	36731.615
4s4d	1D	2	37298.287
4s4d	3D	1	37748.197
4s4d	3D	2	37751.867
4s4d	3D	3	37757.449
3d4p	3D°	1	38192.392
3d4p	3D°	2	38219.118
3d4p	3D°	3	38259.124
4p2	3P	0	38417.543
4p2	3P	1	38464.808
4p2	3P	2	38551.558
