# Ca I — NIST ASD 5.12 · the 3p6.3d.np autoionising run only
# limit Ca II (3d 2D3/2) = 62956.15 cm-1
config	term	J	level_cm1
20p	1P*	1	62592.98
21p	1P*	1	62628.72
22p	1P*	1	62659.90
23p	1P*	1	62687.28
24p	1P*	1	62711.44
25p	1P*	1	62732.87
26p	1P*	1	62751.96
27p	1P*	1	62769.04
28p	1P*	1	62784.38
29p	1P*	1	62798.21
30p	1P*	1	62810.72
31p	1P*	1	62822.06
32p	1P*	1	62832.38
33p	1P*	1	62841.79
34p	1P*	1	62850.40
35p	1P*	1	62858.30
36p	1P*	1	62865.57
37p	1P*	1	62872.27
38p	1P*	1	62878.46
39p	1P*	1	62884.19
40p	1P*	1	62889.50
