# Co IX — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Co+IX&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED against sent. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# LIMIT:  Co X (3p6 1S<0>)  1501300 cm-1
#
# ** K-LIKE — THE FIFTH, AND FIVE CONSECUTIVE CHARGES ARE NOW HELD:
#      V V 5 · Cr VI 6 · Mn VII 7 · Fe VIII 8 · Co IX 9
#    One structure throughout: closed 3p6 core, one electron outside,
#    every level a doublet, one parent. **
#
# THE l-BREADTH AND f-DEPTH ACROSS ALL FIVE, recorded and NOT tested:
#      V V      5   l = s p d f g h i k  (8)   f to n=9
#      Cr VI    6   l = s p d f g h      (6)   f to n=10
#      Mn VII   7   l = p f              (2)   f to n=9
#      Fe VIII  8   l = p f              (2)   f to n=7
#      Co IX    9   l = p f              (2)   f to n=10
#
#   The breadth collapses 8,6,2,2,2 and then HOLDS. The f-depth does NOT
#   fall monotonically — 9,10,9,7,10 — which contradicts the tendency I
#   noted at Fe VII from three points. FIVE POINTS SAY IT IS NOT
#   MONOTONE. Recorded as a correction to my own earlier observation.
#
# The 3p5 blocks carry a 3p HOLE, converge elsewhere, NOT for 1501300.
#
# config	term	J	level_cm1
3p6.3d	2D	3/2	0
3p6.3d	2D	5/2	2451
3p6.4p	2P*	1/2	625109
3p6.4p	2P*	3/2	629117
3p6.4f	2F*	5/2	922590
3p6.4f	2F*	7/2	922690
3p6.5f	2F*	5/2	1130660
3p6.5f	2F*	7/2	1130690
3p6.6f	2F*	5/2	1243970
3p6.6f	2F*	7/2	1244010
3p6.7f	2F*	5/2	1313020
3p6.7f	2F*	7/2	1313020
3p6.8f	2F*	5/2	1357500
3p6.8f	2F*	7/2	1357500
3p6.9f	2F*	5/2	1387960
3p6.9f	2F*	7/2	1387960
3p6.10f	2F*	5/2	1409880
3p6.10f	2F*	7/2	1409880
# --- CORE-EXCITED, 3p hole, DIFFERENT unprinted limit. Not for 1501300
3p5.(2P*).3d2.(1G)	2F*	5/2	468222
3p5.(2P*).3d2.(1G)	2F*	7/2	472140
3p5.(2P*).3d2.(1D)	2F*	7/2	485123
3p5.(2P*).3d2.(1D)	2F*	5/2	499750
3p5.(2P*).3d2.(3F)	2F*	5/2	580759
3p5.(2P*).3d2.(3F)	2F*	7/2	588291
3p5.(2P*).3d2.(3F)	2D*	5/2	644843
3p5.(2P*).3d2.(3F)	2D*	3/2	645408
3p5.(2P*).3d2.(3P)	2P*	1/2	650182
3p5.(2P*).3d2.(3P)	2P*	3/2	654735
3p5.3d.(3P*).4s	2P*	1/2	986100
3p5.3d.(3P*).4s	2P*	3/2	991510
3p5.3d.(3F*).4s	4F*	7/2	996130
3p5.3d.(3F*).4s	4F*	5/2	997900
3p5.3d.(3F*).4s	2F*	7/2	1003240
3p5.3d.(3F*).4s	2F*	5/2	1009670
3p5.3d.(3D*).4s	4D*	7/2	1024380
3p5.3d.(3D*).4s	4D*	5/2	1027170
3p5.3d.(1F*).4s	2F*	7/2	1038280
3p5.3d.(3D*).4s	2D*	3/2	1040830
3p5.3d.(3D*).4s	2D*	5/2	1043280
