# Cr VI — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Cr+VI&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED against sent. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# LIMIT:  Cr VII (3p6 1S<0>)  731020 cm-1
#
# ** K-LIKE — THE SECOND OF THAT SEQUENCE, AFTER V V. A closed 3p6 core
#    with ONE electron outside, every 3p6.nl level a DOUBLET, one parent.
#    Two members of the same sequence at charges 5 and 6 is exactly what
#    board rows 16 and 17 need: the SAME structure at different Z. **
#
#      s  n = 4,5,6        p  n = 4,5,6       d  n = 3,4,5
#      f  n = 4,5,6,7,8,9,10                  g  n = 5,6
#      h  n = 6,7
#
#    The f series reaches n = 10 — deeper than V V's n = 9.
#
# The 3p5.(2P*).3d2 and 3p5.3d.4s blocks carry a 3p HOLE and converge on
# a different, unprinted limit. Kept separate and NOT for 731020.
#
# config	term	J	level_cm1
3p6.3d	2D	3/2	0
3p6.3d	2D	5/2	940
3p6.4s	2S	1/2	227857.9
3p6.4p	2P*	1/2	296573.2
3p6.4p	2P*	3/2	298396.7
3p6.4d	2D	3/2	402661.7
3p6.4d	2D	5/2	402888.6
3p6.5s	2S	1/2	461253.0
3p6.4f	2F*	5/2	481956.0
3p6.4f	2F*	7/2	482517.1
3p6.5p	2P*	1/2	487589.5
3p6.5p	2P*	3/2	488561.9
3p6.5d	2D	3/2	534381.7
3p6.5d	2D	5/2	534489.7
3p6.6s	2S	1/2	562064.1
3p6.5f	2F*	5/2	568957.4
3p6.5f	2F*	7/2	568993.0
3p6.5g	2G	7/2	572272.3
3p6.5g	2G	9/2	572274.4
3p6.6p	2P*	1/2	574135
3p6.6p	2P*	3/2	575742
3p6.6f	2F*	5/2	618583
3p6.6f	2F*	7/2	618849
3p6.6g	2G	7/2	620696.3
3p6.6g	2G	9/2	620700.5
3p6.6h	2H*	9/2	621162.9
3p6.6h	2H*	11/2	621162.9
3p6.7f	2F*	5/2	648521
3p6.7f	2F*	7/2	648533
3p6.7h	2H*	9/2	650310.8
3p6.7h	2H*	11/2	650310.8
3p6.8f	2F*	5/2	667973
3p6.8f	2F*	7/2	667973
3p6.9f	2F*	5/2	681307
3p6.9f	2F*	7/2	681307
3p6.10f	2F*	5/2	690781
3p6.10f	2F*	7/2	690781
# --- CORE-EXCITED, 3p hole, DIFFERENT unprinted limit. Not for 731020
3p5.(2P*).3d2.(1G)	2F*	5/2	356962
3p5.(2P*).3d2.(1G)	2F*	7/2	359165
3p5.(2P*).3d2.(1D)	2F*	7/2	371618
3p5.(2P*).3d2.(1D)	2F*	5/2	378677
3p5.(2P*).3d2.(3F)	2F*	5/2	440135.2
3p5.(2P*).3d2.(3F)	2F*	7/2	442945.4
3p5.(2P*).3d2.(3P)	2P*	1/2	493247.1
3p5.(2P*).3d2.(3P)	2P*	3/2	494911.2
3p5.(2P*).3d2.(3F)	2D*	5/2	496958
3p5.(2P*).3d2.(3F)	2D*	3/2	497495
3p5.3d.(3P*).4s	2P*	1/2	578566
3p5.3d.(3P*).4s	2P*	3/2	580697
3p5.3d.(3F*).4s	4F*	7/2	584371
3p5.3d.(3F*).4s	4F*	5/2	586273
3p5.3d.(3F*).4s	2F*	7/2	591137
3p5.3d.(3F*).4s	2F*	5/2	594926
3p5.3d.(3D*).4s	4D*	7/2	607615
3p5.3d.(3D*).4s	4D*	5/2	608631
3p5.3d.(3D*).4s	4D*	3/2	609166
3p5.3d.(1D*).4s	2D*	5/2	610497
3p5.3d.(1D*).4s	2D*	3/2	611568
3p5.3d.(1F*).4s	2F*	5/2	614385
3p5.3d.(1F*).4s	2F*	7/2	616079
3p5.3d.(3D*).4s	2D*	3/2	618491
3p5.3d.(3D*).4s	2D*	5/2	619419
