# Fe VIII — NIST ASD levels, fetched live 2026-08-14 (session 1.8, batch 4 fetch 10).
# destination_url QUOTED FROM TOOL RESULT METADATA:
# https://physics.nist.gov/cgi-bin/ASD/energy1.pl?conf_out=on&format=2&j_out=on&level_out=on&spectrum=Fe+VIII&submit=Retrieve+Data&term_out=on&units=0
# Seven-fold ion, K-like 3d ground. The ionisation-strips-notation rule
# at its extreme: ALL integer energies (no decimals anywhere), 41 levels
# spanning 0 to 1,070,029 against a limit of 1,218,380 — the largest
# energy scale of any queue species. Sparse keyable skeleton: 4p, 4f, 5f,
# 6f, 7f on 3p6 core; everything else is 3p-hole (3p5.3d2, 3p5.3d.4s)
# doubly-displaced structure at 431K-891K. Missing entirely: 4s, 4d, 5s,
# 5p, 5d, ng. Three ? flags. No brackets, no letters, no refusal
# vocabulary beyond ? — at this charge the source speaks only integers
# or nothing. Limit: Fe IX (3p6 1S<0>) 1218380.
Configuration	Term	J	Level_cm-1	Flag
3p6.3d	2D	3/2	0	
3p6.3d	2D	5/2	1836	
3p5.(2P*).3d2.(1G)	2F*	5/2	431250	
3p5.(2P*).3d2.(1G)	2F*	7/2	434555	
3p5.(2P*).3d2.(1D)	2F*	7/2	447658	
3p5.(2P*).3d2.(1D)	2F*	5/2	459367	
3p5.(2P*).3d2.(1S)	2P*	3/2	508518	
3p5.(2P*).3d2.(1S)	2P*	1/2	520822	q
3p6.4p	2P*	1/2	510277	
3p6.4p	2P*	3/2	515550	
3p5.(2P*).3d2.(3F)	2F*	5/2	535909	
3p5.(2P*).3d2.(3F)	2F*	7/2	541755	
3p5.(2P*).3d2.(3P)	2P*	1/2	591964	
3p5.(2P*).3d2.(3P)	2P*	3/2	595152	
3p5.(2P*).3d2.(3F)	2D*	5/2	596463	
3p5.(2P*).3d2.(3F)	2D*	3/2	597065	
3p6.4f	2F*	5/2	763703	
3p6.4f	2F*	7/2	763799	
3p5.3d.(3P*).4s	2P*	1/2	837661	
3p5.3d.(3P*).4s	2P*	3/2	842829	
3p5.3d.(3F*).4s	4F*	7/2	847145	
3p5.3d.(3F*).4s	4F*	5/2	849899	
3p5.3d.(3F*).4s	4F*	3/2	852849	q
3p5.3d.(3F*).4s	2F*	7/2	855100	
3p5.3d.(3F*).4s	2F*	5/2	860615	
3p5.3d.(3D*).4s	4D*	7/2	874711	
3p5.3d.(3D*).4s	4D*	5/2	876765	
3p5.3d.(3D*).4s	4D*	3/2	877476	
3p5.3d.(3D*).4s	4D*	1/2	878264	q
3p5.3d.(1D*).4s	2D*	5/2	879021	
3p5.3d.(1D*).4s	2D*	3/2	881345	
3p5.3d.(1F*).4s	2F*	5/2	884331	
3p5.3d.(1F*).4s	2F*	7/2	887325	
3p5.3d.(3D*).4s	2D*	3/2	889113	
3p5.3d.(3D*).4s	2D*	5/2	890845	
3p6.5f	2F*	5/2	927059	
3p6.5f	2F*	7/2	927102	
3p6.6f	2F*	5/2	1016560	
3p6.6f	2F*	7/2	1016570	
3p6.7f	2F*	5/2	1069873	
3p6.7f	2F*	7/2	1070029	
Fe_IX_(3p6_1S<0>)	Limit	---	1218380	
