# Ga I — NIST ASD levels, fetched live 2026-08-14 (session 1.8, batch 4 fetch 11).
# destination_url QUOTED FROM TOOL RESULT METADATA:
# https://physics.nist.gov/cgi-bin/ASD/energy1.pl?conf_out=on&format=2&j_out=on&level_out=on&spectrum=Ga+I&submit=Retrieve+Data&term_out=on&units=0
# B-column neutral. FIVE LIMITS, and the displaced-core set is J-RESOLVED
# like B I's: 4s2 1S<0> 48387.634, then 4s.4p 3P*<0> 95755.14,
# 3P*<1> 96201.68, 3P*<2> 97137.37, 1P*<1> 119088.90 — the B I column
# limit pattern recurring four shells down. np ladder to 70p with fine
# structure COLLAPSED from 41p (both J one energy). Displaced series in
# INTEGER-K pair coupling 2[0]/2[1]/2[2] on J-resolved parents <0><1><2>.
# NEW FORM — ENERGY COLLISIONS: one measured energy assigned to SEVERAL
# configurations at once (93954.1 FOUR ways across (3P*<2>).8p and
# (3P*<0>).10p; 94380.6 four ways; 95085.1 four ways across 12p/15p;
# 93846.5, 93321.0, 92294.3 shared) — many names, one number: the inverse
# of Ba I's "u" (one name, one number, many rows). 3d-hole (3d9) quartet
# region 152K-175K with NO limit of its own. nf merged-energy pairs.
Configuration	Term	J	Level_cm-1
3d10.4s2.4p	2P*	1/2	0.000
3d10.4s2.4p	2P*	3/2	826.190
4s2.5s	2S	1/2	24788.530
4s2.5p	2P*	1/2	33044.05
4s2.5p	2P*	3/2	33155.07
4s2.4d	2D	3/2	34781.66
4s2.4d	2D	5/2	34787.85
4s2.6s	2S	1/2	37584.77
4s.4p2	4P	1/2	37975.768
4s.4p2	4P	3/2	38341.722
4s.4p2	4P	5/2	38914.786
4s2.6p	2P*	1/2	40376.45
4s2.6p	2P*	3/2	40417.62
4s2.5d	2D	3/2	40802.86
4s2.5d	2D	5/2	40811.41
4s2.4f	2F*	5/2	41454.18
4s2.4f	2F*	7/2	41454.18
4s2.7s	2S	1/2	42158.77
4s2.7p	2P*	1/2	43442.83
4s2.7p	2P*	3/2	43462.74
4s2.6d	2D	3/2	43575.11
4s2.6d	2D	5/2	43580.44
4s2.5f	2F*	5/2	43955.06
4s2.5f	2F*	7/2	43955.06
4s2.8s	2S	1/2	44332.27
4s2.7d	2D	3/2	45071.75
4s2.7d	2D	5/2	45075.73
4s2.6f	2F*	5/2	45312.94
4s2.6f	2F*	7/2	45312.94
4s2.9s	2S	1/2	45536.67
4s2.8d	2D	3/2	45969.2
4s2.8d	2D	5/2	45972.0
4s2.7f	2F*	5/2	46130.89
4s2.7f	2F*	7/2	46130.89
4s2.10s	2S	1/2	46274.4
4s2.9d	2D	3/2	46547.9
4s2.9d	2D	5/2	46549.0
4s2.8f	2F*	5/2	46661.21
4s2.8f	2F*	7/2	46661.21
4s2.11s	2S	1/2	46758.6
4s2.10d	2D	3/2	46943.6
4s2.10d	2D	5/2	46943.6
4s2.12s	2S	1/2	47093.3
4s2.11d	2D	3/2	47222.1
4s2.11d	2D	5/2	47222.1
4s2.13s	2S	1/2	47334.4
4s2.12d	2D	3/2	47428.7
4s2.14s	2S	1/2	47514.0
4s2.13d	2D	3/2	47585.1
4s2.13d	2D	5/2	47585.9
4s2.15s	2S	1/2	47651.4
4s2.14d	2D	3/2	47706.2
4s2.14d	2D	5/2	47707.1
4s2.16s	2S	1/2	47758.6
4s2.15d	2D	3/2	47802.0
4s2.15d	2D	5/2	47802.5
4s2.17s	2S	1/2	47844.1
4s2.16d	2D	3/2	47878.7
4s2.16d	2D	5/2	47879.0
4s2.18s	2S	1/2	47913.0
4s2.17d	2D	3/2	47941.3
4s2.17d	2D	5/2	47941.5
4s2.19s	2S	1/2	47970.0
4s2.18d	2D	3/2	47993.2
4s2.18d	2D	5/2	47993.2
4s2.20s	2S	1/2	48017.0
4s2.19d	2D	3/2	48036.400
4s2.19d	2D	5/2	48036.706
4s2.20p	2P*	1/2	48038.305
4s2.20p	2P*	3/2	48038.680
4s2.21s	2S	1/2	48056.4
4s2.20d	2D	3/2	48072.962
4s2.20d	2D	5/2	48073.225
4s2.22s	2S	1/2	48090.2
4s2.21d	2D	3/2	48104.096
4s2.21d	2D	5/2	48104.327
4s2.22p	2P*	1/2	48105.564
4s2.22p	2P*	3/2	48105.838
4s2.23s	2S	1/2	48118.5
4s2.22d	2D	3/2	48130.8
4s2.22d	2D	5/2	48130.8
4s2.24s	2S	1/2	48143.4
4s2.23d	2D	3/2	48153.970
4s2.23d	2D	5/2	48154.145
4s2.24p	2P*	1/2	48155.116
4s2.24p	2P*	3/2	48155.314
4s2.25s	2S	1/2	48164.6
4s2.24d	2D	3/2	48173.7
4s2.24d	2D	5/2	48173.7
4s2.26s	2S	1/2	48183.7
4s2.25d	2D	3/2	48191.759
4s2.25d	2D	5/2	48191.895
4s2.26p	2P*	1/2	48192.664
4s2.26p	2P*	3/2	48192.820
4s2.27s	2S	1/2	48199.9
4s2.26d	2D	5/2	48207.2
4s2.28s	2S	1/2	48214.6
4s2.27d	2D	3/2	48221.079
4s2.27d	2D	5/2	48221.186
4s2.28p	2P*	1/2	48221.808
4s2.28p	2P*	3/2	48221.925
4s2.30d	2D	3/2	48254.091
4s2.30d	2D	5/2	48254.176
4s2.34d	2D	3/2	48284.786
4s2.34d	2D	5/2	48284.842
4s2.35p	2P*	1/2	48285.164
4s2.35p	2P*	3/2	48285.221
4s2.41p	2P*	1/2	48314.64
4s2.41p	2P*	3/2	48314.64
4s2.42p	2P*	3/2	48318.28
4s2.42p	2P*	1/2	48318.28
4s2.43p	2P*	1/2	48321.60
4s2.43p	2P*	3/2	48321.60
4s2.44p	2P*	3/2	48324.78
4s2.44p	2P*	1/2	48324.78
4s2.45p	2P*	3/2	48327.68
4s2.45p	2P*	1/2	48327.68
4s2.46p	2P*	3/2	48330.36
4s2.46p	2P*	1/2	48330.36
4s2.47p	2P*	3/2	48332.86
4s2.47p	2P*	1/2	48332.86
4s2.48p	2P*	3/2	48335.28
4s2.48p	2P*	1/2	48335.28
4s2.49p	2P*	3/2	48337.58
4s2.49p	2P*	1/2	48337.58
4s2.50p	2P*	3/2	48339.66
4s2.50p	2P*	1/2	48339.66
4s2.51p	2P*	3/2	48341.63
4s2.51p	2P*	1/2	48341.63
4s2.52p	2P*	3/2	48343.44
4s2.52p	2P*	1/2	48343.44
4s2.53p	2P*	3/2	48345.20
4s2.53p	2P*	1/2	48345.20
4s2.54p	2P*	3/2	48346.630
4s2.54p	2P*	1/2	48346.630
4s2.55p	2P*	3/2	48348.173
4s2.55p	2P*	1/2	48348.173
4s2.56p	2P*	3/2	48349.627
4s2.56p	2P*	1/2	48349.627
4s2.57p	2P*	3/2	48351.09
4s2.57p	2P*	1/2	48351.09
4s2.58p	2P*	3/2	48352.45
4s2.58p	2P*	1/2	48352.45
4s2.59p	2P*	3/2	48353.64
4s2.59p	2P*	1/2	48353.64
4s2.60p	2P*	3/2	48354.81
4s2.60p	2P*	1/2	48354.81
4s2.61p	2P*	3/2	48355.97
4s2.61p	2P*	1/2	48355.97
4s2.62p	2P*	3/2	48357.01
4s2.62p	2P*	1/2	48357.01
4s2.63p	2P*	3/2	48357.97
4s2.63p	2P*	1/2	48357.97
4s2.64p	2P*	3/2	48358.98
4s2.64p	2P*	1/2	48358.98
4s2.65p	2P*	3/2	48359.81
4s2.65p	2P*	1/2	48359.81
4s2.66p	2P*	3/2	48360.69
4s2.66p	2P*	1/2	48360.69
4s2.67p	2P*	3/2	48361.66
4s2.67p	2P*	1/2	48361.66
4s2.68p	2P*	3/2	48362.35
4s2.68p	2P*	1/2	48362.35
4s2.69p	2P*	3/2	48363.18
4s2.69p	2P*	1/2	48363.18
4s2.70p	2P*	3/2	48363.88
4s2.70p	2P*	1/2	48363.88
Ga_II_(4s2_1S<0>)	Limit	---	48387.634
4s.4p2	2D	5/2	53800
4s.4p2	2D	3/2	53800
4s.4p2	2S	1/2	62108
4s.4p2	2P	1/2	65805
4s.4p2	2P	3/2	66426
4s.4p.(3P*<0>).5p	2[1]	1/2	78568.2
4s.4p.(3P*<0>).5p	2[1]	3/2	78965.9
4s.4p.(3P*<1>).5p	2[1]	1/2	80433.7
4s.4p.(3P*<1>).5p	2[1]	3/2	80755.9
4s.4p.(3P*<1>).5p	2[2]	3/2	81251.3
4s.4p.(3P*<2>).5p	2[2]	3/2	81413.5
4s.4p.(3P*<2>).5p	2[2]	5/2	83178
4s.4p.(3P*<1>).5p	2[0]	1/2	81580.7
4s.4p.(3P*<2>).5p	2[1]	1/2	81934
4s.4p.(3P*<2>).5p	2[1]	3/2	82183
4s.4p.(1P*<1>).5p	2[1]	3/2	83914.4
4s.4p.(1P*<1>).5p	2[1]	1/2	83914.4
4s.4p.(3P*<0>).6p	2[1]	1/2	87095.9
4s.4p.(3P*<0>).6p	2[1]	3/2	87566.4
4s.4p.(3P*<1>).6p	2[1]	1/2	87956.2
4s.4p.(3P*<1>).6p	2[1]	3/2	88165.5
4s.4p.(3P*<1>).6p	2[2]	3/2	88280.0
4s.4p.(3P*<1>).6p	2[0]	1/2	88387.6
4s.4p.(3P*<2>).6p	2[2]	3/2	88575.5
4s.4p.(3P*<2>).6p	2[1]	1/2	88926.0
4s.4p.(3P*<2>).6p	2[1]	3/2	89086.1
4s.4p.(3P*<0>).7p	2[1]	1/2	90300.0
4s.4p.(3P*<0>).7p	2[1]	3/2	90767.2
4s.4p.(3P*<1>).7p	2[1]	1/2	91119.5
4s.4p.(3P*<1>).7p	2[1]	3/2	91287.5
4s.4p.(3P*<1>).7p	2[2]	3/2	91345.9
4s.4p.(3P*<1>).7p	2[0]	1/2	91474.6
4s.4p.(3P*<2>).7p	2[2]	3/2	91966.7
4s.4p.(3P*<2>).7p	2[1]	1/2	92082.7
4s.4p.(3P*<2>).7p	2[1]	3/2	92294.3
4s.4p.(3P*<0>).8p	2[1]	1/2	92294.3
4s.4p.(3P*<0>).8p	2[1]	3/2	92383.9
4s.4p.(3P*<1>).8p	2[1]	1/2	92784.2
4s.4p.(3P*<1>).8p	2[1]	3/2	92893.6
4s.4p.(3P*<1>).8p	2[2]	3/2	92979.1
4s.4p.(3P*<1>).8p	2[0]	1/2	93037.1
4s.4p.(3P*<0>).9p	2[1]	3/2	93321.0
4s.4p.(3P*<0>).9p	2[1]	1/2	93321.0
4s.4p.(3P*<1>).9p	2[1]	1/2	93716.3
4s.4p.(3P*<1>).9p	2[1]	3/2	93798.1
4s.4p.(3P*<2>).8p	2[2]	3/2	93846.5
4s.4p.(3P*<1>).9p	2[2]	3/2	93846.5
4s.4p.(3P*<2>).8p	2[1]	3/2	93954.1
4s.4p.(3P*<2>).8p	2[1]	1/2	93954.1
4s.4p.(3P*<0>).10p	2[1]	3/2	93954.1
4s.4p.(3P*<0>).10p	2[1]	1/2	93954.1
4s.4p.(3P*<1>).10p	2[1]	3/2	94380.6
4s.4p.(3P*<1>).10p	2[1]	1/2	94380.6
4s.4p.(3P*<0>).11p	2[1]	3/2	94380.6
4s.4p.(3P*<0>).11p	2[1]	1/2	94380.6
4s.4p.(3P*<1>).10p	2[2]	3/2	94457.2
4s.4p.(3P*<0>).12p	2[1]	3/2	94594.8
4s.4p.(3P*<0>).12p	2[1]	1/2	94594.8
4s.4p.(3P*<2>).9p	2[2]	3/2	94888.4
4s.4p.(3P*<1>).11p	2[1]	3/2	94888.4
4s.4p.(3P*<1>).11p	2[1]	1/2	94888.4
4s.4p.(3P*<1>).12p	2[1]	3/2	95085.1
4s.4p.(3P*<1>).12p	2[1]	1/2	95085.1
