# Ga II — NIST ASD 5.12, refs L12180/L6473 · Z=31, 30 electrons
# limit Ga III (4s 2S1/2) = 165,465.8 +/- 1.0 cm-1  — PUBLISHED
# the 3d10.4s.nl series
config	term	J	level_cm1
5s	3S	1	102944.595
6s	3S	1	133010.30
7s	3S	1	145494.205
8s	3S	1	151923.93
5s	1S	0	106662.379
6s	1S	0	133741.20
7s	1S	0	146023.600
8s	1S	0	152200.866
4d	3D	1	113815.885
5d	3D	1	137157.524
6d	3D	1	147520.34
7d	3D	1	153064.92
4d	1D	2	126187.61
5d	1D	2	139703.442
6d	1D	2	148446.729
7d	1D	2	153515.707
4f	3F*	2	137332.285
5f	3F*	2	147484.34
6f	3F*	2	153000.078
7f	3F*	2	156322.3
4f	1F*	3	137342.570
5f	1F*	3	147493.327
6f	1F*	3	153009.57
7f	1F*	3	156331.2
5g	(1/2,7/2)	3	147817.61
6g	(1/2,7/2)	3	153214.7
7g	(1/2,7/2)	3	156468.8
8g	(1/2,7/2)	3	158579.5
5g	(1/2,9/2)	5	147818.60
6g	(1/2,9/2)	5	153215.62
7g	(1/2,9/2)	5	156469.5
8g	(1/2,9/2)	5	158580.9
