# Ge II — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Ge+II&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED against sent — spectrum=Ge+II confirmed.
# Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# TWO LIMITS:
#   Ge III (4s2     1S<0>)   128521.3   <- the 4s2.nl series
#   Ge III (4s.4p 3P*<0>)    190250     <- the 4s.4p.nl series
#
# ** THE LONGEST SERIES IN THE ENTIRE QUEUE. 4s2.nl on ONE limit,
#    every member a doublet, one electron outside a closed 4s2: **
#
#      s  n = 5..10      p  n = 5..11     d  n = 4..10
#      f  n = 4..11      g  n = 5..11
#
#    ELEVEN consecutive n in p, f and g. Ge II is the deepest and
#    cleanest one-electron-outside table captured, and it is at an n=4
#    core — so it pairs directly with As III and Se IV.
#
# The n=4 one-outside block now holds THREE: As III, Se IV, Ge II.
#
# The 4s.4p.(3P*).nl block sits on the SECOND limit and is transcribed
# separately below. Query-flagged rows marked q.
#
# config	term	J	level_cm1	limit	flag
4s2.4p	2P*	1/2	0.000	128521.3	
4s2.4p	2P*	3/2	1767.357	128521.3	
4s2.5s	2S	1/2	62403.028	128521.3	
4s2.5p	2P*	1/2	79006.853	128521.3	
4s2.5p	2P*	3/2	79366.494	128521.3	
4s2.4d	2D	3/2	80836.880	128521.3	
4s2.4d	2D	5/2	81012.598	128521.3	
4s2.6s	2S	1/2	94784.381	128521.3	
4s2.5d	2D	3/2	100089.970	128521.3	
4s2.5d	2D	5/2	100130.812	128521.3	
4s2.4f	2F*	7/2	100317.283	128521.3	
4s2.4f	2F*	5/2	100317.976	128521.3	
4s2.6p	2P*	1/2	101098.446	128521.3	
4s2.6p	2P*	3/2	101244.635	128521.3	
4s2.7s	2S	1/2	107936.16	128521.3	
4s2.6d	2D	3/2	110378.07	128521.3	
4s2.6d	2D	5/2	110397.63	128521.3	
4s2.5f	2F*	7/2	110504.58	128521.3	
4s2.5f	2F*	5/2	110505.22	128521.3	
4s2.5g	2G	7/2	110868.453	128521.3	
4s2.5g	2G	9/2	110868.486	128521.3	
4s2.7p	2P*	1/2	111016.30	128521.3	
4s2.7p	2P*	3/2	111091.55	128521.3	
4s2.8s	2S	1/2	114638.47	128521.3	
4s2.7d	2D	3/2	115977.80	128521.3	
4s2.7d	2D	5/2	115988.77	128521.3	
4s2.6f	2F*	7/2	116041.231	128521.3	
4s2.6f	2F*	5/2	116041.81	128521.3	
4s2.6g	2G	7/2	116266.75	128521.3	
4s2.6g	2G	9/2	116266.75	128521.3	
4s2.8p	2P*	1/2	116361.78	128521.3	
4s2.8p	2P*	3/2	116406.61	128521.3	
4s2.9s	2S	1/2	118523.24	128521.3	
4s2.8d	2D	3/2	119339.11	128521.3	
4s2.8d	2D	5/2	119345.75	128521.3	
4s2.7f	2F*	7/2	119373.92	128521.3	
4s2.7f	2F*	5/2	119374.34	128521.3	
4s2.7g	2G	7/2	119521.835	128521.3	
4s2.7g	2G	9/2	119521.837	128521.3	
4s2.9p	2P*	1/2	119577.60	128521.3	
4s2.9p	2P*	3/2	119607.77	128521.3	
4s2.10s	2S	1/2	120977.05	128521.3	
4s2.9d	2D	3/2	121511.36	128521.3	
4s2.9d	2D	5/2	121515.82	128521.3	
4s2.8f	2F*	7/2	121532.26	128521.3	
4s2.8f	2F*	5/2	121532.56	128521.3	
4s2.8g	2G	7/2	121633.87	128521.3	
4s2.8g	2G	9/2	121633.87	128521.3	
4s2.10p	2P*	1/2	121662.87	128521.3	
4s2.10p	2P*	3/2	121685.74	128521.3	
4s2.10d	2D	3/2	122995.45	128521.3	
4s2.10d	2D	5/2	122998.43	128521.3	
4s2.9f	2F*	7/2	123008.73	128521.3	
4s2.9f	2F*	5/2	123008.96	128521.3	
4s2.9g	2G	7/2	123081.34	128521.3	
4s2.9g	2G	9/2	123081.34	128521.3	
4s2.11p	2P*	3/2	123102.60	128521.3	
4s2.10f	2F*	5/2	124062.8	128521.3	
4s2.10f	2F*	7/2	124062.8	128521.3	
4s2.10g	2G	7/2	124116.37	128521.3	
4s2.10g	2G	9/2	124116.37	128521.3	
4s2.11f	2F*	5/2	124841.2	128521.3	
4s2.11f	2F*	7/2	124841.2	128521.3	
4s2.11g	2G	7/2	124881.91	128521.3	
4s2.11g	2G	9/2	124881.91	128521.3	
# --- SECOND LIMIT: 4s.4p (3P*<0>) at 190250
4s.4p.(3P*).5s	4P*	1/2	122694.3	190250	
4s.4p.(3P*).5s	4P*	3/2	123401.2	190250	
4s.4p.(3P*).5s	4P*	5/2	124732.4	190250	
4s.4p.(3P*).5s	2P*	1/2	127081.8	190250	
4s.4p.(3P*).5s	2P*	3/2	127916.3	190250	
4s.4p.(3P*).4d	2D*	3/2	126922.8	190250	
4s.4p.(3P*).4d	2D*	5/2	127271.4	190250	
4s.4p.(3P*).4d	4F*	3/2	130412.8	190250	
4s.4p.(3P*).4d	4F*	5/2	130777.7	190250	
4s.4p.(3P*).4d	4F*	7/2	131348.9	190250	
4s.4p.(3P*).4d	4F*	9/2	132150	190250	
4s.4p.(3P*).4d	4D*	1/2	136203.4	190250	
4s.4p.(3P*).4d	4D*	3/2	136235.7	190250	
4s.4p.(3P*).4d	4D*	5/2	136351.1	190250	
4s.4p.(3P*).4d	4D*	7/2	137064.7	190250	
4s.4p.(3P*).4d	4P*	5/2	138187.5	190250	
4s.4p.(3P*).4d	4P*	3/2	138567.0	190250	
4s.4p.(3P*).4d	4P*	1/2	138761.8	190250	
4s.4p.(3P*).4d	2P*	3/2	140983	190250	
4s.4p.(3P*).4d	2F*	5/2	141279.2	190250	
4s.4p.(3P*).4d	2F*	7/2	142701.1	190250	
4s.4p.(3P*).5p	4D	7/2	141179.70	190250	
4s.4p.(3P*).5p	4P	1/2	141452	190250	
4s.4p.(3P*).5p	4P	3/2	141787	190250	
4s.4p.(3P*).5p	4P	5/2	142443.9	190250	
4s.4p.(3P*).6s	4P*	1/2	156183.4	190250	
4s.4p.(3P*).6s	4P*	5/2	158353.4	190250	
4s.4p.(3P*).5d	2D*	3/2	160611.5	190250	
4s.4p.(3P*).5d	2D*	5/2	160948.2	190250	
4s.4p.(3P*).4f	2F	5/2	161858	190250	
4s.4p.(3P*).4f	4G	11/2	164535	190250	
4s.4p.(3P*).4f	2G	7/2	164157	190250	
4s.4p.(3P*).4f	2G	9/2	164735	190250	
4s.4p.(3P*).4f	4D	7/2	164258	190250	
# --- TWO electrons outside. R 1597 keyability: refused.
4s.4p2	4P	1/2	51575.885	-	two-outside
4s.4p2	4P	3/2	52290.942	-	two-outside
4s.4p2	4P	5/2	53366.738	-	two-outside
4s.4p2	2D	3/2	65015.672	-	two-outside
4s.4p2	2D	5/2	65184.738	-	two-outside
4s.4p2	2S	1/2	85890.55	-	two-outside
4s.4p2	2P	1/2	91016.2	-	two-outside
4s.4p2	2P	3/2	92122.7	-	two-outside
4p3	4S*	3/2	139760	-	two-outside
4p3	2D*	3/2	149238.2	-	two-outside
4p3	2D*	5/2	149393.1	-	two-outside
