# Hg II — NIST ASD 5.12, ref L11760 · Z=80, 79 electrons
# limit Hg III (5d10 1S0) = 151,280.4 cm-1 — from the existing limit table
# the full 5d10.nl series, J-resolved, replacing the earlier short capture
config	term	J	level_cm1	unc
6s	2S	1/2	0.000	0.006
7s	2S	1/2	95714.406	0.004
8s	2S	1/2	121416.626	0.006
9s	2S	1/2	132560.550	0.016
10s	2S	1/2	138434.682	0.022
11s	2S	1/2	141912.265	0.022
6p	2P*	1/2	51486.070	0.008
7p	2P*	1/2	108298.183	0.004
8p	2P*	1/2	126941.844	0.007
6d	2D	3/2	104984.138	0.014
7d	2D	3/2	125325.531	0.006
8d	2D	3/2	134562.854	0.014
9d	2D	3/2	139627.043	0.008
10d	2D	3/2	142660.277	0.010
11d	2D	3/2	144653.677	0.033
5f	2F*	7/2	123153.775	0.006
6f	2F*	7/2	133269.525	0.019
7f	2F*	7/2	138795.581	0.010
8f	2F*	7/2	142128.476	0.012
5g	2G	9/2	133654.879	0.007
6g	2G	9/2	139044.524	0.009
7g	2G	9/2	142294.817	0.012
8g	2G	9/2	144403.510	0.014
9g	2G	9/2	145849.628	0.033
