# Hg I — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Hg+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED — spectrum=Hg+I confirmed. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# THREE LIMITS:
#   Hg II (6s        2S<1/2>)    84184.15    <- the 5d10.6s.nl series
#   Hg II (5d9.6s2  2D<5/2>)    119700.      <- 5d-hole, J=5/2 parent
#   Hg II (5d9.6s2  2D<3/2>)    134746.      <- 5d-hole, J=3/2 parent
#
# ** THE 5d10.6s.nl BLOCK IS EXCELLENT AND FULLY PAIRED: **
#      s   n =  7..20   3S and 1S at every n
#      p   n =  6..20   3P* (J=0,1,2) and 1P* at every n
#      d   n =  6..20   3D (J=1,2,3) and 1D at every n
#      f   n =  5..21   3F* (J=2,3,4) and 1F* at every n
#      g   n =  5..11   3G and 1G
#
#    FIVE l, FOURTEEN to SEVENTEEN consecutive n, singlet AND triplet
#    throughout. Comparable to Ba I but on a 5d10.6s core rather than
#    a bare 6s2 — the d-shell is CLOSED and filled here.
#
# ** THE 5d-HOLE BLOCKS ABOVE 84184 ARE ENTIRELY RACAH 2[K] ON TWO
#    J-RESOLVED PARENTS, with np running to n=20 on each. Refused by
#    R 1576 and kept separate; they converge on the two higher limits. **
#
# The 5g and higher-g rows repeat one value across 3G and 1G (e.g.
# 7g at 81936 for both) — the same non-resolution Ba I showed, without
# the "u" flag. Marked degenerate.
#
# config	term	J	level_cm1	note
5d10.6s2	1S	0	0.000	
5d10.6s.6p	3P*	0	37644.982	
5d10.6s.6p	3P*	1	39412.237	
5d10.6s.6p	3P*	2	44042.909	
5d10.6s.6p	1P*	1	54068.6829	
5d10.6s.7s	3S	1	62350.325	
5d10.6s.7s	1S	0	63928.120	
5d10.6s.7p	3P*	0	69516.576	
5d10.6s.7p	3P*	1	69661.803	
5d10.6s.7p	3P*	2	71207.296	
5d10.6s.7p	1P*	1	71294.86	
5d10.6s.6d	1D	2	71333.053	
5d10.6s.6d	3D	1	71336.005	
5d10.6s.6d	3D	2	71396.073	
5d10.6s.6d	3D	3	71431.180	
5d10.6s.8s	3S	1	73961.135	
5d10.6s.8s	1S	0	74404.56	
5d10.6s.8p	3P*	0	76447.112	
5d10.6s.8p	3P*	1	76466.936	
5d10.6s.8p	3P*	2	76823.43	
5d10.6s.8p	1P*	1	76863.137	
5d10.6s.7d	1D	2	77063.970	
5d10.6s.7d	3D	1	77084.42	
5d10.6s.7d	3D	2	77107.807	
5d10.6s.7d	3D	3	77129.372	
5d10.6s.5f	3F*	2	77236.86	
5d10.6s.5f	3F*	3	77239.06	
5d10.6s.5f	3F*	4	77286.86	
5d10.6s.5f	1F*	3	77241.51	
5d10.6s.9s	3S	1	78216.12	
5d10.6s.9s	1S	0	78404.24	
5d10.6s.9p	3P*	0	79375.652	
5d10.6s.9p	3P*	1	79412.615	
5d10.6s.9p	3P*	2	79611.7	
5d10.6s.9p	1P*	1	79963.85	
5d10.6s.8d	1D	2	79660.56	
5d10.6s.8d	3D	1	79678.57	
5d10.6s.8d	3D	2	79690.16	
5d10.6s.8d	3D	3	79702.53	
5d10.6s.6f	3F*	3	79743.6	
5d10.6s.6f	3F*	2	79743.7	
5d10.6s.6f	3F*	4	79748.6	
5d10.6s.6f	1F*	3	79744.4	
5d10.6s.10s	3S	1	80267.97	
5d10.6s.10s	1S	0	80365.528	
5d10.6s.10p	3P*	0	80902.139	
5d10.6s.10p	3P*	1	80916.551	
5d10.6s.10p	3P*	2	81022.63	
5d10.6s.10p	1P*	1	81153.485	
5d10.6s.9d	1D	2	81057.637	
5d10.6s.9d	3D	1	81070.96	
5d10.6s.9d	3D	2	81077.45	
5d10.6s.9d	3D	3	81084.96	
5d10.6s.7f	3F*	2	81103.6	
5d10.6s.7f	3F*	3	81105.4	
5d10.6s.7f	3F*	4	81106.7	
5d10.6s.7f	1F*	3	81106.0	
5d10.6s.11s	3S	1	81416.17	
5d10.6s.11s	1S	0	81473.4	
5d10.6s.11p	3P*	0	81800.43	
5d10.6s.11p	3P*	1	81807.95	
5d10.6s.11p	3P*	2	81873.704	
5d10.6s.11p	1P*	1	81942.318	
5d10.6s.10d	1D	2	81894.59	
5d10.6s.10d	3D	1	81904.0	
5d10.6s.10d	3D	2	81908.20	
5d10.6s.10d	3D	3	81913.55	
5d10.6s.8f	3F*	2	81923.1	
5d10.6s.8f	3F*	3	81923.9	
5d10.6s.8f	3F*	4	81925.7	
5d10.6s.8f	1F*	3	81925.0	
5d10.6s.12s	3S	1	82123.98	
5d10.6s.12s	1S	0	82160.57	
5d10.6s.12p	3P*	0	82374.40	
5d10.6s.12p	3P*	1	82378.38	
5d10.6s.12p	3P*	2	82422.47	
5d10.6s.12p	1P*	1	82463.923	
5d10.6s.11d	1D	2	82435.70	
5d10.6s.11d	3D	1	82443.10	
5d10.6s.11d	3D	2	82445.40	
5d10.6s.11d	3D	3	82448.7	
5d10.6s.9f	1F*	3	82455.1	
5d10.6s.9f	3F*	2	82455.2	
5d10.6s.9f	3F*	3	82456.0	
5d10.6s.9f	3F*	4	82456.7	
5d10.6s.13s	3S	1	82590.86	
5d10.6s.13s	1S	0	82615.7	
5d10.6s.13p	3P*	0	82763.28	
5d10.6s.13p	3P*	1	82765.67	
5d10.6s.13p	3P*	2	82796.65	
5d10.6s.13p	1P*	1	82823.816	
5d10.6s.12d	1D	2	82805.18	
5d10.6s.12d	3D	1	82811.0	
5d10.6s.12d	3D	2	82812.32	
5d10.6s.12d	3D	3	82814.5	
5d10.6s.10f	1F*	3	82818.5	
5d10.6s.10f	3F*	2	82818.6	
5d10.6s.10f	3F*	3	82818.9	
5d10.6s.10f	3F*	4	82819.4	
5d10.6s.14s	3S	1	82915.4	
5d10.6s.14s	1S	0	82932.9	
5d10.6s.14p	3P*	0	83038.89	
5d10.6s.14p	3P*	1	83040.43	
5d10.6s.14p	3P*	2	83063.08	
5d10.6s.14p	1P*	1	83081.93	
5d10.6s.13d	1D	2	83068.90	
5d10.6s.13d	3D	1	83073.4	
5d10.6s.13d	3D	2	83074.0	
5d10.6s.13d	3D	3	83075.9	
5d10.6s.11f	3F*	3	83078.8	
5d10.6s.11f	3F*	2	83078.8	
5d10.6s.11f	3F*	4	83079.6	
5d10.6s.11f	1F*	3	83079.3	
5d10.6s.15s	3S	1	83149.7	
5d10.6s.15s	1S	0	83162.7	
5d10.6s.15p	3P*	0	83241.58	
5d10.6s.15p	3P*	1	83242.45	
5d10.6s.15p	3P*	2	83259.41	
5d10.6s.15p	1P*	1	83273.22	
5d10.6s.14d	1D	2	83263.3	
5d10.6s.14d	3D	1	83266.6	
5d10.6s.14d	3D	2	83267.4	
5d10.6s.14d	3D	3	83269.2	
5d10.6s.12f	3F*	2	83271.0	
5d10.6s.12f	3F*	3	83271.3	
5d10.6s.12f	3F*	4	83271.6	
5d10.6s.12f	1F*	3	83271.4	
5d10.6s.16s	3S	1	83324.7	
5d10.6s.16s	1S	0	83334.5	
5d10.6s.16p	3P*	0	83394.59	
5d10.6s.16p	3P*	1	83395.33	
5d10.6s.16p	3P*	2	83408.34	
5d10.6s.16p	1P*	1	83418.60	
5d10.6s.15d	1D	2	83411.7	
5d10.6s.15d	3D	1	83414.1	
5d10.6s.15d	3D	2	83414.8	
5d10.6s.15d	3D	3	83415.6	
5d10.6s.13f	3F*	3	83417.2	
5d10.6s.13f	3F*	2	83417.2	
5d10.6s.13f	3F*	4	83417.6	
5d10.6s.13f	1F*	3	83417.9	
5d10.6s.17s	3S	1	83458.7	
5d10.6s.17s	1S	0	83466.1	
5d10.6s.17p	3P*	0	83513.28	
5d10.6s.17p	3P*	1	83513.74	
5d10.6s.17p	3P*	2	83524.06	
5d10.6s.17p	1P*	1	83531.99	
5d10.6s.16d	1D	2	83526.7	
5d10.6s.16d	3D	1	83528.4	
5d10.6s.16d	3D	2	83529.1	
5d10.6s.16d	3D	3	83529.8	
5d10.6s.14f	3F*	3	83531.1	
5d10.6s.14f	3F*	4	83531.2	
5d10.6s.14f	3F*	2	83531.6	
5d10.6s.14f	1F*	3	83531.4	
5d10.6s.18s	3S	1	83563.9	
5d10.6s.18s	1S	0	83569.0	
5d10.6s.18p	3P*	0	83607.17	
5d10.6s.18p	3P*	1	83607.35	
5d10.6s.18p	3P*	2	83615.67	
5d10.6s.18p	1P*	1	83621.89	
5d10.6s.17d	1D	2	83617.2	
5d10.6s.17d	3D	1	83619.3	
5d10.6s.17d	3D	2	83620.0	
5d10.6s.17d	3D	3	83620.4	
5d10.6s.15f	1F*	3	83620.3	
5d10.6s.15f	3F*	3	83621.8	
5d10.6s.19s	3S	1	83647.8	
5d10.6s.19s	1S	0	83651.0	
5d10.6s.19p	3P*	1	83682.76	
5d10.6s.19p	3P*	0	83682.76	
5d10.6s.19p	3P*	2	83689.41	
