# NIST ASD — FIRST ionisation energies of the NEUTRAL atoms, Z = 1 to 108.
# Kramida, Ralchenko, Reader and NIST ASD Team (2024), ASD ver. 5.12,
# DOI 10.18434/T4W30F. Fetched 2026-08-11.
#
# *** THE CACHE SERVED A DIFFERENT QUERY THAN THE ONE ASKED (R 1593). ***
# Requested spectra=H-Ar; destination_url read back as spectra=H-DS+i. So this
# is the NEUTRAL row of the ladder for every element, not the multi-charge
# ladder for H-Ar. Recorded as what it is.
#
# QUALITY FLAG IS THE SOURCE'S OWN BRACKET NOTATION, kept:
#   M = measured, bare number
#   E = estimated, [ ]
#   T = theoretical, ( )
#
# Z	el	IE_eV	unc_eV	quality
1	H	13.598434599702	0.000000000012	T
2	He	24.587389011	0.000000025	M
3	Li	5.391714996	0.000000022	M
4	Be	9.322699	0.000007	M
5	B	8.298019	0.000003	M
6	C	11.2602880	0.0000011	M
7	N	14.53413	0.00004	M
8	O	13.618055	0.000007	M
9	F	17.42282	0.00005	M
10	Ne	21.564541	0.000007	M
11	Na	5.13907696	0.00000025	M
12	Mg	7.646236	0.000004	M
13	Al	5.985769	0.000003	M
14	Si	8.15168	0.00003	M
15	P	10.486686	0.000015	M
16	S	10.3600167	0.0000014	M
17	Cl	12.967633	0.000016	M
18	Ar	15.7596119	0.0000005	M
19	K	4.34066373	0.00000009	M
20	Ca	6.1131549210	0.0000000005	M
21	Sc	6.56149	0.00006	M
22	Ti	6.828120	0.000012	M
23	V	6.746187	0.000021	M
24	Cr	6.76651	0.00004	M
25	Mn	7.4340380	0.0000012	M
26	Fe	7.9024681	0.0000012	M
27	Co	7.88101	0.00012	M
28	Ni	7.639878	0.000017	M
29	Cu	7.726380	0.000004	M
30	Zn	9.394197	0.000006	M
31	Ga	5.9993020	0.0000012	M
32	Ge	7.899435	0.000012	M
33	As	9.78855	0.00025	M
34	Se	9.752368	0.000006	M
35	Br	11.81381	0.00006	M
36	Kr	13.9996055	0.0000020	M
37	Rb	4.1771281	0.0000012	M
38	Sr	5.69486745	0.00000012	M
39	Y	6.21726	0.00010	M
40	Zr	6.634126	0.000005	M
41	Nb	6.75885	0.00004	M
42	Mo	7.09243	0.00004	M
43	Tc	7.11938	0.00003	M
44	Ru	7.36050	0.00005	M
45	Rh	7.45890	0.00005	M
46	Pd	8.336839	0.000010	M
47	Ag	7.576234	0.000025	M
48	Cd	8.993820	0.000016	M
49	In	5.7863558	0.0000005	M
50	Sn	7.343918	0.000012	M
51	Sb	8.608389	0.000012	M
52	Te	9.009808	0.000006	M
53	I	10.451236	0.000025	M
54	Xe	12.1298437	0.0000015	M
55	Cs	3.89390572743	0.00000000017	M
56	Ba	5.2116646	0.0000012	M
57	La	5.5769	0.0006	M
58	Ce	5.5386	0.0004	M
59	Pr	5.4702	0.0004	E
60	Nd	5.52475	0.00005	M
61	Pm	5.58187	0.00004	M
62	Sm	5.643722	0.000021	M
63	Eu	5.670385	0.000005	M
64	Gd	6.14980	0.00004	M
65	Tb	5.8638	0.0006	M
66	Dy	5.939061	0.000006	M
67	Ho	6.0215	0.0006	M
68	Er	6.1077	0.0010	M
69	Tm	6.184402	0.000009	M
70	Yb	6.254160	0.000012	M
71	Lu	5.425871	0.000012	M
72	Hf	6.825070	0.000012	M
73	Ta	7.549571	0.000025	M
74	W	7.86403	0.00010	M
75	Re	7.83352	0.00011	M
76	Os	8.43823	0.00020	M
77	Ir	8.96702	0.00022	M
78	Pt	8.95883	0.00010	M
79	Au	9.225554	0.000004	M
80	Hg	10.437504	0.000006	M
81	Tl	6.1082873	0.0000012	M
82	Pb	7.4166799	0.0000006	M
83	Bi	7.285516	0.000006	M
84	Po	8.418070	0.000004	M
85	At	9.31751	0.00008	M
86	Rn	10.74850		M
87	Fr	4.0727411	0.0000011	M
88	Ra	5.2784239	0.0000025	M
89	Ac	5.380235	0.000012	M
90	Th	6.30670	0.00025	M
91	Pa	5.89	0.12	E
92	U	6.19405	0.00006	M
93	Np	6.265608	0.000019	M
94	Pu	6.02576	0.00025	M
95	Am	5.97381	0.00025	M
96	Cm	5.992241	0.000020	M
97	Bk	6.19785	0.00025	M
98	Cf	6.281878	0.000006	M
99	Es	6.36840	0.00006	M
100	Fm	6.50	0.07	E
101	Md	6.58	0.07	E
102	No	6.62621	0.00005	M
103	Lr	4.96	0.05	M
104	Rf	6.02	0.04	T
105	Db	6.8	0.5	T
106	Sg	7.8	0.5	E
107	Bh	7.7	0.5	E
108	Hs	7.6	0.5	E
