# K I — NIST ASD 5.12, refs L7185/L1792/L5770/L6096/L5451/L5783 · Z=19, neutral
# limit NOT printed; DERIVED by the lowest-rms rule (register 1065)
config	term	J	level_cm1	unc
4s	2S	1/2	0.0000	0.0005
5s	2S	1/2	21026.551	0.005
6s	2S	1/2	27450.7104	0.003
7s	2S	1/2	30274.2487	0.003
8s	2S	1/2	31765.3767	0.003
9s	2S	1/2	32648.3511	0.0007
10s	2S	1/2	33214.2267	0.0007
11s	2S	1/2	33598.5597	0.0007
12s	2S	1/2	33871.4788	0.0007
13s	2S	1/2	34072.2393	0.0007
14s	2S	1/2	34224.2113	0.0007
15s	2S	1/2	34342.0150	0.0007
16s	2S	1/2	34435.1762	0.0007
17s	2S	1/2	34510.1190	0.0007
18s	2S	1/2	34571.3017	0.0007
4p	2P*	1/2	12985.185724	0.000002
5p	2P*	1/2	24701.382	0.005
6p	2P*	1/2	28999.27	0.05
7p	2P*	1/2	31069.90	0.06
8p	2P*	1/2	32227.44	0.06
9p	2P*	1/2	32940.2030	0.003
10p	2P*	1/2	33410.2306	0.003
11p	2P*	1/2	33736.4979	0.003
12p	2P*	1/2	33972.2064	0.003
13p	2P*	1/2	34148.0284	0.003
14p	2P*	1/2	34282.6573	0.003
15p	2P*	1/2	34388.0315	0.003
3d	2D	5/2	21534.680	0.005
4d	2D	5/2	27397.077	0.005
5d	2D	5/2	30185.2439	0.003
6d	2D	5/2	31695.9005	0.003
7d	2D	5/2	32598.2881	0.0007
8d	2D	5/2	33178.1339	0.0007
9d	2D	5/2	33572.0592	0.0007
10d	2D	5/2	33851.5956	0.0007
11d	2D	5/2	34057.0051	0.0007
12d	2D	5/2	34212.3139	0.0007
13d	2D	5/2	34332.5627	0.0007
4f	2F*	5/2	28127.85	0.05
5f	2F*	5/2	30606.73	0.06
6f	2F*	5/2	31953.17	0.06
7f	2F*	5/2	32764.80	0.06
8f	2F*	5/2	33291.40	0.06
9f	2F*	5/2	33652.32	0.06
10f	2F*	5/2	33910.42	0.06
11f	2F*	5/2	34101.36	0.06
12f	2F*	5/2	34246.37	0.05
5g	2G	7/2	30617.31	0.01
