filename	md5	size_bytes	status	target_path	source_shard	conversation	created_at	versions	note
.bi.b64	b1414f9bfe694aca0653b398b6b94c78	3160	RECOVERED	recovered/.bi.b64	2026-08/21fd1134-011f-4a2d-afa0-8ccc66780c91.json	Rebuild 10	2026-08-24T15:30:42.569195Z	1	
.c.b64	474c21c31c97ac06da2920da7da55d63	788	RECOVERED	recovered/.c.b64	2026-08/21fd1134-011f-4a2d-afa0-8ccc66780c91.json	Rebuild 10	2026-08-24T15:30:42.569195Z	1	
.cd.b64	333cea5b106d0b2ecd6fd66616e56589	1244	RECOVERED	recovered/.cd.b64	2026-08/21fd1134-011f-4a2d-afa0-8ccc66780c91.json	Rebuild 10	2026-08-24T15:30:42.569195Z	1	
.hg.b64	ef01899f74f8ac8857a2ef9e460cbe74	1296	RECOVERED	recovered/.hg.b64	2026-08/21fd1134-011f-4a2d-afa0-8ccc66780c91.json	Rebuild 10	2026-08-24T15:30:42.569195Z	1	
.m.b64	942c0e2ea891553bf0dd167c58af21ba	2324	RECOVERED	recovered/.m.b64	2026-08/21fd1134-011f-4a2d-afa0-8ccc66780c91.json	Rebuild 10	2026-08-24T15:30:42.569195Z	1	
.n.b64	8e1b647f2c68fffd83c71f953fa66fa3	932	RECOVERED	recovered/.n.b64	2026-08/21fd1134-011f-4a2d-afa0-8ccc66780c91.json	Rebuild 10	2026-08-24T15:30:42.569195Z	1	
.sc.b64	b7069c70966febd3e818dbbe025ada49	1692	RECOVERED	recovered/.sc.b64	2026-08/21fd1134-011f-4a2d-afa0-8ccc66780c91.json	Rebuild 10	2026-08-24T15:30:42.569195Z	1	
.sg.b64	93b6c1a3b5d69133417938dc444a0eb5	10368	RECOVERED	recovered/.sg.b64	2026-08/21fd1134-011f-4a2d-afa0-8ccc66780c91.json	Rebuild 10	2026-08-24T15:30:42.569195Z	1	
.t.b64	2a2a06c1d55904f27567ba9922659ff8	1860	RECOVERED	recovered/.t.b64	2026-08/21fd1134-011f-4a2d-afa0-8ccc66780c91.json	Rebuild 10	2026-08-24T15:30:42.569195Z	1	
01-regchat.md	588686054b71129f27d1f9e31816cadd	1678	RECOVERED	recovered/01-regchat.md	2026-08/03852020-4499-4080-878d-a5f1fc1052b4.json	Register	2026-08-15T22:19:12.448243Z	1	
02-slip.md	ea1b6b8bf03911e0cbceea66aafdc6e6	1064	RECOVERED	recovered/02-slip.md	2026-08/03852020-4499-4080-878d-a5f1fc1052b4.json	Register	2026-08-15T22:19:12.448243Z	1	
03-1D-lands-inside-14D.md	79e5d7600449177222532b646ca7fb1d	3646	RECOVERED	recovered/03-1D-lands-inside-14D.md	2026-08/673194db-2dc6-4a59-973d-996aab0d5a1e.json	Seed law review	2026-08-28T20:32:14.855253Z	1	
03-fill-value.md	54376aa7ae546403679cd49aa3baef82	2515	RECOVERED	recovered/03-fill-value.md	2026-08/aec3da4f-d3e1-4bff-8754-579811aa604d.json	Incomplete conversation	2026-08-29T15:18:50.052465Z	1	
03-seal.md	6250504243ee7bc50b1495b57f685723	1193	RECOVERED	recovered/03-seal.md	2026-08/03852020-4499-4080-878d-a5f1fc1052b4.json	Register	2026-08-15T22:19:12.448243Z	1	
