# Li II — NIST ASD 5.12, Kramida 2023 for v5.11 · 7Li
# limit Li III (1s 2S1/2) = 610078.5260 +/- 0.0097 cm-1
# bracketed values are Ritz/extrapolated; ground state 1s2 1S0 = 0.0000 +/- 0.0097
config	term	J	level_cm1
1s2	1S	0	0.0000
1s.2s	3S	1	476034.11
1s.2s	1S	0	491373.71
1s.2p	3P*	1	494260.30
1s.2p	3P*	2	494262.57
1s.2p	3P*	0	494265.70
1s.2p	1P*	1	501807.72
1s.3s	3S	1	554753.58
1s.3s	1S	0	558777.01
1s.3p	3P*	1	559499.5
1s.3p	3P*	2	559500.55
1s.3p	3P*	0	559501.45
1s.3d	3D	2	561242.28
1s.3d	1D	2	561272.75
1s.3p	1P*	1	561751.95
1s.4s	3S	1	579980.46
1s.4s	1S	0	581595.90
1s.4p	3P*	1	581885.11
1s.4d	3D	2	582612.54
1s.4d	1D	2	582630.08
1s.4f	3F*	3	582642.10
1s.4f	1F*	3	582643.17
1s.4p	1P*	1	582836.5
1s.5s	3S	1	591183.39
1s.5s	1S	0	591988.68
1s.5p	3P*	1	592133.16
1s.5d	3D	2	592503.22
1s.5d	1D	2	592513.56
1s.5f	3F*	3	592519.24
1s.5f	1F*	3	592520.24
1s.5g	1G	4	592521.61
1s.5p	1P*	1	592618.4
1s.6s	3S	1	597121.08
1s.6s	1S	0	597579.66
1s.6p	3P*	1	597661.86
1s.6d	3D	2	597875.07
1s.6d	1D	2	597881.65
1s.6f	3F*	3	597884.56
1s.6f	1F*	3	597885.61
1s.6g	1G	4	597886.23
1s.6h	1H*	5	597886.39
1s.6p	1P*	1	597936.4
1s.7s	3S	1	600643.03
1s.7s	1S	0	600929.7
1s.7p	3P*	1	600979.87
1s.7d	3D	2	601113.58
1s.7d	1D	2	601118.15
1s.7f	3F*	3	601119.54
1s.7f	1F*	3	601120.68
1s.7g	1G	4	601120.93
1s.7h	1H*	5	601121.04
1s.7i	1I	6	601121.06
1s.7p	1P*	1	601169
1s.8s	3S	1	602902.11
1s.8s	1S	0	603091.84
1s.8p	3P*	1	603125.99
1s.8d	3D	2	603215.34
1s.8d	1D	2	603218.63
1s.8f	3F*	3	603219.16
1s.8f	1F*	3	603220.34
1s.8g	1G	4	603220.37
1s.8h	1H*	5	603220.45
1s.8i	1I	6	603220.47
1s.8p	1P*	1	603244.7
1s.9s	3S	1	604437.30
1s.9s	1S	0	604569.65
1s.9p	3P*	1	604593.52
1s.9d	3D	2	604656.23
1s.9d	1D	2	604658.44
1s.9f	3F*	3	604658.68
1s.9g	1G	4	604659.74
1s.9h	1H*	5	604659.80
1s.9f	1F*	3	604659.83
1s.9p	1P*	1	604676.9
1s.10s	3S	1	605527.73
1s.10s	1S	0	605623.74
1s.10p	3P*	1	605641.08
1s.10d	3D	2	605686.73
1s.10d	1D	2	605688.37
1s.10f	3F*	3	605688.54
1s.10f	1F*	3	605689.69
1s.10p	1P*	1	605701.8
1s.11p	1P*	1	606460.5
1s.12p	1P*	1	607037.7
1s.13p	1P*	1	607487.1
1s.14p	1P*	1	607843.7
