# N III — NIST ASD 5.12, refs L7288/L11770 · Z=7, 5 electrons, B-like
# limit N IV (2s2 1S0) = [382,672] +/- 20 cm-1  — PUBLISHED (bracketed: extrapolated)
config	term	J	level_cm1
3s	2S	1/2	221302.2
4s	2S	1/2	301082.6
5s	2S	1/2	333712.0
6s	2S	1/2	349824.8
7s	2S	1/2	359148.1
8s	2S	1/2	364994.2
9s	2S	1/2	368893.8
10s	2S	1/2	371646.9
11s	2S	1/2	373605.6
12s	2S	1/2	375075.6
13s	2S	1/2	376145.4
14s	2S	1/2	377050.9
3p	2P*	1/2	245665.4
4p	2P*	1/2	311690.3
5p	2P*	1/2	338153.9
3d	2D	3/2	267238.4
4d	2D	3/2	317747.7
5d	2D	3/2	341947.7
6d	2D	3/2	354530.5
7d	2D	3/2	362066
8d	2D	3/2	366940
9d	2D	3/2	370269
10d	2D	3/2	372651
11d	2D	3/2	374427
12d	2D	3/2	375754
4f	2F*	5/2	320287.2
5f	2F*	5/2	342749.2
6f	2F*	5/2	354954.1
7f	2F*	5/2	362320.9
5g	2G	7/2	343117.1
6g	2G	7/2	355216.3
7g	2G	7/2	362511.5
6h	2H*	9/2	355254.9
7h	2H*	9/2	362537.2
