config	term	J	level
2s.3s	3S	1	377284.8
2s.3s	1S	0	388854.6
2s.4s	3S	1	487607.4
2s.5s	3S	1	544813.4
2s.5s	1S	0	546731.3
2s.6s	3S	1	570381.3
2s.6s	1S	0	571172.1
2s.7s	3S	1	584977.1
2s.7s	1S	0	584983.3
2s.8s	1S	0	596150.1
2s.8s	3S	1	597481.6
2s.9s	3S	1	601621.5
2s.3p	1P*	1	404522.4
2s.4p	1P*	1	507027.9
2s.5p	1P*	1	550232.6
2s.6p	1P*	1	572731.1
2s.7p	1P*	1	587979.4
2s.8p	1P*	1	596270.9
2s.9p	1P*	1	602609.3
2s.3p	3P*	1	405987.5
2s.4p	3P*	1	503691.9
2s.3d	3D	2	420049.6
2s.4d	3D	2	511446.0
2s.5d	3D	2	552789.6
2s.6d	3D	1	575030.5
2s.7d	3D	2	588382.6
2s.8d	3D	2	597026.8
2s.9d	3D	2	602865.7
2s.3d	1D	2	429159.6
2s.4d	1D	2	514647.7
2s.5d	1D	2	554300.7
2s.6d	1D	2	575872.4
2s.7d	1D	2	588884.0
2s.8d	1D	2	597349.1
2s.4f	3F*	3	516560.8
2s.5f	3F*	3	554571.8
2s.4f	1F*	3	521862.8
2s.5f	1F*	3	554995.7
2s.6f	1F*	3	575999.3
2s.5g	1G	4	554339.1
2s.6g	1G	4	575807.9
2s.5g	3G	4	554339.7
2s.6g	3G	4	575809.4
2s.6h	1H*	5	576042.9
2s.7h	1H*	5	588994.3
2s.7i	1I	6	589021.4
