# Ne II — the nf and ng runs on the 3P<2> core, ref L9088
# limit Ne III (2p4 3P2) = 330388.6 cm-1
# nf now n=5..8 (four members); ng n=5..7
config	term	J	level_cm1
5f	2[4]*	9/2	312763.8929
6f	2[4]*	9/2	318156.0520
7f	2[4]*	9/2	321405.23
8f	2[4]*	9/2	323513.00
5f	2[4]*	7/2	312765.4821
6f	2[4]*	7/2	318157.1429
7f	2[4]*	7/2	321405.91
8f	2[4]*	7/2	323513.47
5f	2[3]*	7/2	312771.9922
6f	2[3]*	7/2	318160.9720
7f	2[3]*	7/2	321408.42
8f	2[3]*	7/2	323515.12
5f	2[2]*	5/2	312804.7127
6f	2[2]*	5/2	318180.3002
7f	2[2]*	5/2	321420.66
8f	2[2]*	5/2	323523.38
5f	2[5]*	11/2	312816.6500
6f	2[5]*	11/2	318186.1197
7f	2[5]*	11/2	321423.96
8f	2[5]*	11/2	323525.49
5g	2[5]	9/2	312810.675
6g	2[5]	9/2	318183.6797
7g	2[5]	9/2	321422.83
5g	2[4]	7/2	312811.580
6g	2[4]	7/2	318184.2181
7g	2[4]	7/2	321423.22
5g	2[3]	5/2	312824.761
6g	2[3]	5/2	318191.9290
7g	2[3]	5/2	321428.05
5g	2[6]	11/2	312833.415
6g	2[6]	11/2	318196.72
7g	2[6]	11/2	321431.02
5g	2[2]	3/2	312843.10
6g	2[2]	3/2	318202.3663
7g	2[2]	3/2	321434.54
