# Ne II — the high-l runs on the 3P<2> core, ref L9088
# limit Ne III (2p4 3P2) = 330388.6 cm-1
# these are the near-hydrogenic channels: nf, ng, nh at n = 6,7,8
config	term	J	level_cm1
6f	2[4]*	9/2	318812.1133
7f	2[4]*	9/2	321405.23
8f	2[4]*	9/2	323513.00
6f	2[4]*	7/2	318812.7356
7f	2[4]*	7/2	321405.91
8f	2[4]*	7/2	323513.47
6f	2[3]*	7/2	318834.7543
7f	2[3]*	7/2	321408.42
8f	2[3]*	7/2	323515.12
6f	2[2]*	5/2	318805.121
7f	2[2]*	5/2	321420.66
8f	2[2]*	5/2	323523.38
6f	2[5]*	11/2	318841.497
7f	2[5]*	11/2	321423.96
8f	2[5]*	11/2	323525.49
6g	2[3]	7/2	318828.4917
7g	2[3]	7/2	321428.05
6g	2[5]	9/2	318831.1565
7g	2[5]	9/2	321422.83
6g	2[4]	7/2	318841.8468
7g	2[4]	7/2	321423.22
6h	2[4]*	7/2	318834.4654
6h	2[5]*	9/2	318841.497
