# Ne II — the 2s2.2p4.(3P).np runs, ref L9088
# limit Ne III (2p4 3P2) = 330388.6 cm-1
config	term	J	level_cm1
3p	4P*	5/2	246192.4130
4p	4P*	5/2	290371.9268
5p	4P*	5/2	306899.2903
6p	4P*	5/2	314927.6979
3p	4P*	3/2	246415.0144
4p	4P*	3/2	290583.1503
5p	4P*	3/2	307069.8080
6p	4P*	3/2	315040.109
3p	4P*	1/2	246597.6805
4p	4P*	1/2	290803.7989
5p	4P*	1/2	307309.4584
6p	4P*	1/2	315600.112
3p	4D*	7/2	249108.6138
4p	4D*	7/2	291202.0096
5p	4D*	7/2	307240.7001
6p	4D*	7/2	315099.9990
3p	4D*	5/2	249445.9632
4p	4D*	5/2	291495.0176
5p	4D*	5/2	307894.8198
6p	4D*	5/2	315730.9311
3p	4D*	1/2	249839.6186
4p	4D*	1/2	291968.116
5p	4D*	1/2	308022.9587
6p	4D*	1/2	315821.061
3p	2D*	5/2	251011.1511
4p	2D*	5/2	292033.1263
5p	2D*	5/2	307420.8248
6p	2D*	5/2	315202.7541
3p	2D*	3/2	251522.0967
4p	2D*	3/2	292451.7592
5p	2D*	3/2	308177.1843
6p	2D*	3/2	316052.5791
3p	2S*	1/2	252798.4654
4p	2S*	1/2	292546.687
5p	2S*	1/2	308006.8460
6p	2S*	1/2	315241.372
3p	4S*	3/2	252953.5198
4p	4S*	3/2	292651.298
5p	4S*	3/2	308136.8685
6p	4S*	3/2	315854.611
