# Ne II — NIST ASD 5.12, Kramida & Nave 2006, ref L9088
# the 2s2.2p4.(3P).ns 4P and .nd 4D runs, converging on the 3P2 core
# limit Ne III (2p4 3P2) = 330388.6 +/- 0.3 cm-1
config	term	J	level_cm1
3s	4P	5/2	219130.7609
4s	4P	5/2	281998.2635
5s	4P	5/2	303279.8915
6s	4P	5/2	312903.4650
7s	4P	5/2	318256.108
3s	4P	3/2	219648.4248
4s	4P	3/2	282375.3049
5s	4P	3/2	303518.1843
6s	4P	3/2	313652.1424
7s	4P	3/2	318940.046
3s	4P	1/2	219947.4453
4s	4P	1/2	282680.6284
5s	4P	1/2	303928.0756
6s	4P	1/2	313700.1049
7s	4P	1/2	318990.64
3s	2P	3/2	224087.0092
4s	2P	3/2	283322.3319
5s	2P	3/2	303974.2630
6s	2P	3/2	313180.2149
7s	2P	3/2	318386.291
3s	2P	1/2	224699.2716
4s	2P	1/2	283894.3965
5s	2P	1/2	304440.2089
6s	2P	1/2	314018.9129
7s	2P	1/2	319259.49
3d	4D	7/2	279137.6053
4d	4D	7/2	301801.0594
5d	4D	7/2	312223.5155
6d	4D	7/2	317840.185
3d	4D	5/2	279218.6416
4d	4D	5/2	301855.6707
5d	4D	5/2	312258.0516
6d	4D	5/2	317862.246
3d	4D	3/2	279324.8733
4d	4D	3/2	301947.9789
5d	4D	3/2	312325.6366
6d	4D	3/2	317907.053
3d	4F	9/2	280172.9854
4d	4F	9/2	302192.9098
5d	4F	9/2	312407.6220
6d	4F	9/2	317940.958
