# Ni X — NIST ASD levels, fetched live 2026-08-14 (session 1.8, batch 1 fetch 9).
# destination_url VERIFIED: energy1.pl?...spectrum=Ni+X...format=2&units=0 (cm-1)
# K-like, fourth of the sequence. 3d 2D ground; splitting 3178 continues the
# monotone run 940/1338/2451/3178. Rydberg thinner still: 4p + nf n=4..7.
# LIMIT IS BRACKETED in the source — [1812000] — a theoretical/extrapolated
# limit, the first bracketed limit in the queue2 set. Recorded as bracketed.
Configuration	Term	J	Level_cm-1
3p6.3d	2D	3/2	0
3p6.3d	2D	5/2	3178
3p5.(2P*).3d2.(1G)	2F*	5/2	505283
3p5.(2P*).3d2.(1G)	2F*	7/2	509751
3p5.(2P*).3d2.(1D)	2F*	7/2	522391
3p5.(2P*).3d2.(1D)	2F*	5/2	540725
3p5.(2P*).3d2.(3F)	2F*	5/2	625091
3p5.(2P*).3d2.(3F)	2F*	7/2	634583
3p5.(2P*).3d2.(3P)	2P*	1/2	684552
3p5.(2P*).3d2.(3P)	2P*	3/2	689365
3p5.(2P*).3d2.(3F)	2D*	5/2	692890
3p5.(2P*).3d2.(3F)	2D*	3/2	693404
3p6.4p	2P*	1/2	773647
3p6.4p	2P*	3/2	779600
3p6.4f	2F*	5/2	1093360
3p6.4f	2F*	7/2	1093440
3p5.3d.(3P*).4s	2P*	1/2	1140510
3p5.3d.(3P*).4s	2P*	3/2	1148420
3p5.3d.(3F*).4s	4F*	7/2	1154390
3p5.3d.(3F*).4s	4F*	5/2	1156550
3p5.3d.(3F*).4s	2F*	7/2	1161930
3p5.3d.(3F*).4s	2F*	5/2	1169300
3p5.3d.(3D*).4s	4D*	7/2	1184390
3p5.3d.(3D*).4s	4D*	5/2	1187750
3p5.3d.(1F*).4s	2F*	7/2	1198260
3p5.3d.(3D*).4s	2D*	3/2	1203270
3p5.3d.(3D*).4s	2D*	5/2	1206410
3p6.5f	2F*	5/2	1349580
3p6.5f	2F*	7/2	1349690
3p6.6f	2F*	7/2	1502720
3p6.6f	2F*	5/2	1502810
3p6.7f	2F*	5/2	1617890
3p6.7f	2F*	7/2	1618310
Ni_XI_(3p6_1S<0>)	Limit	---	[1812000]
