# P I — NIST ASD 5.12, ref L7147 · Z=15, 15 electrons
# limit NOT printed in the capture; DERIVED by joint fit (register 976)
# the 3s2.3p2.(3P).nl series
config	term	J	level_cm1
4s	4P	1/2	55939.421
5s	4P	1/2	72378.000
6s	4P	1/2	77769.50
4s	2P	1/2	57876.574
5s	2P	1/2	72943.803
6s	2P	1/2	78049.07
4p	4D*	1/2	65373.556
5p	4D*	1/2	75291.257
4p	4P*	1/2	66343.438
5p	4P*	1/2	75699.831
4p	2S*	1/2	64239.591
5p	2S*	1/2	75104.423
4p	2D*	3/2	66813.271
5p	2D*	3/2	76192.199
4p	2P*	1/2	67971.072
5p	2P*	1/2	76762.279
3d	4F	3/2	68183.186
4d	4F	3/2	75949.47
3d	2P	3/2	67909.136
4d	2P	3/2	75676.09
3d	2F	5/2	70391.801
4d	2F	5/2	75833.18
3d	4D	1/2	69878.033
4d	4D	1/2	76566.49
