# P III — NIST ASD 5.12, ref L7147 · Z=15, 13 electrons, Al-like
# limit NOT printed in the capture; DERIVED by joint fit (register 1055)
config	term	J	level_cm1
4s	2S	1/2	117835.95
5s	2S	1/2	176042.87
6s	2S	1/2	201291.73
7s	2S	1/2	214577.3
8s	2S	1/2	222488.0
9s	2S	1/2	227527.3
4p	2P*	1/2	141376.91
5p	2P*	1/2	184740.77
6p	2P*	1/2	206020.84
3d	2D	5/2	116874.56
4d	2D	5/2	172429.81
5d	2D	5/2	199154.83
6d	2D	5/2	212802.45
4f	2F*	5/2	178655.23
5f	2F*	5/2	200571.27
5g	2G	7/2	203784.58
6g	2G	7/2	215956.10
7g	2G	7/2	223298.65
8g	2G	7/2	228064.12
6h	2H*	9/2	216106.40
7h	2H*	9/2	223402.82
8h	2H*	9/2	228138.98
