# S VI — NIST ASD 5.12, refs L7237/L4882 · Z=16, 11 electrons, Na-like
# limit S VII (2p6 1S0) = 710,194.7 +/- 3.0 cm-1  — PUBLISHED
config	term	J	level_cm1
3s	2S	1/2	0.0
4s	2S	1/2	362988.8
5s	2S	1/2	504102.4
6s	2S	1/2	573737.7
7s	2S	1/2	613198.8
8s	2S	1/2	637709
3p	2P*	1/2	105873.6
4p	2P*	1/2	401169.2
5p	2P*	1/2	522029.1
6p	2P*	1/2	583551.3
7p	2P*	1/2	619142.9
3d	2D	3/2	247422.5
4d	2D	3/2	451796.8
5d	2D	3/2	546047.6
6d	2D	3/2	596853.0
8d	2D	3/2	646931
9d	2D	3/2	660341
4f	2F*	5/2	462650.1
5f	2F*	5/2	551759.6
6f	2F*	5/2	600189.4
7f	2F*	5/2	629390.3
8f	2F*	5/2	648343.2
9f	2F*	5/2	661327
10f	2F*	5/2	670626
5g	2G	7/2	552115.0
6g	2G	7/2	600418.8
6h	2H*	9/2	600448.9
7h	2H*	9/2	629563.8
