# Sc I — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Sc+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED against sent. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# ** FOUR LIMITS. This is the first multi-threshold table in the queue and
#    each series must be read against ITS OWN parent, not the lowest one: **
#      Sc II (3d.4s 3D<1>)   52922.0
#      Sc II (3d.4s 1D<2>)   55463.0
#      Sc II (3d2  3F<3>)    57805.6
#      Sc II (4s2  1S<0>)    64658.4
#
# THREE LONG SERIES, each on a DIFFERENT limit — the richest yield so far:
#      3d.4s.(1D).np   n =  9..38   -> 55463.0    2D* and 2P*
#      3d2.(3F).np     n =  9..15   -> 57805.6    2F*?  (all query-flagged)
#      4s2.nf          n =  4..23   -> 64658.4    2F*
#
# The low block below ~46000 is LS-assigned and transcribed. Above it the
# table degrades to empty configurations with "3/2 or 5/2" for J — those
# are refused by R 1576 and NOT written.
#
# config	term	J	level_cm1	limit_cm1
3d.4s2	2D	3/2	0.0000	52922.0
3d.4s2	2D	5/2	168.3371	52922.0
3d2.(3F).4s	4F	3/2	11519.9611	52922.0
3d2.(3F).4s	4F	5/2	11557.6556	52922.0
3d2.(3F).4s	4F	7/2	11610.2357	52922.0
3d2.(3F).4s	4F	9/2	11677.3121	52922.0
3d2.(3F).4s	2F	5/2	14926.061	52922.0
3d2.(3F).4s	2F	7/2	15041.902	52922.0
4s2.4p	2P*	1/2	18711.029	64658.4
4s2.4p	2P*	3/2	18855.734	64658.4
4s2.4d	2D	3/2	43597.133	64658.4
4s2.4d	2D	5/2	43658.502	64658.4
# --- 4s2.nf series, n = 4..23, against the 4s2 1S<0> limit 64658.4 ---
4s2.4f	2F*	7/2	57485.8	64658.4
4s2.4f	2F*	5/2	57503.9	64658.4
4s2.5f	2F*	5/2	60090.4	64658.4
4s2.5f	2F*	7/2	60090.6	64658.4
4s2.6f	2F*	5/2	61497.9	64658.4
4s2.6f	2F*	7/2	61498.5	64658.4
4s2.7f	2F*	5/2	62343.7	64658.4
4s2.7f	2F*	7/2	62344.2	64658.4
4s2.8f	2F*	7/2	62885.9	64658.4
4s2.8f	2F*	5/2	62886.5	64658.4
4s2.9f	2F*	5/2	63266.9	64658.4
4s2.9f	2F*	7/2	63267.4	64658.4
4s2.10f	2F*	5/2	63533.2	64658.4
4s2.10f	2F*	7/2	63533.3	64658.4
4s2.11f	2F*	5/2	63729.7	64658.4
4s2.11f	2F*	7/2	63729.8	64658.4
4s2.12f	2F*	7/2	63878.4	64658.4
4s2.12f	2F*	5/2	63878.5	64658.4
4s2.13f	2F*	5/2	63994.1	64658.4
4s2.13f	2F*	7/2	63994.7	64658.4
4s2.14f	2F*	7/2	64085.7	64658.4
4s2.14f	2F*	5/2	64086.3	64658.4
4s2.15f	2F*	5/2	64159.8	64658.4
4s2.15f	2F*	7/2	64161.4	64658.4
4s2.17f	2F*	7/2	64270.9	64658.4
4s2.17f	2F*	5/2	64271.3	64658.4
4s2.18f	2F*	7/2	64312.4	64658.4
4s2.18f	2F*	5/2	64312.4	64658.4
4s2.19f	2F*	7/2	64347.8	64658.4
4s2.19f	2F*	5/2	64347.9	64658.4
4s2.20f	2F*	5/2	64378.2	64658.4
4s2.20f	2F*	7/2	64378.2	64658.4
4s2.21f	2F*	7/2	64404.7	64658.4
