# Sc IX — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Sc+IX&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED against sent. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# LIMIT:  Sc X (3s2 1S<0>)  1452000 cm-1
#
# Al-like — the THIRD member of that sequence in this queue after K VII
# and Ca VIII. Seven rows carry +x (value known only up to an unknown
# additive constant) and cannot yield a defect; the 3s2.nl series are
# all clean.
#
# config	term	J	level_cm1	flag
3s2.3p	2P*	1/2	0.0	
3s2.3p	2P*	3/2	5761.1	
3s.3p2	4P	1/2	143500	+x
3s.3p2	4P	3/2	145622	+x
3s.3p2	4P	5/2	148779	+x
3s.3p2	2D	3/2	191609.3	
3s.3p2	2D	5/2	191987.1	
3s.3p2	2S	1/2	240361.4	
3s.3p2	2P	1/2	255829.4	
3s.3p2	2P	3/2	259153.7	
3s2.3d	2D	3/2	313860	
3s2.3d	2D	5/2	314214	
3p3	4S*	3/2	383047	+x
3s2.4s	2S	1/2	666259	
3s.3p.(3P*).4s	4P*	1/2	822056	+x
3s.3p.(3P*).4s	4P*	3/2	823985	+x
3s.3p.(3P*).4s	4P*	5/2	827620	+x
3s2.4d	2D	3/2	837212	
3s2.4d	2D	5/2	837459	
3s2.4f	2F*	5/2	889330	
3s2.4f	2F*	7/2	889384	
3s2.5s	2S	1/2	979930	
3s2.5d	2D	3/2	1070740	
3s2.5d	2D	5/2	1070850	
3s2.5f	2F*	5/2	1095200	
3s2.5f	2F*	7/2	1095250	
