# Se IV — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Se+IV&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED against sent. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# LIMIT:  Se V (4s2 1S<0>)  346390 cm-1
#
# ** THE PAIR TO As III, AND THE SECOND n=4 CORE. Same 4s2.4p ground,
#    same one-electron-outside structure, Z one higher and charge one
#    higher. As III and Se IV are to each other what K VII and Ca VIII
#    are — an isoelectronic step, but at the n=4 shell instead of n=3. **
#
#    So the queue now holds the SAME sequence at TWO shells:
#      n=3 core:  K VII, Ca VIII, Sc IX, Ti X    (3s2.nl)
#      n=4 core:  As III, Se IV                  (4s2.nl)
#
#    ** THAT IS BOARD ROW 17's CONTROLLED COMPARISON, now two deep on
#       each side. Recorded, NOT computed — 28 of 60. **
#
#      s  n = 5,6,7    p  n = 4,5    d  n = 4,5    f  n = 4    g  n = 5
#
#    Se IV reaches 7s where As III reached 6s.
#
# config	term	J	level_cm1	note
4s2.4p	2P*	1/2	0.	
4s2.4p	2P*	3/2	4376.	
4s2.4d	2D	3/2	153217.	
4s2.4d	2D	5/2	153606.	
4s2.5s	2S	1/2	157241.	
4s2.5p	2P*	1/2	189913.	
4s2.5p	2P*	3/2	191111.	
4s2.4f	2F*	7/2	229684.	
4s2.4f	2F*	5/2	229714.	
4s2.5d	2D	3/2	237747.	
4s2.5d	2D	5/2	237899.	
4s2.6s	2S	1/2	240745.	
4s2.5g	2G	7/2	275854.	
4s2.5g	2G	9/2	275854.	
4s2.7s	2S	1/2	281833.5	
# --- TWO electrons outside the closed 4s2. R 1597 keyability: refused.
4s.4p2	4P	1/2	79395.4	two-outside
4s.4p2	4P	3/2	80980.3	two-outside
4s.4p2	4P	5/2	83589.2	two-outside
4s.4p2	2D	3/2	104211.	two-outside
4s.4p2	2D	5/2	104706.	two-outside
4s.4p2	2S	1/2	128787.	two-outside
4s.4p2	2P	1/2	136134.	two-outside
4s.4p2	2P	3/2	138354.	two-outside
4p3	4S*	3/2	159449.1	two-outside
4p3	2D*	3/2	189713.4	two-outside
4p3	2D*	5/2	196956.5	two-outside
4p3	2P*	3/2	219332.5	two-outside
4p3	2P*	1/2	226537.6	two-outside
