# Si II — NIST Handbook silicontable6_a.htm, ref MZ83 · limit Si III (1S0) 131838.14
# PARTIAL: snippet truncated after 3s3p(3P°)4p 4D 7/2
config	term	J	level_cm1
3s2(1S)3p	2P°	1/2	0.00
3s2(1S)3p	2P°	3/2	287.24
3s3p2	4P	1/2	42824.29
3s3p2	4P	3/2	42932.62
3s3p2	4P	5/2	43107.91
3s3p2	2D	3/2	55309.35
3s3p2	2D	5/2	55325.18
3s2(1S)4s	2S	1/2	65500.47
3s3p2	2S	1/2	76665.35
3s2(1S)3d	2D	3/2	79338.50
3s2(1S)3d	2D	5/2	79355.02
3s2(1S)4p	2P°	1/2	81191.34
3s2(1S)4p	2P°	3/2	81251.32
3s3p2	2P	1/2	83801.95
3s3p2	2P	3/2	84004.26
3s2(1S)5s	2S	1/2	97972.09
3s2(1S)4d	2D	3/2	101023.05
3s2(1S)4d	2D	5/2	101024.35
3s2(1S)4f	2F°	7/2	103556.03
3s2(1S)4f	2F°	5/2	103556.16
3s2(1S)5p	2P°	1/2	103860.74
3s2(1S)5p	2P°	3/2	103885.25
3s3p(3P°)3d	2D°	3/2	108778.7
3s3p(3P°)3d	2D°	5/2	108820.6
3s2(1S)5d	2D	3/2	112394.56
3s2(1S)5d	2D	5/2	112394.72
3s2(1S)5f	2F°	7/2	113760.15
3s2(1S)5f	2F°	5/2	113760.32
3s2(1S)5g	2G	7/2,9/2	114177.1
3s3p(3P°)3d	4F°	3/2	114265.64
3s3p(3P°)3d	4F°	5/2	114327.15
3s3p(3P°)3d	4F°	7/2	114414.58
3s3p(3P°)3d	4F°	9/2	114529.14
3s3p(3P°)4s	4P°	1/2	116862.38
3s3p(3P°)4s	4P°	3/2	116978.38
3s3p(3P°)4s	4P°	5/2	117178.06
3s3p(3P°)4s	2P°	1/2	121444.12
3s3p(3P°)4s	2P°	3/2	121590.19
3p3	4S°	3/2	123033.5
3s3p(3P°)3d	4D°	5/2	124316.9
3s3p(3P°)3d	4D°	3/2	124325.3
3s3p(3P°)3d	4D°	1/2	124337.3
3s3p(3P°)3d	4D°	7/2	124449.5
3s3p(3P°)3d	4P°	5/2	124567.4
3s3p(3P°)3d	4P°	3/2	124615.6
3s3p(3P°)3d	4P°	1/2	124638.9
3s3p(3P°)3d	2P°	3/2	126236.4
3s3p(3P°)3d	2P°	1/2	126279.0
3s3p(3P°)3d	2D°	5/2	131677.1
3s3p(3P°)3d	2D°	7/2	131918.8
3s3p(3P°)4p	4D	1/2	131784.9
3s3p(3P°)4p	4D	3/2	131861.93
3s3p(3P°)4p	4D	5/2	131988.05
3s3p(3P°)4p	4D	7/2	132162.29
