# Si III — NIST ASD 5.12, ref L5815 · Mg-like, Z=14, 12 electrons
# limit Si IV (3s 2S1/2) = 270139.3 +/- 0.7 cm-1
config	term	J	level_cm1
3s.7f	3F*	2	249774.48
3s.8f	3F*	2	254557.03
3s.9f	3F*	2	257831.4
3s.7f	3F*	3	249774.70
3s.8f	3F*	3	254557.26
3s.9f	3F*	3	257831.4
3s.7f	3F*	4	249774.98
3s.8f	3F*	4	254557.64
3s.9f	3F*	4	257831.4
3s.7g	3G	3	249817.32
3s.8g	3G	3	254584.8
3s.9g	3G	3	257853.6
3s.7g	3G	4	249817.85
3s.8g	3G	4	254584.8
3s.9g	3G	4	257853.6
3s.7g	3G	5	249818.93
3s.8g	3G	5	254585.75
3s.9g	3G	5	257853.6
3s.7g	1G	4	249817.94
3s.8g	1G	4	254584.6
3s.7h	1H*	5	249937.29
3s.8h	1H*	5	254674.4
3s.9h	1H*	5	257922.0
3s.7h	3H*	6	249937.29
3s.8h	3H*	6	254674.4
3s.9h	3H*	6	257922.0
3s.7h	3H*	5	249937.29
3s.8h	3H*	5	254674.4
3s.9h	3H*	5	257922.0
3s.7i	1I	6	249966.49
3s.8i	1I	6	254694.99
3s.9i	1I	6	257936.99
3s.7i	3I	7	249966.49
3s.8i	3I	7	254694.99
3s.9i	3I	7	257936.99
3s.7f	1F*	3	250366.22
3s.8f	1F*	3	254855.42
3s.9f	1F*	3	258013.37
3s.7d	1D	2	250636.55
3s.8d	1D	2	254766.75
3s.9d	1D	2	257848.5
3s.8d	3D	3	254007.48
3s.9d	3D	3	257415.6
