# Si III — NIST ASD 5.12, Martin & Zalubas 1983, ref L5815 · Mg-like, 12 electrons
# the 3s.nl runs from the ground state
# limit Si IV (3s 2S1/2) = 270139.3 +/- 0.7 cm-1
config	term	J	level_cm1
4s	3S	1	153377.05
5s	3S	1	206176.08
6s	3S	1	229623.19
7s	3S	1	242145.10
8s	3S	1	249766.19
4s	1S	0	159069.61
5s	1S	0	207874.09
6s	1S	0	230364.46
7s	1S	0	242537.95
8s	1S	0	249857.26
4p	3P*	0	175230.01
5p	3P*	0	214995.46
6p	3P*	0	234415.07
7p	3P*	0	244928.72
4p	1P*	1	176487.19
5p	1P*	1	214532.17
6p	1P*	1	234387.64
7p	1P*	1	244871.47
3d	3D	3	142943.74
4d	3D	3	201599.48
5d	3D	3	227088.72
6d	3D	3	240314.63
7d	3D	3	249121.14
3d	1D	2	165765.00
4d	1D	2	204330.79
5d	1D	2	227665.09
6d	1D	2	240549.77
7d	1D	2	250636.55
4f	1F*	3	204828.06
5f	1F*	3	225526.33
6f	1F*	3	243868.50
4f	3F*	2	209531.40
5f	3F*	2	230267.7
6f	3F*	2	242410.88
4f	3F*	3	209559.33
5f	3F*	3	230268.62
6f	3F*	3	242411.27
4f	3F*	4	209599.70
5f	3F*	4	230270.66
6f	3F*	4	242411.70
5g	3G	3	230301.22
6g	3G	3	242473.66
5g	3G	4	230301.66
6g	3G	4	242473.86
5g	3G	5	230302.35
6g	3G	5	242474.81
5g	1G	4	230302.01
6g	1G	4	242474.27
6h	1H*	5	242639.38
6h	3H*	6	242639.38
