# Si II — NIST ASD 5.12, Martin & Zalubas 1983, ref L5815 · 151 levels found
# limit Si III (1S0) 131838.14 cm-1 · uncertainties blank on every level in this compilation
config	term	J	level_cm1
3s2.3p	2P*	1/2	0.00
3s2.3p	2P*	3/2	287.24
3s.3p2	4P	1/2	42824.29
3s.3p2	4P	3/2	42932.62
3s.3p2	4P	5/2	43107.91
3s.3p2	2D	3/2	55309.35
3s.3p2	2D	5/2	55325.18
3s2.4s	2S	1/2	65500.47
3s.3p2	2S	1/2	76665.35
3s2.3d	2D	3/2	79338.50
3s2.3d	2D	5/2	79355.02
3s2.4p	2P*	1/2	81191.34
3s2.4p	2P*	3/2	81251.32
3s.3p2	2P	1/2	83801.95
3s.3p2	2P	3/2	84004.26
3s2.5s	2S	1/2	97972.09
3s2.4d	2D	3/2	101023.05
3s2.4d	2D	5/2	101024.35
3s2.4f	2F*	7/2	103556.03
3s2.4f	2F*	5/2	103556.16
3s2.5p	2P*	1/2	103860.74
3s2.5p	2P*	3/2	103885.25
3s.3p.(3P*).3d	2D*	3/2	108778.7
3s.3p.(3P*).3d	2D*	5/2	108820.6
3s2.6s	2S	1/2	111184.46
3s2.5d	2D	3/2	112394.56
3s2.5d	2D	5/2	112394.72
3s2.5f	2F*	7/2	113760.15
3s2.5f	2F*	5/2	113760.32
3s2.6p	2P*	1/2	113962.08
3s2.6p	2P*	3/2	113976.72
3s2.5g	2G	9/2	114177.1
3s2.5g	2G	7/2	114177.1
3s.3p.(3P*).3d	4F*	3/2	114265.64
3s.3p.(3P*).3d	4F*	5/2	114327.15
3s.3p.(3P*).3d	4F*	7/2	114414.58
3s.3p.(3P*).3d	4F*	9/2	114529.14
3s.3p.(3P*).4s	4P*	1/2	116862.38
3s.3p.(3P*).4s	4P*	3/2	116978.38
3s.3p.(3P*).4s	4P*	5/2	117178.06
3s2.7s	2S	1/2	117914.80
3s2.6d	2D	3/2	118522.86
3s2.6d	2D	5/2	118522.93
3s2.7p	2P*	1/2	119245.22
3s2.7p	2P*	3/2	119273.81
3s2.6f	2F*	7/2	119311.19
3s2.6f	2F*	5/2	119311.34
3s2.6g	2G	9/2	119578.23
3s2.6g	2G	7/2	119578.23
3s.3p.(3P*).4s	2P*	1/2	121444.12
3s.3p.(3P*).4s	2P*	3/2	121590.19
3s2.8s	2S	1/2	121814.38
3s2.7d	2D	3/2	122163.48
3s2.7d	2D	5/2	122163.54
3s2.7f	2F*	7/2	122655.25
3s2.7f	2F*	5/2	122655.37
3s2.7g	2G	9/2	122835.13
3s2.7g	2G	7/2	122835.13
3p3	4S*	3/2	123033.5
3s2.8p	2P*	1/2	123097.63
3s2.8p	2P*	3/2	123138.67
3s2.9s	2S	1/2	124276.7
3s.3p.(3P*).3d	4D*	5/2	124316.9
3s.3p.(3P*).3d	4D*	3/2	124325.3
3s.3p.(3P*).3d	4D*	1/2	124337.3
3s.3p.(3P*).3d	4D*	7/2	124449.5
3s2.8d	2D	5/2	124495.7
3s2.8d	2D	3/2	124495.7
3s.3p.(3P*).3d	4P*	5/2	124567.4
3s.3p.(3P*).3d	4P*	3/2	124615.6
3s.3p.(3P*).3d	4P*	1/2	124638.9
3s2.8f	2F*	7/2	124822.08
3s2.8f	2F*	5/2	124822.14
3s2.8g	2G	9/2	124948.40
3s2.8g	2G	7/2	124948.40
3s2.9p	2P*	1/2	125024.9
3s2.9p	2P*	3/2	125033.7
3s.3p.(3P*).3d	2P*	3/2	126236.4
3s.3p.(3P*).3d	2P*	1/2	126279.0
3s2.9f	2F*	7/2	126304.82
3s2.9f	2F*	5/2	126304.82
3s2.9g	2G	9/2	126396.47
3s2.9g	2G	7/2	126396.47
3s2.10p	2P*	3/2	126525.8
3s2.10p	2P*	1/2	126545.4
3s2.10f	2F*	7/2	127363.50
3s2.10f	2F*	5/2	127363.50
3s2.10g	2G	9/2	127432.02
3s2.10g	2G	7/2	127432.02
3s2.11f	2F*	7/2	128145.35
3s2.11f	2F*	5/2	128145.35
