# Si I — the runs on the 2P*1/2 core, ref L5815
# limit Si II (3p 2P*1/2) = 65747.76 +/- 0.25 cm-1
config	term	J	level_cm1
4f	2[5/2]	3	58774.368
5f	2[5/2]	3	61303.381
4f	2[5/2]	2	58775.451
5f	2[5/2]	2	61304.283
4f	2[7/2]	3	58786.860
5f	2[7/2]	3	61305.050
4f	2[7/2]	4	58788.880
5f	2[7/2]	4	61306.713
6s	(1/2,1/2)*	0	59221.11
7s	(1/2,1/2)*	0	61538.05
8s	(1/2,1/2)*	0	62806.65
9s	(1/2,1/2)*	0	63576.85
10s	(1/2,1/2)*	0	64079.74
6s	(1/2,1/2)*	1	59273.575
7s	(1/2,1/2)*	1	61595.43
8s	(1/2,1/2)*	1	62813.26
9s	(1/2,1/2)*	1	63584.22
10s	(1/2,1/2)*	1	64085.87
6p	(1/2,1/2)	1	60381.278
7p	(1/2,1/2)	1	62141.8
6p	(1/2,1/2)	0	60621.64
7p	(1/2,1/2)	0	62318.7
6p	(1/2,3/2)	1	60487.103
7p	(1/2,3/2)	1	62226.39
6p	(1/2,3/2)	2	60496.358
7p	(1/2,3/2)	2	62231.99
