# Si I — the 3s2.3p.(2P*1/2).nd<3/2> run, ref L5815
# limit Si II (3p 2P*1/2) = 65747.76 +/- 0.25 cm-1
# bracketed values in the source are Ritz/extrapolated and are OMITTED here
config	term	J	level_cm1
30d	(1/2,3/2)*	1	65625.2
31d	(1/2,3/2)*	1	65633.15
32d	(1/2,3/2)*	1	65640.16
33d	(1/2,3/2)*	1	65646.6
34d	(1/2,3/2)*	1	65652.4
35d	(1/2,3/2)*	1	65658.0
37d	(1/2,3/2)*	1	65667.26
38d	(1/2,3/2)*	1	65671.4
39d	(1/2,3/2)*	1	65675.30
40d	(1/2,3/2)*	1	65678.99
41d	(1/2,3/2)*	1	65682.2
43d	(1/2,3/2)*	1	65688.15
44d	(1/2,3/2)*	1	65690.9
