# Si I — the 3s2.3p.(2P*3/2).nd runs at LOW n, ref L5815
# limit Si II (3p 2P*3/2) = 66035.00 cm-1
# these sit where P.lens says the measurement is sharpest
config	term	J	level_cm1
8d	(3/2,5/2)*	1	64287.43
9d	(3/2,5/2)*	1	64654.97
10d	(3/2,5/2)*	1	64920.15
11d	(3/2,5/2)*	1	65116.72
12d	(3/2,5/2)*	1	65261.50
13d	(3/2,5/2)*	1	65378.02
8d	(3/2,5/2)*	3	64295.26
9d	(3/2,5/2)*	3	64662.04
10d	(3/2,5/2)*	3	64923.97
11d	(3/2,5/2)*	3	65117.65
12d	(3/2,5/2)*	3	65264.91
13d	(3/2,5/2)*	3	65379.19
8d	(3/2,3/2)*	1	64337.81
9d	(3/2,3/2)*	1	64699.46
10d	(3/2,3/2)*	1	64946.12
11d	(3/2,3/2)*	1	65135.28
12d	(3/2,3/2)*	1	65278.23
13d	(3/2,3/2)*	1	65388.96
8d	(3/2,3/2)*	0	64358.52
9d	(3/2,3/2)*	0	64703.23
10d	(3/2,3/2)*	0	64952.58
11d	(3/2,3/2)*	0	65138.22
12d	(3/2,3/2)*	0	65280.10
13d	(3/2,3/2)*	0	65390.89
