# Si I — the 3s2.3p.(2P*3/2).nf runs, ref L5815
# limit Si II (3p 2P*3/2) = 66035.00 cm-1
config	term	J	level_cm1
4f	2[7/2]	3	59034.988
5f	2[7/2]	3	61562.477
6f	2[7/2]	3	62935.76
7f	2[7/2]	3	63762.20
4f	2[7/2]	4	59037.043
5f	2[7/2]	4	61563.952
6f	2[7/2]	4	62936.81
7f	2[7/2]	4	63762.93
4f	2[5/2]	3	59109.959
5f	2[5/2]	3	61597.404
6f	2[5/2]	3	62954.46
7f	2[5/2]	3	63773.29
4f	2[5/2]	2	59110.892
5f	2[5/2]	2	61598.145
6f	2[5/2]	2	62955.00
7f	2[5/2]	2	63773.58
4f	2[9/2]	5	59128.40
5f	2[9/2]	5	61614.37
6f	2[9/2]	5	62966.61
7f	2[9/2]	5	63781.97
4f	2[9/2]	4	59131.912
5f	2[9/2]	4	61617.17
6f	2[9/2]	4	62968.49
7f	2[9/2]	4	63783.31
4f	2[3/2]	1	59190.46
5f	2[3/2]	1	61647.36
6f	2[3/2]	1	62985.96
7f	2[3/2]	1	63793.52
4f	2[3/2]	2	59191.072
5f	2[3/2]	2	61647.875
6f	2[3/2]	2	62986.32
7f	2[3/2]	2	63794.31
