# Si I — the 3s2.3p.(2P*3/2).ns<1/2> run, ref L5815
# limit Si II (3p 2P*3/2) = 66035.00 cm-1
config	term	J	level_cm1
11s	(3/2,1/2)*	2	64713.05
11s	(3/2,1/2)*	1	64723.88
12s	(3/2,1/2)*	2	64961.67
12s	(3/2,1/2)*	1	64967.34
13s	(3/2,1/2)*	2	65146.14
13s	(3/2,1/2)*	1	65151.67
14s	(3/2,1/2)*	2	65287.04
14s	(3/2,1/2)*	1	65291.26
15s	(3/2,1/2)*	2	65396.73
15s	(3/2,1/2)*	1	65399.60
16s	(3/2,1/2)*	2	65483.96
16s	(3/2,1/2)*	1	65486.67
17s	(3/2,1/2)*	2	65554.50
17s	(3/2,1/2)*	1	65557.35
18s	(3/2,1/2)*	2	65612.24
18s	(3/2,1/2)*	1	65613.95
19s	(3/2,1/2)*	2	65660.26
19s	(3/2,1/2)*	1	65662.00
20s	(3/2,1/2)*	1	65701.56
21s	(3/2,1/2)*	1	65736.06
22s	(3/2,1/2)*	1	65764.03
23s	(3/2,1/2)*	1	65789.56
24s	(3/2,1/2)*	1	65811.24
