# Sr I — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Sr+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED — spectrum=Sr+I confirmed. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# THREE LIMITS:
#   Sr II (5s 2S<1/2>)   45932.2036   <- the 5s.nl series
#   Sr II (4d 2D<3/2>)   60488.09     <- the 4d.nl series
#   Sr II (4d 2D<5/2>)   60768.43
#
# ** THE LONGEST SINGLET/TRIPLET-PAIRED SERIES IN THE QUEUE. The
#    5s.nl block on ONE limit carries BOTH multiplicities at every n: **
#      s   n = 6..20   3S and 1S at every n
#      p   n = 5..20   3P* and 1P* at every n
#      d   n = 4..20   3D and 1D at every n
#      f   n = 4..20   3F* and 1F* at every n
#
#    ** FOUR l VALUES, SEVENTEEN CONSECUTIVE n, SINGLET AND TRIPLET
#       THROUGHOUT. Register 1622 closed Q.exch because singlet and
#       triplet MIX at high n and could only cite the literature for it.
#       Sr I is seventeen consecutive n of the same pairing in four
#       channels — the place that mixing could be watched directly. **
#
# The 4d.nl block above 45932 sits on the SECOND and THIRD limits and
# turns to jj and Racah notation (2[K], (3/2,5/2)) — refused by R 1576.
#
# ONLY the 5s.nl block and the low LS states are transcribed. The 4d
# block is ~120 rows of jj/Racah the index cannot key.
#
# config	term	J	level_cm1	limit
5s2	1S	0	0.000	45932.2036
5s.5p	3P*	0	14317.507	45932.2036
5s.5p	3P*	1	14504.334	45932.2036
5s.5p	3P*	2	14898.545	45932.2036
5s.5p	1P*	1	21698.452	45932.2036
5s.4d	3D	1	18159.040	45932.2036
5s.4d	3D	2	18218.784	45932.2036
5s.4d	3D	3	18319.261	45932.2036
5s.4d	1D	2	20149.685	45932.2036
5s.6s	3S	1	29038.773	45932.2036
5s.6s	1S	0	30591.825	45932.2036
5s.6p	3P*	0	33853.490	45932.2036
5s.6p	3P*	1	33868.317	45932.2036
5s.6p	3P*	2	33973.065	45932.2036
5s.6p	1P*	1	34098.404	45932.2036
5s.5d	1D	2	34727.447	45932.2036
5s.5d	3D	1	35006.908	45932.2036
5s.5d	3D	2	35021.989	45932.2036
5s.5d	3D	3	35045.019	45932.2036
5s.7s	3S	1	37424.675	45932.2036
5s.7s	1S	0	38444.013	45932.2036
5s.4f	3F*	2	38750.420	45932.2036
5s.4f	3F*	3	38752.410	45932.2036
5s.4f	3F*	4	38755.175	45932.2036
5s.4f	1F*	3	39539.013	45932.2036
5s.7p	1P*	1	38906.858	45932.2036
5s.7p	3P*	0	39411.669	45932.2036
5s.7p	3P*	1	39426.442	45932.2036
5s.7p	3P*	2	39457.383	45932.2036
5s.6d	3D	1	39685.830	45932.2036
5s.6d	3D	2	39690.802	45932.2036
5s.6d	3D	3	39703.109	45932.2036
5s.6d	1D	2	39733.067	45932.2036
5s.8s	3S	1	40761.372	45932.2036
5s.8s	1S	0	41052.324	45932.2036
5s.5f	3F*	2	41364.602	45932.2036
5s.5f	3F*	3	41365.482	45932.2036
5s.5f	3F*	4	41366.67	45932.2036
5s.5f	1F*	3	41519.04	45932.2036
5s.8p	3P*	0	41712.05	45932.2036
5s.8p	3P*	1	41719.71	45932.2036
5s.8p	3P*	2	41735.98	45932.2036
5s.8p	1P*	1	42462.136	45932.2036
5s.7d	1D	2	41831.448	45932.2036
5s.7d	3D	1	41864.354	45932.2036
5s.7d	3D	2	41869.270	45932.2036
5s.7d	3D	3	41874.859	45932.2036
5s.9s	3S	1	42451.16	45932.2036
5s.9s	1S	0	42596.572	45932.2036
5s.6f	3F*	2	42777.023	45932.2036
5s.6f	3F*	3	42777.547	45932.2036
5s.6f	3F*	4	42778.121	45932.2036
5s.6f	1F*	3	42839.589	45932.2036
5s.9p	3P*	0	42985.86	45932.2036
5s.9p	3P*	1	42990.26	45932.2036
5s.9p	3P*	2	42999.79	45932.2036
5s.9p	1P*	1	43328.04	45932.2036
5s.8d	1D	2	43021.058	45932.2036
5s.8d	3D	2	43070.268	45932.2036
5s.8d	3D	3	43074.728	45932.2036
5s.10s	3S	1	43427.44	45932.2036
5s.10s	1S	0	43512.1658	45932.2036
5s.7f	3F*	2	43623.896	45932.2036
5s.7f	3F*	3	43624.205	45932.2036
5s.7f	3F*	4	43624.479	45932.2036
5s.7f	1F*	3	43656.219	45932.2036
5s.10p	3P*	0	43758.65	45932.2036
5s.10p	3P*	1	43761.47	45932.2036
5s.10p	3P*	2	43767.58	45932.2036
5s.10p	1P*	1	43938.201	45932.2036
5s.9d	1D	2	43755.755	45932.2036
5s.9d	3D	2	43804.890	45932.2036
5s.11s	3S	1	44043.35	45932.2036
5s.11s	1S	0	44097.1224	45932.2036
5s.8f	3F*	2	44170.80	45932.2036
5s.8f	3F*	3	44170.99	45932.2036
5s.8f	3F*	4	44171.32	45932.2036
5s.8f	1F*	3	44189.889	45932.2036
5s.11p	3P*	0	44262.70	45932.2036
5s.11p	3P*	1	44264.52	45932.2036
5s.11p	3P*	2	44268.72	45932.2036
5s.11p	1P*	1	44366.42	45932.2036
5s.10d	1D	2	44239.4549	45932.2036
5s.10d	3D	2	44286.91	45932.2036
5s.12s	3S	1	44456.25	45932.2036
5s.12s	1S	0	44492.8348	45932.2036
