config	term	J	level
3p6.4s	2S	1/2	80388.92
3p6.5s	2S	1/2	212407.34
3p6.6s	2S	1/2	265847.42
3p6.7s	2S	1/2	292999.54
3p6.4p	2P*	3/2	128739.59
3p6.5p	2P*	3/2	230924.38
3p6.6p	2P*	3/2	274881.21
3p6.3d	2D	5/2	382.1
3p6.4d	2D	5/2	196889.96
3p6.5d	2D	5/2	258877.08
3p6.6d	2D	5/2	289206.93
3p6.7d	2D	5/2	306408.30
3p6.4f	2F*	7/2	236142.30
3p6.5f	2F*	7/2	275861.94
3p6.5g	2G	9/2	278511.23
3p6.6g	2G	9/2	300046.2
3p6.7g	2G	9/2	313034.1
3p6.6h	2H*	11/2	300158.76
3p6.7h	2H*	11/2	313110.72
3p6.7i	2I	13/2	313130.66
3p6.8i	2I	13/2	321531.3
