# V V — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=V+V&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED against sent. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# LIMIT:  V VI (3p6 1S<0>)  526532.0 cm-1
#
# ** THE BEST TABLE IN THE QUEUE. K-like: a CLOSED 3p6 core with ONE
#    electron outside it. Every 3p6.nl level is a DOUBLET, one parent,
#    one multiplicity — and the l range runs the whole alphabet: **
#
#      s  n = 4,5,6,7,8        p  n = 4,5,6,7
#      d  n = 3,4,5,6,7        f  n = 4,5,6,7,8,9
#      g  n = 5,6,7,8,9        h  n = 6,7,9
#      i  n = 7,8,9            k  n = 9        <- l = 7
#
#    EIGHT VALUES OF l IN ONE SPECIES, ALL KEYABLE. Register 1597's
#    keyability bound is satisfied throughout: one electron outside a
#    closed shell, exactly the condition it requires.
#
# The 3p5.(2P*).3d2 and 3p5.3d.nl blocks are CORE-EXCITED (a 3p hole)
# and converge on a different, unprinted limit. Kept separate below and
# NOT to be used against 526532.0.
#
# Four rows at n=9 (g, h, i, k) have a BLANK J in the source. Kept with
# J recorded as blank rather than guessed.
#
# config	term	J	level_cm1
3p6.3d	2D	3/2	0.00
3p6.3d	2D	5/2	624.87
3p6.4s	2S	1/2	148143.35
3p6.4p	2P*	1/2	206393.72
3p6.4p	2P*	3/2	207660.00
3p6.4d	2D	3/2	293902.86
3p6.4d	2D	5/2	294047.24
3p6.5s	2S	1/2	328217.30
3p6.4f	2F*	7/2	349252.40
3p6.4f	2F*	5/2	349675.57
3p6.5p	2P*	1/2	351500.51
3p6.5p	2P*	3/2	352018.34
3p6.5d	2D	3/2	387977.07
3p6.5d	2D	5/2	388043.69
3p6.6s	2S	1/2	403855.12
3p6.6p	2P*	1/2	415420.10
3p6.6p	2P*	3/2	415675.69
3p6.5g	2G	7/2	416360.29
3p6.5g	2G	9/2	416361.78
3p6.5f	2F*	5/2	417699.10
3p6.5f	2F*	7/2	418187.47
3p6.6d	2D	3/2	434303.77
3p6.6d	2D	5/2	434340.92
3p6.7s	2S	1/2	443074.72
3p6.6f	2F*	5/2	449370.81
3p6.6f	2F*	7/2	449422.47
3p6.7p	2P*	1/2	449586.71
3p6.7p	2P*	3/2	449772.79
3p6.6g	2G	7/2	450024.54
3p6.6g	2G	9/2	450025.20
3p6.6h	2H*	9/2	450247.99
3p6.6h	2H*	11/2	450247.99
3p6.7d	2D	5/2	460719.7
3p6.8s	2S	1/2	466065.79
3p6.7f	2F*	5/2	469706.4
3p6.7f	2F*	7/2	469721
3p6.7g	2G	7/2	470333.35
3p6.7g	2G	9/2	470333.75
3p6.7h	2H*	9/2	470488.77
3p6.7h	2H*	11/2	470488.77
3p6.7i	2I	11/2	470524.11
3p6.7i	2I	13/2	470524.11
3p6.8f	2F*	5/2	483019
3p6.8f	2F*	7/2	483039
3p6.8g	2G	7/2	483523
3p6.8g	2G	9/2	483526
3p6.8i	2I	11/2	483650.82
3p6.8i	2I	13/2	483650.82
3p6.9f	2F*	5/2	492144.3
3p6.9f	2F*	7/2	492201.8
3p6.9g	2G		492564
3p6.9h	2H*		492625
3p6.9i	2I		492653
3p6.9k	2K*		492662
# --- CORE-EXCITED, 3p hole, DIFFERENT unprinted limit. Not for 526532.0
3p5.(2P*).3d2.(1G)	2F*	5/2	319106.19
3p5.(2P*).3d2.(1G)	2F*	7/2	320731.60
3p5.(2P*).3d2.(1D)	2F*	7/2	332198.1
3p5.(2P*).3d2.(1D)	2F*	5/2	337012.59
3p5.(2P*).3d2.(3F)	2F*	5/2	396135.24
3p5.(2P*).3d2.(3F)	2F*	7/2	397993.66
3p5.(2P*).3d2.(3P)	2P*	1/2	438018.3
3p5.(2P*).3d2.(3P)	2P*	3/2	439442.7
3p5.(2P*).3d2.(3F)	2D*	5/2	444153.7
3p5.(2P*).3d2.(3F)	2D*	3/2	444620.8
3p5.3d.(3F*).4s	2F*	7/2	475531
3p5.3d.(3F*).4s	2F*	5/2	478566
3p5.3d.(1F*).4s	2F*	5/2	496296
3p5.3d.(1F*).4s	2F*	7/2	497556
3p5.3d.(3D*).4s	2D*	5/2	500117
3p5.3d.(3D*).4s	2D*	3/2	500502
