# NIST X-ray Transition Energies, SRD 128, version 1.2 (2005)
# Deslattes, Kessler, Indelicato, de Billy, Lindroth, Anton, Coursey, Schwab,
# Chang, Sukumar, Olsen, Dragoset. Originally Rev. Mod. Phys. 75, 35-99 (2003).
# Transition L2M4 (L-beta-1). Elements Ne-Fm. Units eV.
# Fetched 2026-08-11, URL supplied by M. destination_url and final_url both
# reported trans=L2M4; body header reads "Transition: L2M4 (Lbeta1)".
# A BLANK SOURCE FIELD IS WRITTEN AS '-' AND NEVER FILLED FROM ANOTHER COLUMN.
# element	A	theory	theory_unc	direct	direct_unc	blend	ref
Ca		-	-	344.97	0.28		1d
Sc		405.35	0.62	399.69	0.38		1d
Ti		461.88	0.64	458.35	0.50		1d
V		521.74	0.65	519.2	1.3		1d
Cr		582.76	0.67	582.90	0.41		1d
Mn		651.32	0.69	648.8	1.0		1d
Fe		721.07	0.70	718.32	0.62		1d
Co		794.27	0.72	791.41	0.60		1d
Ni		870.95	0.74	868.77	0.54		1d
Cu		949.11	0.76	949.84	0.32		1d
Zn		1034.76	0.80	1034.65	0.38		1d
Ga		1124.82	0.79	1124.76	0.30		1d
Ge		1218.91	0.82	1218.50	0.18		1d
As		1317.21	0.82	1316.99	0.17		1d
Se		1419.65	0.84	1419.24	0.12		1d
Br		1526.28	0.86	1525.92	0.14		1d
Kr		1637.05	0.87	1636.876	0.021		3d
Rb		1752.46	0.90	1752.18	0.11		1d
Sr		1872.19	0.92	1871.74	0.13		1d
Y		1996.20	0.93	1995.85	0.14		1d
Zr		2124.59	0.94	2124.394	0.028		3d
Nb		2257.11	0.96	2257.38	0.18		1d
Mo		2394.52	0.97	2394.831	0.055		1d
Tc		2536.52	0.99	2536.83	0.61		1d
Ru		2683.1	1.0	2683.263	0.026		1d
Rh		2834.3	1.0	2834.439	0.038		1d
Pd		2990.4	1.0	2990.250	0.053		1d
Ag		3151.1	1.0	3150.974	0.036		1d
Cd		3316.7	1.1	3316.605	0.053		1d
In		3487.3	1.1	3487.244	0.058		1d
Sn		3663.1	1.1	3662.839	0.048		1d
Sb		3843.9	1.1	3843.615	0.071		1d
Te		4029.9	1.1	4029.63	0.12		1d
I		4221.2	1.1	4220.76	0.13		1d
Xe		4417.6	1.1	4417.668	0.030		12d
Cs		4620.0	1.1	4619.83	0.51		1d
Ba		4827.8	1.2	4827.58	0.14		1d
La		5041.2	1.2	5042.17	0.15		1d
Ce		5262.5	1.2	5262.93	0.41		1,28d
Pr		5488.7	1.2	5488.9	1.1		1d
Nd		5720.8	1.2	5721.446	0.050		3d
Pm		5959.1	1.2	5961.5	1.7		1d
Sm		6203.9	1.3	6204.073	0.093		3d
Eu		6454.8	1.2	6455.72	0.56		1,34d
Gd		6711.1	1.2	6713.4	1.1		1d
Tb		6977.1	1.3	6977.8	1.7		1d
Dy		7248.3	1.3	7247.80	0.44		1d
Ho		7526.4	1.3	7525.67	0.15		3d
Er		7811.5	1.3	7810.19	0.42		3d
Tm		8103.8	1.3	8102.265	0.037		3d
Yb		8403.6	1.4	8401.88	0.42		1d
Lu		8709.1	1.3	8709.13	0.27		1d
Hf		9022.4	1.3	9022.80	0.49		1d
Ta		9343.4	1.3	9343.19	0.31		1d
W		9672.1	1.3	9672.575	0.100		1,58d
Re		10009.0	1.4	10010.04	0.24		1d
Os		10354.3	1.4	10355.42	0.64		1d
Ir		10708.0	1.4	10708.35	0.41		1d
Pt		11070.5	1.4	11070.84	0.29		1d
Au		11442.0	1.4	11442.45	0.47		1d
Hg		11822.7	1.4	11822.70	0.83		1d
Tl		12212.9	1.4	12213.44	0.71		1d
Pb		12613.0	1.5	12613.80	0.57		1d
Bi	209	13022.9	1.5	13023.65	0.18		1d
Po	209	13443.2	1.5	13447.1	4.3		1d
At	210	13874.1	1.5	13876.2	2.1		1d
Rn	222	14316.0	1.5	14315.8	2.2		1d
Fr	223	14769.1	1.5	14770.4	2.3		1d
Ra	226	15234.0	1.5	15235.9	1.4		1d
Ac	227	15710.8	1.6	15713.3	2.7		1d
Th	232	16199.8	1.6	16201.556	0.030		75d
Pa	231	16702.7	1.6	16702.0	1.7		1d
U	238	17218.7	1.6	17220.15	0.28		1d
Np	237	17746.9	1.6	17750.36	0.34		1d
Pu	239	18292.8	1.6	18294.03	0.80		1d
Am	241	18851.6	1.7	18852.18	0.38		1d
Cf	251	20629.3	1.7	20656	70		72d
Fm	254	21894.8	1.8	21898	13		74d
