# NIST X-ray Transition Energies, SRD 128, version 1.2 (2005)
# Deslattes, Kessler, Indelicato, de Billy, Lindroth, Anton, Coursey, Schwab,
# Chang, Sukumar, Olsen, Dragoset. Originally Rev. Mod. Phys. 75, 35-99 (2003).
# Transition L3M4 (L-alpha-2). Elements Ne-Fm. Units eV.
# Fetched 2026-08-11, URL supplied by M.
# destination_url and final_url both reported trans=L3M4 and the body header
# reads "Transition: L3M4 (Lalpha2)" — verified before writing (R 1524 rule).
# element	A	theory	theory_unc	direct	direct_unc	blend	ref
Ca		-	-	341.27	0.28	L3M4,5	1d
Sc		400.64	0.60	395.48	0.56	L3M4,5	1d
Ti		455.57	0.61	452.16	0.49	L3M4,5	1d
V		513.54	0.63	511.27	0.94	L3M4,5	1d
Cr		572.94	0.64	572.9	1.2	L3M4,5	1d
Mn		639.42	0.66	637.44	0.49	L3M4,5	1d
Fe		707.46	0.67	704.8	1.2	L3M4,5	1d
Co		778.71	0.69	776.25	0.43	L3M4,5	1d
Ni		853.19	0.71	851.47	0.26	L3M4,5	1d
Cu		929.38	0.72	929.68	0.31	L3M4,5	1d
Zn		1011.87	0.75	1011.77	0.37	L3M4,5	1d
Ga		1098.03	0.75	1097.97	0.14	L3M4,5	1d
Ge		1187.91	0.78	1188.01	0.13	L3M4,5	1d
As		1281.56	0.79	1282.01	0.16	L3M4,5	1d
Se		1378.92	0.80	1379.11	0.11	L3M4,5	1d
Br		1479.95	0.82	1480.46	0.13	L3M4,5	1d
Kr		1584.63	0.83	1585.411	0.026	L3M4,5	3d
Rb		1693.16	0.85	1692.57	0.10		1d
Sr		1805.40	0.86	1804.77	0.12		1d
Y		1921.07	0.88	1920.48	0.13		1d
Zr		2040.34	0.89	2040.19	0.16		3d
Nb		2162.80	0.90	2163.02	0.17		1d
Mo		2289.60	0.92	2289.875	0.050		1d
Tc		2420.24	0.93	-	-		
Ru		2554.23	0.94	2554.330	0.055		1d
Rh		2692.06	0.96	2692.078	0.078		1d
Pd		2833.74	0.98	2833.312	0.067		1d
Ag		2978.72	0.99	2978.240	0.053		1d
Cd		3127.5	1.0	3126.950	0.070		1d
In		3279.9	1.0	3279.322	0.077		1d
Sn		3436.0	1.0	3437.356	0.056		1d
Sb		3595.9	1.0	3595.358	0.093		1d
Te		3759.5	1.1	3758.79	0.15		1d
I		3926.9	1.1	3926.09	0.11		1d
Xe		4097.7	1.1	4097.378	0.030		12d
Cs		4272.9	1.1	4272.31	0.44		1d
Ba		4451.5	1.1	4450.94	0.12		1d
La		4633.8	1.1	4634.26	0.10		1,27d
Ce		4822.0	1.1	4823.17	0.34		1,28d
Pr		5012.9	1.1	5013.64	0.90		1d
Nd		5207.6	1.1	5207.7	1.1		3d
Pm		5406.1	1.1	5407.9	1.4		1d
Sm		5608.8	1.2	5609.053	0.061		3d
Eu		5815.0	1.2	5816.61	0.45		1,34d
Gd		6024.0	1.2	6024.99	0.87		1d
Tb		6239.8	1.2	6238.10	0.93		1d
Dy		6458.0	1.2	6457.72	0.15		1d
Ho		6680.0	1.2	6678.484	0.054		3d
Er		6905.8	1.2	6904.50	0.17		3d
Tm		7135.4	1.2	7133.715	0.078		3d
Yb		7369.1	1.3	7367.40	0.32		1d
Lu		7605.0	1.2	7604.92	0.35		1d
Hf		7844.7	1.2	7844.70	0.37		1d
Ta		8088.2	1.2	8087.93	0.16		1d
W		8335.2	1.2	8335.34	0.17		1d
Re		8586.2	1.2	8586.27	0.44		1d
Os		8841.0	1.3	8841.10	0.47		1d
Ir		9099.7	1.3	9099.62	0.49		1d
Pt		9362.0	1.3	9361.96	0.21		1d
Au		9628.1	1.3	9628.05	0.33		1d
Hg		9898.1	1.3	9897.68	0.82		1d
Tl		10171.8	1.3	10172.91	0.37		1d
Pb		10449.5	1.3	10449.59	0.65		1d
Bi	209	10730.8	1.3	10731.06	0.14		1d
Po	209	11016.1	1.3	11015.95	0.72		1d
At	210	11305.2	1.3	11304.93	0.76		1d
Rn	222	11598.1	1.3	11598.08	0.80		1d
Fr	223	11895.0	1.3	11895.07	0.84		1d
Ra	226	12195.7	1.3	12196.26	0.89		1d
Ac	227	12500.2	1.3	12500.99	0.93		1d
Th	232	12808.5	1.3	12809.498	0.030		75d
Pa	231	13121.5	1.3	13122.3	1.0		1d
U	238	13438.2	1.4	13438.97	0.19		1d
Np	237	13757.2	1.4	13759.84	0.20		1d
Pu	239	14083.4	1.4	14084.42	0.47		1d
Am	241	14411.9	1.4	14412.09	0.22		1d
Cf	251	15428.3	1.4	15434	69		72d
Fm	254	16121.2	1.4	16122	13		74d
